Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0125809084558177,0.0111552566892665,0.0455166996832577,NaN,NaN,NaN,0.0107923950415395,NaN,0.0122460407991643,NaN,NaN,NaN,0.0149994400969557,NaN,NaN,0.00848074781552052,NaN,0.00711217190939297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308018992486371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012932231648951,NaN,0.0140147581613427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00976029287674966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0236377905039794
601,0.0110176052532067,0.0141690424307166,0.0394772335332529,NaN,NaN,NaN,0.0263147350065495,NaN,0.0194137041176481,NaN,NaN,NaN,0.0329538948302751,NaN,NaN,0.0237837387028281,NaN,0.0175721239657453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0154978825626415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217510757313976,NaN,0.0326068982445106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0078660274784519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191732253107916
901,0.0117785127148162,0.0113174968062093,0.0507792207469446,NaN,NaN,NaN,0.00260243480375183,NaN,0.0011578785053899,NaN,NaN,NaN,0.0337095965623002,NaN,NaN,0.0287307460088791,NaN,0.0364796341081724,NaN,NaN,0.00627427460134406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163120275811731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213170557577507,NaN,0.0106620815798206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0231302033762239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00565124264336072
1201,0.0170664923310634,0.012021348496558,0.017326715032881,NaN,NaN,NaN,0.0186805583833127,NaN,0.0125947804980299,NaN,NaN,NaN,0.0104320013941348,NaN,NaN,0.0257747889084859,NaN,0.0140723473874737,NaN,NaN,0.0256671216899504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016935259651425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176474618021314,NaN,0.0147808368244186,NaN,NaN,NaN,NaN,NaN,NaN,0.00848175018854571,0.0132695105425053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144796414090262
1501,0.0234925930249434,0.0228756268637732,0.00983406248554437,NaN,NaN,0.00428457841950661,0.0135294512153787,NaN,0.00574134369157888,NaN,NaN,NaN,0.0150290215694791,NaN,NaN,0.018008507044151,NaN,0.0166916748065217,NaN,NaN,0.0237821388664987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150903391222763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.052245498055177,NaN,0.0104336682493002,NaN,NaN,NaN,NaN,NaN,NaN,0.0170716123881673,0.012048818237076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209066700274456
1801,0.0128367690717485,0.0142772257219158,0.0296323263435672,NaN,NaN,0.0378745749336106,0.021323381926962,NaN,NaN,NaN,NaN,NaN,0.018401499882058,NaN,NaN,0.0123675020936581,NaN,0.0259939089356086,NaN,NaN,0.011229888792195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128848740298109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0113941456941771,NaN,0.0275094469824302,NaN,NaN,NaN,NaN,NaN,NaN,0.0117035386653113,0.0249136807047522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229510108590455
2101,0.0286183386269587,0.010814772494198,0.00322921946777577,NaN,NaN,0.0359399005836285,0.0288263321055097,NaN,NaN,NaN,NaN,NaN,0.015483211996974,NaN,NaN,0.0252675019205889,NaN,0.0311289618713095,NaN,NaN,0.0280917746603323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189207322564586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0542048000845704,NaN,0.0133642295496542,NaN,NaN,NaN,NaN,NaN,NaN,0.0368470600718949,0.0120718147698057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0145211582901036
2401,0.0161362450551205,0.016540082597028,0.0421565586560218,NaN,NaN,0.0318053776853474,0.03160145570499,NaN,NaN,NaN,NaN,NaN,0.0214982709160379,NaN,NaN,0.0216424847241804,NaN,0.0420610785980127,NaN,NaN,0.0329978610359238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0404852015120746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137865850301901,NaN,0.0169925760368041,NaN,NaN,NaN,NaN,NaN,NaN,0.0480678649878355,0.0143641974479421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112821182450192
2701,0.00310295483083719,NaN,0.0423627799081182,NaN,NaN,0.0198405469891196,0.0164336432697137,NaN,NaN,NaN,NaN,NaN,0.00357543424938808,NaN,NaN,0.00910287359281962,NaN,0.0154559568617932,NaN,NaN,0.015862140219099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0145381289520221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0365218767944276,NaN,0.0131556022562671,NaN,NaN,NaN,NaN,NaN,NaN,0.0369092770947329,0.00322236121873209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00511127625778348
