Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0163028150027633,0.00907907641464988,NaN,NaN,NaN,NaN,0.0177847223301913,NaN,NaN,NaN,NaN,NaN,0.0262077403233547,NaN,NaN,0.0951397892032506,NaN,0.0580379115771187,NaN,NaN,0.106035728633517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156613548425316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0705340008056407,0.0117764564574862,NaN,NaN,NaN,NaN,0.0150380386357224,NaN,NaN,NaN,NaN,NaN,0.0247590656677707,NaN,NaN,0.0383113844548474,NaN,0.0536117507780982,NaN,NaN,0.0334457618773326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0312701775933956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0818892753506799,0.0208035708704823,NaN,NaN,NaN,NaN,0.0200762321658195,NaN,NaN,NaN,NaN,NaN,0.0188426688144338,NaN,NaN,0.032642588731405,NaN,0.0535741574942106,NaN,NaN,0.0703899278856928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193073719257874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0314074736652166,0.0256242298656282,NaN,NaN,NaN,NaN,0.0113068136485594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0353385158153462,NaN,0.0126809844629331,NaN,NaN,0.0116538545413998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.018691401895075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0524186521990933,0.0100484265774405,NaN,NaN,NaN,NaN,0.0231139082156779,NaN,NaN,NaN,NaN,NaN,0.013982851335825,NaN,NaN,0.0224532290982791,NaN,0.0285824523764292,NaN,NaN,0.0166189509799775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0276251131005733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0376949739988704,0.00989960726116233,NaN,NaN,NaN,NaN,0.0144021223030669,NaN,NaN,NaN,NaN,NaN,0.0197672477043757,NaN,NaN,0.0175872820818443,NaN,0.0342004352263613,NaN,NaN,0.0177074491410973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0297572932961246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00801367353473216,0.0258358981026306,NaN,NaN,NaN,NaN,0.0172527385234755,NaN,NaN,NaN,NaN,NaN,0.0286821374096339,NaN,NaN,0.0175120387456676,NaN,0.029835493819109,NaN,NaN,0.0252510519919618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00874429332191149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0243043150158394,0.0203753306242459,0,NaN,NaN,0.0342014812483584,0.025104679116331,NaN,NaN,NaN,NaN,NaN,0.00984065838851458,NaN,NaN,0.0257593857285274,NaN,0.020364290815343,NaN,NaN,0.0191539276443054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0256421301979995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0154176285696047,0.0266680645374465,0.022554130856418,NaN,NaN,0.0236185661682312,0.0496072801018479,NaN,NaN,NaN,NaN,NaN,0.011918468078065,NaN,NaN,0.0154473626644934,NaN,0.0248522324712564,NaN,NaN,0.0408129776695336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0519985349114408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
