Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,NaN,NaN,NaN,0.0333026487217918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0821527625433753,NaN,NaN,0.0229205521691879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0228135266097738,NaN,0.0453364423183171,NaN,NaN,NaN,NaN,NaN,0.0204598296143452,0.0187089963313108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0806600856625781,NaN
601,NaN,NaN,NaN,NaN,0.0261924501257062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100567423380497,NaN,NaN,0.0199064294247037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0316033432061772,NaN,0.0284483000571005,NaN,NaN,NaN,NaN,NaN,0.0338260301812324,0.0562340632308331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0917730689506415,NaN
901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0485384792660621,NaN,NaN,0.0150387397499763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0523237519285087,NaN,0.0301902144017167,NaN,NaN,NaN,NaN,NaN,0.0500549779923898,0.0268669016592745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0883216144706378,NaN
1201,NaN,NaN,NaN,NaN,0.192170572908083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.051610001600563,NaN,NaN,0.0547863411893231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0459257910409341,NaN,0.0432153185400481,NaN,NaN,NaN,NaN,NaN,0.00796578254447202,0.0271954616975762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.29881414238197,NaN
1501,NaN,NaN,NaN,NaN,0.119758941261944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0736109174821229,NaN,NaN,0.0625510254490608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139183066676477,NaN,0.0393292912697145,NaN,NaN,NaN,NaN,NaN,0.0154185515328032,0.0514903121178682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.178495954365461,NaN
1801,NaN,NaN,NaN,NaN,0.0888057065165549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0346238436161066,NaN,NaN,0.0322213916530576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0377329943077512,NaN,0.0566871972810367,NaN,NaN,NaN,NaN,NaN,0.0214199767861078,0.0230013781113907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.339391161370175,NaN
2101,NaN,NaN,NaN,NaN,0.0899370051407325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262795316428281,NaN,NaN,0.0568570812358384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0457944916820971,NaN,0.0627886744657463,NaN,NaN,NaN,NaN,NaN,0.0337853881223956,0.0320230795126486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0968230262541164,NaN
2401,NaN,NaN,NaN,NaN,0.0615204391345428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0412077055859442,NaN,NaN,0.0413956893449072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426016424009734,NaN,0.0466437856911915,NaN,NaN,NaN,NaN,NaN,0.0267009886211976,0.031076647056614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.248118161579602,NaN
2701,NaN,NaN,NaN,NaN,0.0891901018976775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0297896691163776,NaN,NaN,0.0598370604978059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0467146445006187,NaN,0.022980260333353,NaN,NaN,NaN,NaN,NaN,0.0266636165706245,0.0243947601369576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.114888819016348,NaN
3001,NaN,NaN,NaN,NaN,0.0702248241093963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0580644689586781,NaN,NaN,0.0563452797031642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0350928823489557,NaN,0.0598515511642647,NaN,NaN,NaN,NaN,NaN,0.0323304014360817,0.044986507576769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0591661324900632,NaN
