Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0206142425273343,0.026011876144263,NaN,NaN,NaN,NaN,0.0295733436624694,NaN,0.0182507887029798,NaN,NaN,NaN,0.0293240768464244,NaN,NaN,0.0538051452762821,NaN,0.0669716072930702,NaN,NaN,0.0344101557178534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0355851229056384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0291161356854036,0.0315553429228402,NaN,NaN,NaN,NaN,0.0228175921459124,NaN,0.00581517440325365,NaN,NaN,NaN,0.0222545893693937,NaN,NaN,0.0155450883966124,NaN,0.0508182310692983,NaN,NaN,0.023660136095441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335660524271327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0261744190011124,0.0096285438265598,0.0189888273239481,NaN,NaN,NaN,0.0316416731645978,NaN,0.00617916304679896,NaN,NaN,NaN,0.0329493274317019,NaN,NaN,0.0292688843528657,NaN,0.052896219621193,NaN,NaN,0.044585105712448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179639581648637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0283704601655646,0.0165484645025886,0.0217648918493716,NaN,NaN,NaN,0.0222572689389429,NaN,0.0776391575487152,NaN,NaN,NaN,0.0152751819181278,NaN,NaN,0.0270199637732718,NaN,0.0185904649727049,NaN,NaN,0.0244516567194862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279398884050745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0228800044669349,0.0403601484304107,0.0115264693209251,NaN,NaN,NaN,0.0511818467137914,NaN,NaN,NaN,NaN,NaN,0.023269125473584,NaN,NaN,0.0234807783276825,NaN,0.0490638638557563,NaN,NaN,0.0474444980106101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151015776820883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0320502640069076,0.0149624360167225,0.00718784785578436,NaN,NaN,0.0117026579951301,0.0629054645538485,NaN,NaN,NaN,NaN,NaN,0.0332433923381078,NaN,NaN,0.0472128874172396,NaN,0.0248977926285895,NaN,NaN,0.0342813695335479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166504780876784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0162441414373323,0.0263405520522613,0.0114208254726357,NaN,NaN,0.0150929614934674,0.00937347090617288,NaN,NaN,NaN,NaN,NaN,0.0239358662733144,NaN,NaN,0.0154771396138281,NaN,0.0308582947773473,NaN,NaN,0.016637073347689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116006089361382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0223245884665158,0.0425571149885175,0.0180004487882678,NaN,NaN,0.032021406631279,0.0579601744689594,NaN,NaN,NaN,NaN,NaN,0.0351699533299351,NaN,NaN,0.0425041718374385,NaN,0.0168954726202046,NaN,NaN,0.0391061533606924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0141849366120717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00857670541754829,0.0155027767947408,0.0200719250979021,NaN,NaN,0.0423486587755313,0.00874051656595207,NaN,NaN,NaN,NaN,NaN,0.0194071337577707,NaN,NaN,0.0372293878391458,NaN,0.0301783852015124,NaN,NaN,0.0216946266348182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156040106544068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
