Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0358188041918053,0.0498602917727283,NaN,NaN,NaN,NaN,0.021975011168129,NaN,0.0994210630893327,NaN,NaN,NaN,0.0589004272647794,NaN,NaN,0.0167369242668198,NaN,NaN,NaN,NaN,0.0223582420192099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0383894206628794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0382537621803515,0.0252870715926236,NaN,NaN,NaN,NaN,0.0370244107390213,NaN,0.0386305495635993,NaN,NaN,NaN,0.0330962251611521,NaN,NaN,0.0381279091185644,NaN,NaN,NaN,NaN,0.0256352843167677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0280815750168796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0461138007650554,0.035661584518231,NaN,NaN,NaN,NaN,0.0315516337799112,NaN,0.0546132977160969,NaN,NaN,NaN,0.0305341542065504,NaN,NaN,0.0523660508219286,NaN,NaN,NaN,NaN,0.0610809182926854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0446922085414521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.10293409617318,0.0159656551582234,0.0795867368914715,NaN,NaN,NaN,0.023314108484565,NaN,0.0277168522658338,NaN,NaN,NaN,0.0224133145128064,NaN,NaN,0.0595513521245148,NaN,0.0240502751715468,NaN,NaN,0.0349781313493732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0267968093538767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0162215306232437,0.027386689600425,0.0573742939716064,NaN,NaN,NaN,0.0113688528781665,NaN,NaN,NaN,NaN,NaN,0.0216019968680773,NaN,NaN,0.0240462281539399,NaN,0.0460109894451417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0290926465546775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0233159319706655,0.0224224612874249,0.0472145188540558,NaN,NaN,NaN,0.0439559959270809,NaN,NaN,NaN,NaN,NaN,0.0350818853990751,NaN,NaN,0.033314167228165,NaN,0.0667617390542564,NaN,NaN,0.0281813465750558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190777489409693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00926139728373236,0.0267753393139892,0.0149070302397724,NaN,NaN,NaN,0.0308088789417223,NaN,NaN,NaN,NaN,NaN,0.00818210173787857,NaN,NaN,0.0208408619974646,NaN,0.059383493895311,NaN,NaN,0.0303915749926599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0177093532871176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0265129918027119,0.0111002344192965,0.0449448651502664,NaN,NaN,NaN,0.0339009379551111,NaN,NaN,NaN,NaN,NaN,0.0241737582650802,NaN,NaN,0.0135835826346766,NaN,0.0319546209428011,NaN,NaN,0.0258139078312307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0264437038286056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.000839233177997987,NaN,0.029791205669014,NaN,NaN,NaN,0.0151970954861777,NaN,NaN,NaN,NaN,NaN,0.029237449649726,NaN,NaN,0.0456402327186362,NaN,0.0263690148071225,NaN,NaN,0.0475738536055209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02356123102211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
