Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0458665693317629,0.0287917140093797,0.0452913122646997,NaN,NaN,NaN,0.0171819016982372,NaN,NaN,NaN,NaN,NaN,0.0253259722331035,NaN,NaN,0.0418871002892619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189133465390038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184115338473047,NaN,0.0303889294132332,NaN,NaN,NaN,NaN,NaN,NaN,0.0224807522104778,0.0187750598026216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0422010592603414
601,0.0164540929750785,0.0415650232017921,0.011183001541958,NaN,NaN,NaN,0.0281745930115168,NaN,NaN,NaN,NaN,NaN,0.0377664646484546,NaN,NaN,0.0280384855020593,NaN,0,NaN,NaN,0.0291798919409556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161300702805437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0286324530473173,NaN,0.0180184047504942,NaN,NaN,NaN,NaN,NaN,NaN,0.0333681708204825,0.0334999936653756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0354059365700011
901,0.0420036765207949,0.0239975756111556,0,NaN,NaN,NaN,0.00990196574968212,NaN,NaN,NaN,NaN,NaN,0.0352599812742609,NaN,NaN,0.0146499095497913,NaN,0.0269493886069746,NaN,NaN,0.00625454422494922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.027790141413886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222249808543283,NaN,0.0129246549772919,NaN,NaN,NaN,NaN,NaN,NaN,0.0502985150532921,0.0126350641847834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262056532469786
1201,0.0185802004633584,0.00935266595373754,0.0322829215996113,NaN,NaN,NaN,0.0272941817968012,NaN,NaN,NaN,NaN,NaN,0.0190057803761944,NaN,NaN,0.0216339259208768,NaN,0.0302178935955982,NaN,NaN,0.0228309365238666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0314350784446734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011234491131145,NaN,0.0321186086179415,NaN,NaN,NaN,NaN,NaN,NaN,0.0315774784888005,0.0231708416124474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0254460553209221
1501,0.0151804539990674,0.0452966608811688,0.0559882368595082,NaN,NaN,NaN,0.0211756794170604,NaN,NaN,NaN,NaN,NaN,0.0196085215585554,NaN,NaN,0.0315514664428334,NaN,0.031904131795614,NaN,NaN,0.0231683287675459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0372015026848814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0370244810681714,NaN,0.0244375694997476,NaN,NaN,NaN,NaN,NaN,NaN,0.038769675957352,0.0361317963854824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156365614169848
1801,0.0364304365245736,0.0501768588388551,0.0467356412301385,NaN,NaN,NaN,0.0409206433787237,NaN,NaN,NaN,NaN,NaN,0.0405726374486346,NaN,NaN,0.0327477206061479,NaN,0.0199632202665129,NaN,NaN,0.0578808875016935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021997710680186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175786075445212,NaN,0.0137428941904724,NaN,NaN,NaN,NaN,NaN,NaN,0.0317994884859077,0.0384949798164834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0271934027808789
2101,0.0343629721672234,0.0317153058108939,0.0406780680011388,NaN,NaN,NaN,0.0278612248889672,NaN,NaN,NaN,NaN,NaN,0.0304463260743813,NaN,NaN,0.0161448414349531,NaN,0.0202161843243735,NaN,NaN,0.0443692978865632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014371586136282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335244866115049,NaN,0.011794960568899,NaN,NaN,NaN,NaN,NaN,NaN,0.00833703393673794,0.021965499421797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206519308090188
2401,0.0308719130317271,0.0271040597490932,0.0182100275035301,NaN,NaN,NaN,0.0308432841258176,NaN,NaN,NaN,NaN,NaN,0.0371853335149162,NaN,NaN,0.0181205930124785,NaN,0.0223657361919992,NaN,NaN,0.0435030368460937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0312849887910663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0276913654302892,NaN,0.0405623940634745,NaN,NaN,NaN,NaN,NaN,NaN,0.0190164104783014,0.0299877701005455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0342040396555419
2701,0.0313619571989519,0.0386638514134663,0.0391528760078968,NaN,NaN,0.033345101015506,0.0281293185854279,NaN,NaN,NaN,NaN,NaN,0.0411565168081422,NaN,NaN,0.0319533334302794,NaN,0.0376887412289487,NaN,NaN,0.0213360659046612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0351691195938773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235893740746798,NaN,0.0431012794644414,NaN,NaN,NaN,NaN,NaN,NaN,0.0313977133594946,0.0242376599129885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174067625316063
