Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00618947418418189,0.0110119730861859,NaN,NaN,NaN,NaN,0.0187859917740249,NaN,0.0283386637799207,NaN,NaN,NaN,0.0328787721826224,NaN,NaN,0.0209219854299202,NaN,0.036504875507456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0165759784151915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0251286728802048,NaN,0.0128223755125052,NaN,NaN,NaN,NaN,NaN,NaN,0.0274698030496255,0.0255481258175476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176894749230598
601,0.0131843563015916,0.011525650600403,NaN,NaN,NaN,NaN,0.027015082537914,NaN,0.0434463671481738,NaN,NaN,NaN,0.0259880278719739,NaN,NaN,0.0245222170710196,NaN,0.0564233128280525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028769620057534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0370916778078578,NaN,0.013897473553186,NaN,NaN,NaN,NaN,NaN,NaN,0.00819205214210159,0.0114105590221806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00877018424218886
901,0.00716517759581003,0.0178744178387694,NaN,NaN,NaN,NaN,0.0110702060635719,NaN,0.0132996173545578,NaN,NaN,NaN,0.0263729992934876,NaN,NaN,0.0340808010957629,NaN,0.0325281740637465,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221905352114109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217177049467021,NaN,0.0178089815451974,NaN,NaN,NaN,NaN,NaN,NaN,0.0181489128813807,0.0432468930831572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163284912239641
1201,0.0132536601976086,0.0252078526523364,NaN,NaN,NaN,NaN,0.0021227686010638,NaN,0.0129184402245952,NaN,NaN,NaN,0.0249833235680047,NaN,NaN,0.0144755630421013,NaN,0.0626355795052054,NaN,NaN,0.022864696698949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0135151338771752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00797548945438244,NaN,0.0229120775543497,NaN,NaN,NaN,NaN,NaN,NaN,0.0411944993101687,0.0137086270674959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164727801319897
1501,0.0123147424140652,0.0228976451426541,0.0580537857713391,NaN,NaN,0.0304940868730587,0.016766614618884,NaN,0.0475710541042084,NaN,NaN,NaN,0.0273743301064714,NaN,NaN,0.0230585284708269,NaN,0.036996680980007,NaN,NaN,0.0372080496862261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221778332630623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00844859830067599,NaN,0.0087502438162915,NaN,NaN,NaN,NaN,NaN,NaN,0.0239099962982027,0.01032681886871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0162740033248163
1801,0.0137514843228031,0.0256762391132543,0.0142861411308091,NaN,NaN,0.0412164331479238,0.0283101335275511,NaN,NaN,NaN,NaN,NaN,0.0299918093216396,NaN,NaN,0.0455720542423569,NaN,0.058819849870308,NaN,NaN,0.0259896752530408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216926463334716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0269063344284215,NaN,0.0146776921866282,NaN,NaN,NaN,NaN,NaN,NaN,0.0361177195148208,0.011424835761536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0105866592010347
2101,0.00972093292819511,0.0204934409292087,0.00883197494556934,NaN,NaN,0.0340159669428156,0.0369627284299025,NaN,NaN,NaN,NaN,NaN,0.0246084971545614,NaN,NaN,0.0400842554275212,NaN,0.0630695042363192,NaN,NaN,0.0395219816009061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110888474700564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242958195046158,NaN,0.0228742601908887,NaN,NaN,NaN,NaN,NaN,NaN,0.0407401524119546,0.0240063382604546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00915186781572735
2401,0.0113021943284859,0.0307954070663126,0.0205742514671953,NaN,NaN,0.032765562730976,0.0298571805914184,NaN,NaN,NaN,NaN,NaN,0.0326855499765223,NaN,NaN,0.0224753207144524,NaN,0.0245024398991606,NaN,NaN,0.0120705313694588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137827635082877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00386393938463385,NaN,0.0583101889037724,NaN,NaN,NaN,NaN,NaN,NaN,0.017856476676186,0.0138946577670943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.146119372535506
2701,0.0193259196732219,NaN,0.0542466356984235,NaN,NaN,0.0240549229469734,0.0126899405338817,NaN,NaN,NaN,NaN,NaN,0.0149518991267643,NaN,NaN,0.0286251352221543,NaN,0.0221937909108394,NaN,NaN,0.0193348488448614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195069638779563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00879993454289941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183566056377887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
