Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0201514958377614,0.0363691409324032,NaN,NaN,NaN,NaN,0.0616103731451545,NaN,0.109919606545207,NaN,NaN,NaN,0.0314671353284002,NaN,NaN,0.0213746040287261,NaN,0.0187651345383737,NaN,NaN,0.0267821736152283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249973976936307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00455152182679198,NaN,0.0082666197978181,NaN,NaN,NaN,NaN,NaN,NaN,0.00856850481021272,0.00397802755422195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191928505212207
601,0.00457696114526669,0.0227649916842014,NaN,NaN,NaN,NaN,0.0209700087239481,NaN,NaN,NaN,NaN,NaN,0.0276452474404518,NaN,NaN,0.00434259706157515,NaN,0.0324422395771129,NaN,NaN,0.041409368330217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030591372060428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126974149969096,NaN,0.00460676630582224,NaN,NaN,NaN,NaN,NaN,NaN,0.0113503071176007,0.0186006476247908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00611681387162567
901,0.0280834046348191,0.0439532319313422,NaN,NaN,NaN,NaN,0.0368352300981139,NaN,NaN,NaN,NaN,NaN,0.0449859522629961,NaN,NaN,0.0181488522170663,NaN,0.0275303346627671,NaN,NaN,0.0420658659608677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0284775683200287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00517585626001673,NaN,0.0180029722880792,NaN,NaN,NaN,NaN,NaN,NaN,0.0114525493185902,0.0367319865251121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173929787973533
1201,0.0146172094787188,0.0456901445057294,0.0406309043239647,NaN,NaN,NaN,0.0247888531852292,NaN,NaN,NaN,NaN,NaN,0.041415768343284,NaN,NaN,0.0241773510116303,NaN,0.0143888455846742,NaN,NaN,0.0235546316543898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0325628731604638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0367999068593942,NaN,0.00879904444846783,NaN,NaN,NaN,NaN,NaN,NaN,0.0073516093832036,0.0270734567014885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014659186773305
1501,0.0189365101115771,0.0864531383737882,0.027298120110623,NaN,NaN,NaN,0.0413231932585108,NaN,NaN,NaN,NaN,NaN,0.0168828268419216,NaN,NaN,0.0175149294032929,NaN,0.0136908174623316,NaN,NaN,0.02197778612824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031144945891625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0228467729637869,NaN,0.022280605851257,NaN,NaN,NaN,NaN,NaN,NaN,0.0240283641941939,0.0335848857164835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00794451026091272
1801,0.0133555804009364,0.0347939355748021,0.0319217945329846,NaN,NaN,NaN,0.0214242478857044,NaN,NaN,NaN,NaN,NaN,0.029807033009694,NaN,NaN,0.0289848608364512,NaN,0.0263290721438587,NaN,NaN,0.0330913641038266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0323187356527165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00382173021648599,NaN,0.0207415869538263,NaN,NaN,NaN,NaN,NaN,NaN,0.0160222955412414,0.0250087543827446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178137376536201
2101,0.0207779609311109,0.0275474259106614,0.0585833706791197,NaN,NaN,NaN,0.00782768376830516,NaN,NaN,NaN,NaN,NaN,0.0208629105513119,NaN,NaN,0.0211879722287886,NaN,0.0282859289134168,NaN,NaN,0.0224463863298764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108553787297056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0297288740590712,NaN,0.00938177925245034,NaN,NaN,NaN,NaN,NaN,NaN,0.0117992912756796,0.014493095169383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221257443376957
2401,0.00628074774260258,0.0118544148092851,0.02955422301002,NaN,NaN,0.0242049688715349,0.0071848604551352,NaN,NaN,NaN,NaN,NaN,0.0186528098213854,NaN,NaN,0.0302518413523823,NaN,0.0254161258383501,NaN,NaN,0.0224719942979368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00693554266311359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262560866437388,NaN,0.0135255959130744,NaN,NaN,NaN,NaN,NaN,NaN,0.0173748592906459,0.0161195736210566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0154684792241501
2701,0.0274222212756336,0.0292879789261483,0.0178488875301697,NaN,NaN,0.00504939332111127,0.0183378309141597,NaN,NaN,NaN,NaN,NaN,0.0295996095561982,NaN,NaN,0.0209770613894998,NaN,0.0103430489538674,NaN,NaN,0.0253357610692307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0143064679340201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190416293832855,NaN,0.0189872537979071,NaN,NaN,NaN,NaN,NaN,NaN,0.0317571255096134,0.0203119452395826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138261432489134
