Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0103020911084639,0.00769972691953326,NaN,NaN,NaN,NaN,0.0170717499659078,NaN,0.00665199293030974,NaN,NaN,NaN,0.0373468022394129,NaN,NaN,0.0218460542109664,NaN,0.0203022626446712,NaN,NaN,0.0450736625086827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191242580435824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0151239752635043,0.0181907575378053,NaN,NaN,NaN,NaN,0.0181027655765006,NaN,0.0108448331342709,NaN,NaN,NaN,0.00751991565975562,NaN,NaN,0.0849225891804626,NaN,0.00899324617463183,NaN,NaN,0.118483502607656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210199945473303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0121764606893346,0.0141860310471017,0,NaN,NaN,NaN,0.00733934777948343,NaN,0.00426831044905043,NaN,NaN,NaN,0.0300639272454327,NaN,NaN,0.00805920597382326,NaN,0.0268281440975403,NaN,NaN,0.0368239478751276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00940701549165487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0254652346403051,0.00801176482395684,0.0294760088386049,NaN,NaN,NaN,0.00793834795332971,NaN,0.00889553966677502,NaN,NaN,NaN,0.0188686397699772,NaN,NaN,0.0212207046529903,NaN,0.038464552420093,NaN,NaN,0.0346453990960569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139315836306531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0193348699013636,0.0159257784668994,0.0287691405233732,NaN,NaN,NaN,0.0166750967310224,NaN,NaN,NaN,NaN,NaN,0.0252739534456864,NaN,NaN,0.0347195385170611,NaN,0.0306116112370052,NaN,NaN,0.0517388865675326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00534498049850522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0160257002949931,0.00894535776835,0.00776634156976594,NaN,NaN,0.0111344646223894,0.0282169704996017,NaN,NaN,NaN,NaN,NaN,0.0301989391088693,NaN,NaN,0.00858853904566981,NaN,0.0384163895497538,NaN,NaN,0.0216467989316915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00899423730289632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.012252798642575,0.0105164877595699,0.0438936219414957,NaN,NaN,0.0246731818016272,0.015585229628705,NaN,NaN,NaN,NaN,NaN,0.0382498043777488,NaN,NaN,0.00596682203417939,NaN,0.02504456267153,NaN,NaN,0.0235042219731564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0344293505137763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0116618707261638,0.0910248380587291,0.0381456682896072,NaN,NaN,0.0308417206248586,0.0514414707408719,NaN,NaN,NaN,NaN,NaN,0.0243864497522843,NaN,NaN,0.0157307098438495,NaN,0.0042246619948857,NaN,NaN,0.0275832427954199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222948947417393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00481311855313567,NaN,0.0304886412382776,NaN,NaN,0.026417544412938,0.0112854095423129,NaN,NaN,NaN,NaN,NaN,0.0164029295307671,NaN,NaN,0.0162644854535302,NaN,0.0155464948786123,NaN,NaN,0.0202598893985497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0237048480155536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
