Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00582840885514212,0.0151701730960586,NaN,NaN,NaN,NaN,0.0768864138701544,NaN,0.0298100134294958,NaN,NaN,NaN,0.0422641187108274,NaN,NaN,0.0179305131733721,NaN,0.0301508637191089,NaN,NaN,0.0223317672993599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283648864740353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0497976258927199,0.130633353185524,NaN,NaN,NaN,NaN,0.167481788768268,NaN,0.00934287226094691,NaN,NaN,NaN,0.0478630679936279,NaN,NaN,0.0602571732914588,NaN,0.0518356566866871,NaN,NaN,0.0353586429157817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0388753564238473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.012528671392939,0.0249799506607776,NaN,NaN,NaN,NaN,0.0496277863894777,NaN,0.0536979882688207,NaN,NaN,NaN,0.0156980112751138,NaN,NaN,0.0412629911386805,NaN,0.0392073940605502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0326641234468081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0355787715395324,0.0042517726575282,NaN,NaN,NaN,NaN,0.00574639779724473,NaN,NaN,NaN,NaN,NaN,0.0128280814371345,NaN,NaN,0.0637661610544226,NaN,0.044147729201821,NaN,NaN,0.047906666483483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0156689535501974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0234843039561439,0.0164155741848461,NaN,NaN,NaN,0,0.0313026549628022,NaN,NaN,NaN,NaN,NaN,0.0381614425011455,NaN,NaN,0.0224025762218036,NaN,0.0351073435424939,NaN,NaN,0.0225633678618628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0363145303864383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0437621748144895,0.0355765448511141,NaN,NaN,NaN,0.030060511232198,0.0313390672427237,NaN,NaN,NaN,NaN,NaN,0.0313936618458551,NaN,NaN,0.0419277151112345,NaN,0.054375722428021,NaN,NaN,0.0130439505132799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0497033717610104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0281045522858809,0.0333343624477059,0.0185986757444297,NaN,NaN,0.0473642257818049,0.030359873698156,NaN,NaN,NaN,NaN,NaN,0.00986036770105054,NaN,NaN,0.0772638240606408,NaN,0.0627600023619193,NaN,NaN,0.00750517686900125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277125295209713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.00464411293642649,0.0162720692235964,0.0231455687553478,NaN,NaN,0.0506404616951149,0.068904710035947,NaN,NaN,NaN,NaN,NaN,0.019047497300476,NaN,NaN,0.0275478275626532,NaN,0.0652062101210355,NaN,NaN,0.0358059632231687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0340769342166169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0184507867808723,NaN,0.0137707778672592,NaN,NaN,0.0376313478957293,0.045458523794612,NaN,NaN,NaN,NaN,NaN,0.0146912570642383,NaN,NaN,0.0119791206661765,NaN,0.0556091935468639,NaN,NaN,0.0105925873206924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0302998062294744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
