Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0206412114777687,0.0287070395216252,NaN,NaN,NaN,NaN,0.015160622283819,NaN,0.0311120914535709,NaN,NaN,NaN,0.0336441694936841,NaN,NaN,0.0249786603518792,NaN,0.141664968084904,NaN,NaN,0.00921756679586189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00313918850607452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.01844168967232,0.0171020369941737,NaN,NaN,NaN,NaN,0.0460847845002529,NaN,0.0141016112172573,NaN,NaN,NaN,0.0450940041886544,NaN,NaN,0.0233020322706974,NaN,NaN,NaN,NaN,0.0565184433976497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0173950683621722,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0252654341275698,0.0401616452177787,0,NaN,NaN,NaN,0.0229107511986092,NaN,0.0167885006029803,NaN,NaN,NaN,0.031324550753375,NaN,NaN,0.0424401671400938,NaN,NaN,NaN,NaN,0.054716816339202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020102797036787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0331067911776333,0.0169384889620535,0.0409023828892262,NaN,NaN,NaN,0.0157957161334452,NaN,NaN,NaN,NaN,NaN,0.0298500563594805,NaN,NaN,0.0170625485688908,NaN,0.111775358163885,NaN,NaN,0.0338420399258847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227560730312538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0414968644500854,0.041681863531858,0.0260745944454255,NaN,NaN,NaN,0.0158940923739658,NaN,NaN,NaN,NaN,NaN,0.0234248679243638,NaN,NaN,0.0111635751413714,NaN,0.043285049348666,NaN,NaN,0.0281733511056959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0257387934575779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0324838264142198,0.0220153994801784,0.0262873970145268,NaN,NaN,NaN,0.0454846178224233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147868759307388,NaN,0.053108342761714,NaN,NaN,0.0564069553835744,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242174966709633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0489440612352184,0.0832298728231878,0.0380821213825243,NaN,NaN,0.0585748537311063,0.0747057184882881,NaN,NaN,NaN,NaN,NaN,0.023721958319293,NaN,NaN,0.0339268730080825,NaN,0.0178779868947731,NaN,NaN,0.0384545097828138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0267427372497644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0335777955112271,0.0485105575774848,0.0200515841601415,NaN,NaN,0.0296038710986857,0.0483969819375539,NaN,NaN,NaN,NaN,NaN,0.052536013082499,NaN,NaN,0.0212062705144574,NaN,0.0295437831777019,NaN,NaN,0.0158478492301514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0212228022771737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0220675347215925,NaN,0.0259764391462632,NaN,NaN,0.0322946500385207,0.0400559474155804,NaN,NaN,NaN,NaN,NaN,0.0127466386283564,NaN,NaN,0.0155488873522195,NaN,0.0411166863427569,NaN,NaN,0.0194496233279291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0186823487471263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
