Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0127756233381281,0.0131709786845302,NaN,NaN,NaN,NaN,0.029931406178479,NaN,0.017618335370733,NaN,NaN,NaN,0.0194059324566443,NaN,NaN,0.032067704197682,NaN,0.0341489344886153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119587123861462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0325417598945601,0.0372832414871984,NaN,NaN,NaN,NaN,0.0239111012485015,NaN,0.0115547092994782,NaN,NaN,NaN,0.0447424454340827,NaN,NaN,0.018006734143879,NaN,0.0425863548292277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198969328881829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0391088349370929,0.0168239015427908,0.00666795814267735,NaN,NaN,NaN,0.00839241288264922,NaN,NaN,NaN,NaN,NaN,0.0185563115495308,NaN,NaN,0.00612894708564558,NaN,0.0611969999609712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0116186925806632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.00419284760555831,0.0175770089256423,0.0875641625278451,NaN,NaN,NaN,0.00352682807062326,NaN,NaN,NaN,NaN,NaN,0.0140385079904559,NaN,NaN,0.0241790791129337,NaN,0.0234264220227317,NaN,NaN,0.0416528506149682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130657965328538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.00995057495984561,0.0298755956797689,0.0161709780137893,NaN,NaN,NaN,0.017004263183447,NaN,NaN,NaN,NaN,NaN,0.00653892545384041,NaN,NaN,0.0228197806889746,NaN,0.0270929268498889,NaN,NaN,0.0074201930756038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184038633235398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.00119481531239009,0.02573432981427,0.0335194426274024,NaN,NaN,NaN,0.0226193747645304,NaN,NaN,NaN,NaN,NaN,0.0298680122024209,NaN,NaN,0.0192855653711328,NaN,0.0148477000873268,NaN,NaN,0.0517692692647782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148765656992012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0141642027181011,0.0160203789509451,0.0170983676574904,NaN,NaN,NaN,0.0168262835710111,NaN,NaN,NaN,NaN,NaN,0.0214622509819699,NaN,NaN,NaN,NaN,0.0268379604931858,NaN,NaN,0.0339180707347236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235944150274256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0103308517772093,0.0357969465468103,0.0287466892048171,NaN,NaN,0.0318957615129644,0.0209497698140683,NaN,NaN,NaN,NaN,NaN,0.0137275538704565,NaN,NaN,0.0354610414312957,NaN,0.0246586796723629,NaN,NaN,0.0142068312588756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0225322635810301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00966898229809935,0.0246059869266814,0.0270113373347577,NaN,NaN,0.0618976435617554,0.00830235859007227,NaN,NaN,NaN,NaN,NaN,0.0132653785959329,NaN,NaN,0.0274505928472311,NaN,0.0373736167695397,NaN,NaN,0.0336528774326155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198908399201681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.00815746106842258,NaN,0.00609443361456879,NaN,NaN,0.020604702247375,0.0168720522579565,NaN,NaN,NaN,NaN,NaN,0.00823084219774944,NaN,NaN,0.0666396345328669,NaN,0.0121271631949811,NaN,NaN,0.0127502956360881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00350405828982954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0249075862926571,NaN,0.0107808186665075,NaN,NaN,0.0285083155425028,0.0122494212102463,NaN,NaN,NaN,NaN,NaN,0.0499965771442454,NaN,NaN,0.0169727695953552,NaN,0.0142117445618193,NaN,NaN,0.0168216575451429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209943686122332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0109485053509628,NaN,0.0193087779763904,NaN,NaN,0.0369409456166274,0.00559829518700828,NaN,NaN,NaN,NaN,NaN,0.0372712897446989,NaN,NaN,0.0145230223305073,NaN,0.0137076751397598,NaN,NaN,0.0129370844226764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010864916109105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0234656336154597,NaN,0.0142460630965051,NaN,NaN,0.0354023044700928,0.0205844064702738,NaN,NaN,NaN,NaN,NaN,0.0200060308276398,NaN,NaN,0.0609504546865269,NaN,0.0249581598226802,NaN,NaN,0.0300551195793188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00697766894927016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
