Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0140998836662769,0.0356249600831197,NaN,NaN,NaN,NaN,0.071837721743056,NaN,0.00980782785158863,NaN,NaN,NaN,0.0179375002602354,NaN,NaN,0.0264542243259017,NaN,0.0264098128262384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0395610534545444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.1771496539227,0.0125897363369623,NaN,NaN,NaN,NaN,0.0354711507901955,NaN,0.0443519774258475,NaN,NaN,NaN,0.0352543903028064,NaN,NaN,0.0532496854253064,NaN,0.0388782729368176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019254751223283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.147371849182506,0.0146683281544361,NaN,NaN,NaN,NaN,0.0312434564879944,NaN,NaN,NaN,NaN,NaN,0.0137245541099414,NaN,NaN,0.0405123612904712,NaN,0.029987732868164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0526717449967395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0673304660547277,0.0166043583626245,NaN,NaN,NaN,NaN,0.0127717349678406,NaN,NaN,NaN,NaN,NaN,0.0247137750500712,NaN,NaN,0.055041530712952,NaN,0.0391460956411324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200883191398978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.181545612961494,0.0120816356518443,0,NaN,NaN,NaN,0.0294489817106232,NaN,NaN,NaN,NaN,NaN,0.0264919302549414,NaN,NaN,0.0243619859662365,NaN,0.0450733924343703,NaN,NaN,0.0101636101977053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0267928285166347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.129443100807579,0.010856516819904,0.0279786614847846,NaN,NaN,0.0661714685614948,0.0351079292135599,NaN,NaN,NaN,NaN,NaN,0.0237425656465426,NaN,NaN,0.0182100721807182,NaN,0.0473256685479775,NaN,NaN,0.0657059922350927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0684708318357956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0277738714230421,0.00710636871605276,0.0247278529575199,NaN,NaN,0.0362592525158123,0.0240418760311996,NaN,NaN,NaN,NaN,NaN,0.0167734440078397,NaN,NaN,0.0178314966837189,NaN,0.0193428089705866,NaN,NaN,0.0362261961475348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0537895238379177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.313779145956063,0.0131963443680114,0.0442355417402738,NaN,NaN,0.020333791054185,0.0960577976703982,NaN,NaN,NaN,NaN,NaN,0.0182366322747429,NaN,NaN,0.0160398245997944,NaN,0.0339897123906272,NaN,NaN,0.0324048610058407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0289006387636962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.285103038514728,0.00906702316686728,0.0379976166297333,NaN,NaN,0.0155510777115024,0.145030139570206,NaN,NaN,NaN,NaN,NaN,0.0160515652781439,NaN,NaN,0.0152084743732517,NaN,0.0216933354986446,NaN,NaN,0.0417957158949393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.184352492776523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
