Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0168099352935165,0.0199042482878959,NaN,NaN,NaN,NaN,0.0145557693415658,NaN,NaN,NaN,NaN,NaN,0.0368873286398936,NaN,NaN,0.019699155475828,NaN,0.0496610528659133,NaN,NaN,0.0114690920488842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030952912324875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038044186311159,NaN,0.0162965507101258,NaN,NaN,NaN,NaN,NaN,NaN,0.0345313459140098,0.0214227720928791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0552399464157056
601,0.0189273128317288,0.0272564131848879,NaN,NaN,NaN,NaN,0.0444935783974391,NaN,NaN,NaN,NaN,NaN,0.0140912837089861,NaN,NaN,0.0490356653203141,NaN,0.0283671999187361,NaN,NaN,0.0318347414602524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0633022165286458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129017891640151,NaN,0.0188368974025334,NaN,NaN,NaN,NaN,NaN,NaN,0.0165264943829849,0.0206924979295184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0106711603379109
901,0.0268231031987545,0.0393730095257076,NaN,NaN,NaN,NaN,0.0272054620045622,NaN,NaN,NaN,NaN,NaN,0.0451208621829687,NaN,NaN,0.0323553065060509,NaN,0.0173180572847157,NaN,NaN,0.0224495207784045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0530916146740481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181441039847751,NaN,0.0288581780307542,NaN,NaN,NaN,NaN,NaN,NaN,0.026967360086522,0.0278577967277716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0257795399511833
1201,0.0394927239223728,0.0400469651236897,NaN,NaN,NaN,NaN,0.0399051267926876,NaN,NaN,NaN,NaN,NaN,0.0225186693090017,NaN,NaN,0.0421952289842835,NaN,0.0380820956103698,NaN,NaN,0.0259615028043093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233388034508769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0257695318779793,NaN,0.013936280744597,NaN,NaN,NaN,NaN,NaN,NaN,0.0312091440110423,0.0327223358686662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.147872694186022
1501,0.0241712533623347,0.0163754690420808,0.0169554813747456,NaN,NaN,NaN,0.0139654413707088,NaN,NaN,NaN,NaN,NaN,0.0106354059498677,NaN,NaN,0.010044888207309,NaN,0.0219957619616367,NaN,NaN,0.0224374633826618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197509670830453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196852479017575,NaN,0.0223670906630486,NaN,NaN,NaN,NaN,NaN,NaN,0.0164425821410373,0.024660717999607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249256258375761
1801,0.0337375183317013,0.0151077614848154,0.0300160405187648,NaN,NaN,NaN,0.019740115325193,NaN,NaN,NaN,NaN,NaN,0.0340442906182297,NaN,NaN,0.0181560106180127,NaN,0.0294143978493338,NaN,NaN,0.0179970680237318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.063394071999256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239592739992422,NaN,0.0187677756412148,NaN,NaN,NaN,NaN,NaN,NaN,0.0220091657610201,0.0147021757250955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0172521497610818
2101,0.0261375290101641,0.0250381466332944,0.0203554705927102,NaN,NaN,NaN,0.0228760476248128,NaN,NaN,NaN,NaN,NaN,0.0207007062761899,NaN,NaN,0.0570480090467514,NaN,0.0511670620198368,NaN,NaN,0.0297743919368378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0465839250672535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230632665454155,NaN,0.0277106906345935,NaN,NaN,NaN,NaN,NaN,NaN,0.00734986818638003,0.0153915213033032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0985429548813228
2401,0.0408644997975391,0.15336284680081,0.0140079360233888,NaN,NaN,0.0215783794235546,0.0592590336650311,NaN,NaN,NaN,NaN,NaN,0.0261489117073933,NaN,NaN,0.0287051710135177,NaN,0.0106061599808289,NaN,NaN,0.0243555034582108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0323877248079551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0260415453172137,NaN,0.0370082967356513,NaN,NaN,NaN,NaN,NaN,NaN,0.00974048469817927,0.0218655333361129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0396830697371907
2701,0.0491412290962508,NaN,0.0176335304090843,NaN,NaN,0.0437636900984552,0.0240810586437535,NaN,NaN,NaN,NaN,NaN,0.0321857275063259,NaN,NaN,0.0359981627979568,NaN,0.0355111121596852,NaN,NaN,0.0472087159743726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320554959391826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0272864142573969,NaN,NaN,NaN,NaN,NaN,NaN,0.0409592791796438,0.00907815371814422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012518701457736
3001,0.0288784478603999,0.0164700618908035,0.0471049118080695,NaN,NaN,0.0275054193682215,0.0306103896158865,NaN,NaN,NaN,NaN,NaN,0.0537503847055954,NaN,NaN,0.0145035722428828,NaN,0.0243931740418562,NaN,NaN,0.0305424193827357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.025395197375937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0316657402367899,NaN,0.0182183911720148,NaN,NaN,NaN,NaN,NaN,NaN,0.0464934948049459,0.0283273063028015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166878620497346
3301,0.0338521744951778,NaN,0.0448926617709522,NaN,NaN,0.0334367976430874,0.0360805055434705,NaN,NaN,NaN,NaN,NaN,0.0110471547221366,NaN,NaN,0.0214300717509969,NaN,0.0383783127346574,NaN,NaN,0.0354158401418316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0225890057093591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332305981984437,NaN,0.031782649844307,NaN,NaN,NaN,NaN,NaN,NaN,0.0754073139495842,0.02862723147456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0218353023565026
3601,0.0224933940252055,NaN,0.031535671119475,NaN,NaN,0.0146438439595756,0.00727261550812933,NaN,NaN,NaN,NaN,NaN,0.0377451015420925,NaN,NaN,0.033127463631333,NaN,0.0259526104391404,NaN,NaN,0.0245617587391592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00928052567792072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0250297443088938,NaN,0.0141771818207558,NaN,NaN,NaN,NaN,NaN,NaN,0.00898354571900651,0.0200840808128148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0142891639512683
3901,0.019936167148549,NaN,0.0182237716037576,NaN,NaN,0.0233378393501996,0.0204111602974347,NaN,NaN,NaN,NaN,NaN,0.0276106766441919,NaN,NaN,0.0325558612694346,NaN,0.0454833537125461,NaN,NaN,0.0151459049995134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0220149293203302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00770259372758147,NaN,0.0115002195231046,NaN,NaN,NaN,NaN,NaN,NaN,0.0207362572508771,0.0333630179753386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194635518334276
4201,0.0387699543066487,NaN,0.0294902846397456,NaN,NaN,0.0321353163128232,0.0295235761491092,NaN,NaN,NaN,NaN,NaN,0.0122923638683138,NaN,NaN,0.0258814069934908,NaN,0.0336402305584479,NaN,NaN,0.0386797008510799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0207170928318741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195025488497459,NaN,0.0340845777528275,NaN,NaN,NaN,NaN,NaN,NaN,0.0162459735914691,0.0230221017074424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0256800869511636
4501,0.0227132895620497,NaN,0.0129879220603945,NaN,NaN,0.0314667311093159,0.0473507251883514,NaN,NaN,NaN,NaN,NaN,0.0189369467402255,NaN,NaN,0.0146885817376559,NaN,0.0165930763940017,NaN,NaN,0.0239371927072226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0135123636413789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0224610941248001,NaN,0.0223505456807198,NaN,NaN,NaN,NaN,NaN,NaN,0.034520475785178,0.015227856250763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279042538432912
4801,0.0356028061935084,NaN,0.0266866505790475,NaN,NaN,0.03027778774564,0.0422455998139658,NaN,NaN,NaN,NaN,NaN,0.017396700740764,NaN,NaN,0.0239039832045674,NaN,0.0597777181651922,NaN,NaN,0.0332985022323285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279831104877696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0265763751863508,NaN,0.0278164665280315,NaN,NaN,NaN,NaN,NaN,NaN,0.0295002152939123,0.0208650512478817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.049472212564803,NaN,0.0162984943556658,NaN,NaN,0.0297735795781519,0.0164475427329206,NaN,NaN,NaN,NaN,NaN,0.0479880771917476,NaN,NaN,0.00687538726481607,NaN,0.038293238158014,NaN,NaN,0.0179735124887907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0330166090346503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0175457012877686,NaN,0.0293529025161629,NaN,NaN,NaN,NaN,NaN,NaN,0.0227486145864664,0.021151784675279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,0.0323203528115298,NaN,0.00894401836601412,NaN,NaN,0.0256400158394931,0.0341145987562141,NaN,NaN,NaN,NaN,NaN,0.0228573137229915,NaN,NaN,0.0298825292600615,NaN,0.0269718317233753,NaN,NaN,0.0363930888438677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0343959115489086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210691663483793,NaN,0.0203903658855382,NaN,NaN,NaN,NaN,NaN,NaN,0.0126675920438684,0.0161896519097239,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,0.0289629017281048,NaN,0.0181807071585557,NaN,NaN,0.0324518573916019,0.0248487025751791,NaN,NaN,NaN,NaN,NaN,0.0245445708126532,NaN,NaN,0.0309014783000697,NaN,0.00916940137389449,NaN,NaN,0.0586062074065494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0349234935802024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0207965037327612,NaN,0.024633289802529,NaN,NaN,NaN,NaN,NaN,NaN,0.0166636492932145,0.0173374094689677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6001,0.0358967997214693,NaN,0.0111976708882486,NaN,NaN,0.0487518362376463,0.0234958664530298,NaN,NaN,NaN,NaN,NaN,0.049228057571882,NaN,NaN,0.021374614134494,NaN,0.0282939131609422,NaN,NaN,0.0188812483683949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0375470138862768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0179446610234925,NaN,0.0242396404531142,NaN,NaN,NaN,NaN,NaN,NaN,0.0143546923715468,0.0182293655862243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6301,0.0143787055018279,NaN,0.0123958849612569,NaN,NaN,0.0244998997604369,0.0260614793992362,NaN,NaN,NaN,NaN,NaN,0.0301031966701599,NaN,NaN,0.0171549933175278,NaN,0.0235348152286851,NaN,NaN,0.0139502047946095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0199140556096449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0320545859770853,NaN,0.0321988353538469,NaN,NaN,NaN,NaN,NaN,NaN,0.0162904061988294,0.0259163437906023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6601,0.0145431807575802,NaN,0.0232708619628233,NaN,NaN,0.0289269903090122,0.016641372213123,NaN,NaN,NaN,NaN,NaN,0.0138222853151455,NaN,NaN,0.0282310253058337,NaN,0.02049134847658,NaN,NaN,0.0145454403927314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0172789691287413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02160981732013,NaN,0.0140986741595191,NaN,NaN,NaN,NaN,NaN,NaN,0.0371697619114868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
