Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00522769774011962,0.0249885935508518,NaN,NaN,NaN,NaN,0.0306065763382931,NaN,0.184023430138536,NaN,NaN,NaN,0.0445349047205232,NaN,NaN,0.0146482895161343,NaN,0.0160525930565674,NaN,NaN,0.0998997919318292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0492583873668898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0046428936977564,0.0390545815641823,NaN,NaN,NaN,NaN,0.0245527014002275,NaN,0.0176419358693071,NaN,NaN,NaN,0.0228806138699037,NaN,NaN,0.00820297985866268,NaN,0.0121630609760358,NaN,NaN,0.0173286646888704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100877898797391,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0165598224057583,0.0166946505385984,0.0759353229804318,NaN,NaN,NaN,0.0144586342994401,NaN,0.0370295981166101,NaN,NaN,NaN,0.021825492855974,NaN,NaN,0.0993298444425613,NaN,0.0114237012500251,NaN,NaN,0.026762149131864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00897119695762219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0119263578984002,0.0320979501993731,0.0574810027390005,NaN,NaN,NaN,0.0181530518324365,NaN,0.0232741219116255,NaN,NaN,NaN,0.0191716636848064,NaN,NaN,0.0153539595489115,NaN,0.0305411403536539,NaN,NaN,0.012192828553883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229556126864658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.00964194282837286,0.0344763603713086,0.038021569383567,NaN,NaN,NaN,0.0188630234607601,NaN,0.0447841663050389,NaN,NaN,NaN,0.0299243385040011,NaN,NaN,0.10171755827728,NaN,0.0167725318429802,NaN,NaN,0.00794159342743458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0154086297638734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0146743910831918,0.0687255828370763,0.0188719275064003,NaN,NaN,0.0212574885223702,0.0235184956152876,NaN,0.0413014418765064,NaN,NaN,NaN,0.0344046010661569,NaN,NaN,0.00817077521151994,NaN,0.0197621920092542,NaN,NaN,0.022788939900925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0164989119516431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00811657097115421,0.0518573107667898,0.0105094521761271,NaN,NaN,0.0181081832891336,0.00792402394011996,NaN,NaN,NaN,NaN,NaN,0.0054663742031427,NaN,NaN,0.0143751754857145,NaN,0.0216914225515921,NaN,NaN,0.031706504342813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00597778613652987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0113671889362578,NaN,0.047799770080266,NaN,NaN,0.0434657138183558,0.021360857008221,NaN,NaN,NaN,NaN,NaN,0.0151874792173129,NaN,NaN,0.0150379921412989,NaN,0.0120115692035871,NaN,NaN,0.0302474442924055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00969660648764638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0173185491792679,NaN,0.0168996088810501,NaN,NaN,0.0234769059718163,0.0202727916351811,NaN,NaN,NaN,NaN,NaN,0.025909807758383,NaN,NaN,0.0108203824408153,NaN,0.0206020939031575,NaN,NaN,0.0249088467126094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197582169035211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0178799511896471,NaN,0.0141995343581528,NaN,NaN,0.0308268456311299,0.019618716990909,NaN,NaN,NaN,NaN,NaN,0.0116215005281421,NaN,NaN,0.0233394637453954,NaN,0.0813872279308727,NaN,NaN,0.00411248772123359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0208523565305827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0172101096160752,NaN,0.0189835345697058,NaN,NaN,0.00898945734415323,0.0276068144670502,NaN,NaN,NaN,NaN,NaN,0.0196893298579961,NaN,NaN,0.0122084217602193,NaN,0.00430052035385715,NaN,NaN,0.0117672225084226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00626021522363813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0110832813651952,NaN,0.0204205427609578,NaN,NaN,0.0192697419727354,0.0130006028576617,NaN,NaN,NaN,NaN,NaN,0.0171055813097446,NaN,NaN,0.0441334881814825,NaN,0.0132105935531227,NaN,NaN,0.0186985646220269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0169515314466782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.00531272516876378,NaN,0.0193015200057555,NaN,NaN,0.0182928589128444,0.0361447782185533,NaN,NaN,NaN,NaN,NaN,0.0279726931899839,NaN,NaN,0.0151714702583759,NaN,0.0134849631973174,NaN,NaN,0.0243668242651397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0160533969496152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.0169168773579399,NaN,0.00966648004103111,NaN,NaN,0.00983946429406801,0.0243007405534356,NaN,NaN,NaN,NaN,NaN,0.0282542867800524,NaN,NaN,0.00983876852625892,NaN,0.0425776353417823,NaN,NaN,0.024112443056869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0123247299198925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0468898928396138,NaN,0.0191591816419172,NaN,NaN,0.00576416442478995,0.0314154279533452,NaN,NaN,NaN,NaN,NaN,0.0210499922597506,NaN,NaN,0.0107331727505258,NaN,0.0122199056155767,NaN,NaN,0.0153540765707167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0037025221181654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.00698736958262617,NaN,0.0141518408727326,NaN,NaN,0.0245806748999102,0.0113623374161132,NaN,NaN,NaN,NaN,NaN,0.0140234497460634,NaN,NaN,0.00739309929278261,NaN,0.0238482719374055,NaN,NaN,0.0316036812556506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0270469347732513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
