Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0132915469122777,0.0229279795867544,NaN,NaN,NaN,NaN,0.0129651732809449,NaN,0.00847599435654208,NaN,NaN,NaN,0.0165853938669942,NaN,NaN,0.0434121163768454,NaN,0.0290472086642792,NaN,NaN,0.00912177635311481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0141039009364178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0258133185212,0.0178810160128034,NaN,NaN,NaN,NaN,0.0219619724251394,NaN,0.0118301032724206,NaN,NaN,NaN,0.0468235529445434,NaN,NaN,0.0314290756736707,NaN,0.0595979187903895,NaN,NaN,0.043645563232169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024182259334343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0225121812987327,0.00766248460987733,NaN,NaN,NaN,NaN,0.0160431888668214,NaN,NaN,NaN,NaN,NaN,0.0230349192186578,NaN,NaN,0.00983961200194232,NaN,0.0588428606809449,NaN,NaN,0.0395893362213429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.030006346417883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.00771365130797233,0.00855367868957808,0.0559021211214078,NaN,NaN,NaN,0.0239567794133584,NaN,NaN,NaN,NaN,NaN,0.0249788001098793,NaN,NaN,0.0258939272645833,NaN,0.0571682420274245,NaN,NaN,0.0526213603460277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0196565993182734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.013625741804625,0.0219657406133002,0.020997080114998,NaN,NaN,NaN,0.0190127267325312,NaN,NaN,NaN,NaN,NaN,0.0209832934545896,NaN,NaN,0.0240431273687551,NaN,0.0332251322582905,NaN,NaN,0.0329304032441519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195381134970881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.00816767162460773,0.0130349833503746,0.0241014268782546,NaN,NaN,NaN,0.0203445629329185,NaN,NaN,NaN,NaN,NaN,0.0454007160728956,NaN,NaN,0.011627356900985,NaN,0.0244678877591867,NaN,NaN,0.0308005570573087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0279838717429664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0208147975685292,0.0197143959193641,0.0155711725085016,NaN,NaN,0.0342715951144412,0.0201556802749901,NaN,NaN,NaN,NaN,NaN,0.0173878743153741,NaN,NaN,0.00536222586818373,NaN,0.054890690581776,NaN,NaN,0.0236820799458683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020618016205135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.00741619816437145,0.0144111240883761,0.0211370019841764,NaN,NaN,0.0507448441527628,0.0287958357150183,NaN,NaN,NaN,NaN,NaN,0.0139318429228661,NaN,NaN,0.0519988067828378,NaN,0.0452862090851721,NaN,NaN,0.0440522565720213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014904884873673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00890702612981159,0.0102252721293064,0.0275482335829651,NaN,NaN,0.0437881235458557,0.0226265460692683,NaN,NaN,NaN,NaN,NaN,0.0358885597781217,NaN,NaN,0.026095131267762,NaN,0.0187258414231569,NaN,NaN,0.0356903670975057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007958500419049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0101987134798357,NaN,0.0218616324492326,NaN,NaN,0.0306358502971724,0.00721203368161044,NaN,NaN,NaN,NaN,NaN,0.0281137288726903,NaN,NaN,0.0234650701088606,NaN,0.0185950620661374,NaN,NaN,0.0104252473967337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148126740439705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0107177928517005,NaN,0.00427083221577822,NaN,NaN,0.0109696770696858,0.0150929364358009,NaN,NaN,NaN,NaN,NaN,0.0382947057692319,NaN,NaN,0.0303342030665268,NaN,0.0232351819430354,NaN,NaN,0.0368312391828952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119320199836571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0204814803231483,NaN,0.0291870023545745,NaN,NaN,0.024425758848371,0.0124988285908831,NaN,NaN,NaN,NaN,NaN,0.0114655674180988,NaN,NaN,0.0109422630047305,NaN,0.0222428738255549,NaN,NaN,0.0238597273427882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.018536994314889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0321206665404368,NaN,0.0184452695238942,NaN,NaN,0.0416747475020074,0.0233798827457346,NaN,NaN,NaN,NaN,NaN,0.0152542840370043,NaN,NaN,0.00902216378608755,NaN,0.0195916430009333,NaN,NaN,0.0160939883406671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0322583153878544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.0112496536139233,NaN,0.0108869044912836,NaN,NaN,0.0381761045734361,0.0276823538680401,NaN,NaN,NaN,NaN,NaN,0.0181887573490378,NaN,NaN,0.0265875233026411,NaN,0.0101431112311975,NaN,NaN,0.0115691331106888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0108536856215456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0239022851186838,NaN,0.032529470369882,NaN,NaN,0.0273426865650256,0.00894196465526152,NaN,NaN,NaN,NaN,NaN,0.021551541204151,NaN,NaN,0.00853147618486991,NaN,0.0299769700332741,NaN,NaN,0.0303754653696543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101754038536326,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
