Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0209481070360414,0.0163165928674893,NaN,NaN,NaN,NaN,0.022156195435533,NaN,0.0387730299582578,NaN,NaN,NaN,0.0308250375886949,NaN,NaN,0.0118961998077003,NaN,0.0328445834379889,NaN,NaN,0.0367504462672674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426046572063397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0293341228664136,0.0329451785902739,NaN,NaN,NaN,NaN,0.0119493914913619,NaN,0.00738372600222448,NaN,NaN,NaN,0.0262642305167079,NaN,NaN,0.0118829190843909,NaN,0.0657318673374087,NaN,NaN,0.0332502503411962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0288946305623947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.023603619096232,0.0320787703834322,NaN,NaN,NaN,NaN,0.0162082491248199,NaN,NaN,NaN,NaN,NaN,0.0264285069395638,NaN,NaN,0.0121919681128714,NaN,0.0535455392919921,NaN,NaN,0.0471297043598509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0447391162218584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0173034619060656,0.0384193938590013,NaN,NaN,NaN,NaN,0.0199471096810546,NaN,NaN,NaN,NaN,NaN,0.0224504442598821,NaN,NaN,0.0272683285154665,NaN,0.00926130100694419,NaN,NaN,0.0372225991531384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130011914295437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0114078567964214,0.00838767525718992,0,NaN,NaN,NaN,0.00814359643484398,NaN,NaN,NaN,NaN,NaN,0.0312800898159978,NaN,NaN,0.027313524550544,NaN,0.0492315347268043,NaN,NaN,0.0388598661224302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00661965867431929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0123175963721821,0.0231660365436301,0.00546891870359842,NaN,NaN,NaN,0.0284919282772731,NaN,NaN,NaN,NaN,NaN,0.035689240373778,NaN,NaN,0.0155584767624446,NaN,0.0440376627124153,NaN,NaN,0.0521405255852467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176023574742289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0297730654858625,0.0209191269043723,0.0253549520440854,NaN,NaN,NaN,0.0140861387793908,NaN,NaN,NaN,NaN,NaN,0.024881562359703,NaN,NaN,0.0149545421519655,NaN,0.0282610280497346,NaN,NaN,0.032045821849588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157964694998018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0182724413026325,0.00983608700975457,0.0463879135979369,NaN,NaN,NaN,0.0186477371945363,NaN,NaN,NaN,NaN,NaN,0.0212017657718433,NaN,NaN,0.0171067526439083,NaN,0.0308488278187889,NaN,NaN,0.037786679949448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0517496449372832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.019238579226432,0.0213842932386494,0.0403576241083237,NaN,NaN,0.0225421088965717,0.0151360630087221,NaN,NaN,NaN,NaN,NaN,0.0408349697293725,NaN,NaN,0.0156802999145216,NaN,0.0270277144511154,NaN,NaN,0.0399936639656307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0192682256377791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
