Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00289394742226326,0.0102853672027433,0.0742546659733764,NaN,NaN,NaN,0.0157394614028386,NaN,0.0171152372726663,NaN,NaN,NaN,0.0334689293838474,NaN,NaN,0.0276208830048374,NaN,0.00601078759841876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0398041555116749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0115765324022743,0.0094169000444374,0.0230033112562615,NaN,NaN,0.029702299792664,0.0199777226977486,NaN,0.0191787182362679,NaN,NaN,NaN,0.028043936704013,NaN,NaN,0.00720433847848927,NaN,0.00847330824960415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266943221324981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.00951823226414136,0.0114254108005878,0.0185621186563249,NaN,NaN,0.0738254727497569,NaN,NaN,0.0143194017559554,NaN,NaN,NaN,0.0144252370403182,NaN,NaN,0.00893687883158038,NaN,0.0107898979805589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0410326185040573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0135093665295872,0.0158215345617325,0.0226185768348913,NaN,NaN,0.0256547799904844,0.0058534395933022,NaN,0.0278694579181955,NaN,NaN,NaN,0.0204378072748477,NaN,NaN,0.0109808750410596,NaN,0.0280241703754098,NaN,NaN,0.0245868443359164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0462274567922472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0187563711132542,0.0301752560866511,0.0441046921392969,NaN,NaN,0.031396166754648,0.0268290143057606,NaN,0.0279098996542068,NaN,NaN,NaN,0.0108231733829508,NaN,NaN,0.0143047865148018,NaN,0.0263394560939592,NaN,NaN,0.0173556926124807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0125543848522008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0255429701132091,NaN,0.0300155880103896,NaN,NaN,0.0174901170053098,0.119869999975403,NaN,0.117574884265146,NaN,NaN,NaN,0.0182148967402106,NaN,NaN,0.025571388518183,NaN,0.0185907542860112,NaN,NaN,0.0321447702373983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0147063011084484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0110643612638849,NaN,0.0216157849859204,NaN,NaN,0.0117059780017745,0.00868307854161548,NaN,0.072371552215768,NaN,NaN,NaN,0.0658563744652385,NaN,NaN,0.0298053108097308,NaN,0.00534738396619778,NaN,NaN,0.0289208710623803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0113242466307812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0292337000900337,NaN,0.0131938988126496,NaN,NaN,0.00621675729805652,0.0208563706819864,NaN,0.0244851634123374,NaN,NaN,NaN,0.0153071580951178,NaN,NaN,0.0194646003107052,NaN,0.0110172181489401,NaN,NaN,0.0185906348818369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111585875891227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00838914878798346,NaN,0.0333701414113909,NaN,NaN,0.0365428317777426,0.0727212086700965,NaN,0.0686564379526581,NaN,NaN,NaN,0.022957711803673,NaN,NaN,0.00710514673297803,NaN,0.0120965833042666,NaN,NaN,0.0298721844703449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010911067495185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.023878160229812,NaN,0.0454404398102157,NaN,NaN,0.0012879166195665,0.00947965338058354,NaN,0.0574561274158828,NaN,NaN,NaN,0.0165700982956276,NaN,NaN,0.0179333988146429,NaN,0.0017328826240554,NaN,NaN,0.0258828958196829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127040320911834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0112293478546999,NaN,0.00627368842782447,NaN,NaN,0.0206396195922608,0.0058589444561828,NaN,NaN,NaN,NaN,NaN,0.0240763010116434,NaN,NaN,0.0245902203829784,NaN,0.0194855356522552,NaN,NaN,0.0350864329019792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0102188705533332,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.00699471500040647,NaN,0.0218803105449602,NaN,NaN,0.0145568252870033,0.0117365363798762,NaN,NaN,NaN,NaN,NaN,0.00814612406509574,NaN,NaN,0.018074706050557,NaN,0.0170444733913842,NaN,NaN,0.0203486544746285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00651540913200224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0163191161662866,NaN,0.0205101164531324,NaN,NaN,0.0316045085952072,0.0222133155075752,NaN,NaN,NaN,NaN,NaN,0.00758299295533722,NaN,NaN,0.0263399819091347,NaN,0.0124588151267452,NaN,NaN,0.0193084062734893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149924752714743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.0170332894822899,NaN,0.0158956599397347,NaN,NaN,0.040382692027318,0.00557729012888489,NaN,NaN,NaN,NaN,NaN,0.0174861370601221,NaN,NaN,0.0186493442768719,NaN,0.0242199686441181,NaN,NaN,0.026517206808455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00833004939320373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0093305045851824,NaN,0.0240379077582483,NaN,NaN,0.0104271840183677,0.0018977571336353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0145081239169029,NaN,0.0197618226758962,NaN,NaN,0.0218214846051543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00906789981037348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.00761195358761971,NaN,0.048378104911458,NaN,NaN,0.00804903409287615,0.027227577650857,NaN,NaN,NaN,NaN,NaN,0.0131168770211276,NaN,NaN,0.00787889528961938,NaN,0.0174046350753032,NaN,NaN,0.0313524264252754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0339330423167557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.019579893263422,NaN,0.0204085052334229,NaN,NaN,0.0220757883408069,0.0288682186986525,NaN,NaN,NaN,NaN,NaN,0.0137609424190933,NaN,NaN,0.0250379989333885,NaN,0.0273552637178122,NaN,NaN,0.00585291238007453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0095085559552743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,0.0186690966360111,NaN,0.0166498614086888,NaN,NaN,0.0109467813375665,0.00747520568273388,NaN,NaN,NaN,NaN,NaN,0.0192195746963947,NaN,NaN,0.0287539614878687,NaN,0.010740064896763,NaN,NaN,0.0433807884770006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0252652164700518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,0.00946156046972705,NaN,0.0178725302597604,NaN,NaN,0.00886561288517604,0.0451237957288768,NaN,NaN,NaN,NaN,NaN,0.0253256739385956,NaN,NaN,0.0592704329322291,NaN,0.0176623939030852,NaN,NaN,0.0284368807265925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0137665338010142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
