Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0299573841320049,0.0256872797730622,NaN,NaN,NaN,NaN,0.0128760262112154,NaN,0.0313293319622585,NaN,NaN,NaN,0.0270872779788254,NaN,NaN,0.026601599591497,NaN,0.0213169155295651,NaN,NaN,0.0346892623151392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0528276289576367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0334171005078017,0.0332182092880432,NaN,NaN,NaN,NaN,0.0046221058147271,NaN,0.0128980242197824,NaN,NaN,NaN,0.028342197291825,NaN,NaN,0.0230883874910681,NaN,0.0374506829197291,NaN,NaN,0.0267975009841818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0426125594196863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0336270042292062,0.0270259550299188,NaN,NaN,NaN,NaN,0.00300264366531164,NaN,0.0201737485122548,NaN,NaN,NaN,0.0595627503380003,NaN,NaN,0.0674131904014777,NaN,0.0334031055767573,NaN,NaN,0.0268851992911586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0580006592324699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0278111041086514,0.0261168250248064,NaN,NaN,NaN,NaN,0.0120799739010663,NaN,NaN,NaN,NaN,NaN,0.0791071549632914,NaN,NaN,0.0617995608172224,NaN,0.0174243331398253,NaN,NaN,0.0608656351506667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0210088802937004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0281847228144713,0.00982203567288248,0.0472346540354171,NaN,NaN,0.0604303623117866,0.0169236360379164,NaN,NaN,NaN,NaN,NaN,0.0460441669000468,NaN,NaN,0.0322171914513706,NaN,0.0326817398192549,NaN,NaN,0.0543683519049548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266366669837536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0325676283144384,0.01107847655353,0.0760668685387228,NaN,NaN,0.113202936809647,0.0214793367563132,NaN,NaN,NaN,NaN,NaN,0.0429713055230355,NaN,NaN,0.0174895533842206,NaN,0.0313608056175145,NaN,NaN,0.0681114167374423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161473380935215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0226789143934279,0.0322901711127833,0.0156129257695477,NaN,NaN,0.0510232050321004,0.0285186194668086,NaN,NaN,NaN,NaN,NaN,0.0507831332751113,NaN,NaN,0.0490604332570643,NaN,0.0208707744761662,NaN,NaN,0.0741241802919944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0202343222445618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0239189175199639,0.0416314898906843,0.0843094234624425,NaN,NaN,0.0437356637386321,0.0201392078020438,NaN,NaN,NaN,NaN,NaN,0.0278449506134182,NaN,NaN,0.0231548401968182,NaN,0.0327164832526606,NaN,NaN,0.0556913705654232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0393296224135353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0244521368055333,NaN,0.0762882106810553,NaN,NaN,0.0600647622803017,0.0178632505797333,NaN,NaN,NaN,NaN,NaN,0.0338976695553254,NaN,NaN,0.0348527865627331,NaN,0.0105447456251877,NaN,NaN,0.0353179749234687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0261925288760426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0296796119789194,NaN,0.021001008113925,NaN,NaN,0.0315840541348599,0.0330711261782226,NaN,NaN,NaN,NaN,NaN,0.0506455418939875,NaN,NaN,0.00898011248311021,NaN,0.0162227186641188,NaN,NaN,0.0336442290523156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0291007481065883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0320784688549934,NaN,0.05160122935002,NaN,NaN,0.0192825205684434,0.0302741799640276,NaN,NaN,NaN,NaN,NaN,0.060771432457884,NaN,NaN,0.0196701005043153,NaN,0.0270058939120554,NaN,NaN,0.032618317959793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259791096949132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0347223195146318,NaN,0.0307617934671617,NaN,NaN,0.0382297180685893,0.0156355404414519,NaN,NaN,NaN,NaN,NaN,0.0421037011414134,NaN,NaN,0.0301526669435407,NaN,0.0259883170838151,NaN,NaN,0.06566936324827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112733602495811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
