Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00937719616713776,0.00606295224602418,0.0370503145224246,NaN,NaN,NaN,0.0238138958057149,NaN,0.0730725245280776,NaN,NaN,NaN,0.0485634250626033,NaN,NaN,0.105124875234474,NaN,0.0215438795015708,NaN,NaN,0.0103729423150156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0453214722929305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0163675123406635,0.0160775712435829,0.0382753586689906,NaN,NaN,NaN,0.0679954457985772,NaN,0.146645371025439,NaN,NaN,NaN,0.0777172046223962,NaN,NaN,0.0198075096401651,NaN,0.0481865583096672,NaN,NaN,0.023107633102604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234919626529762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0140704934658424,0.0156267236657505,0.0566434826195608,NaN,NaN,0.0545426879935385,0.0167205809991116,NaN,0.0144944571080349,NaN,NaN,NaN,0.0224040653660808,NaN,NaN,0.0238316162514524,NaN,0.0553942203350715,NaN,NaN,0.0338733222302019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369455173481926,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.00892970276215652,0.0103385722575353,0.03505095507702,NaN,NaN,0.0533997268229648,0.0678276193170844,NaN,0.0256043078577948,NaN,NaN,NaN,0.00703379332403064,NaN,NaN,0.00833971865457133,NaN,0.00844601989011237,NaN,NaN,0.016525229864751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178512894128313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0345902643745194,0.00422849786663942,0.0179190917003491,NaN,NaN,0.0304289944594482,NaN,NaN,0.0225152780417883,NaN,NaN,NaN,0.0252977964682111,NaN,NaN,0.0111787041999897,NaN,0.0216335560358246,NaN,NaN,0.0549641827681802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206883118373883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.00760398241816123,NaN,0.0202782562672248,NaN,NaN,0.0531393493054401,0.0398848683843488,NaN,0.031359220673587,NaN,NaN,NaN,0.0101999755055653,NaN,NaN,0.0116455251300607,NaN,0.0133973833389806,NaN,NaN,0.0243012059529541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0185823105379676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.00707185777131445,NaN,0.0396998725535446,NaN,NaN,0.0361365553050766,0.0136223543495774,NaN,0.0418436655021413,NaN,NaN,NaN,0.0268289246651539,NaN,NaN,0.020129267745263,NaN,0.0190438027462365,NaN,NaN,0.0135165895527279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131063995580378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.00863352788277291,NaN,0.00619246466474445,NaN,NaN,0.034313850892539,0.0437642203057882,NaN,0.190308224371788,NaN,NaN,NaN,0.0161333466638785,NaN,NaN,0.0140328535946412,NaN,0.0395289356750123,NaN,NaN,0.03704992052442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00634900502311472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.00999889253619798,NaN,0.0114804054845102,NaN,NaN,0.0387181090751308,0.0676264822858107,NaN,NaN,NaN,NaN,NaN,0.0264966120008427,NaN,NaN,0.00716081349401586,NaN,0.0162723915269522,NaN,NaN,0.0254863004760021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.023206129652193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
