Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0207616734198688,0.0218322656391361,NaN,NaN,NaN,NaN,0.0214050062535749,NaN,0.0242466803913073,NaN,NaN,NaN,0.0190641509542381,NaN,NaN,0.0145215940808464,NaN,0.0195137289665436,NaN,NaN,0.0154518660942454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0185256728607248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016962641180217,NaN,0.01517687240988,NaN,NaN,NaN,NaN,NaN,NaN,0.0472216040984834,0.0190709636818648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335413801526811
601,0.0171456034593409,0.0169247539116146,NaN,NaN,NaN,NaN,0.0102562925129416,NaN,0.0223694656938275,NaN,NaN,NaN,0.0193705295561172,NaN,NaN,0.0142055542102205,NaN,0.0160655505556284,NaN,NaN,0.00527397970753245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00812642918415943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0667220676974089,NaN,0.0190775233731122,NaN,NaN,NaN,NaN,NaN,NaN,0.0104256673760399,0.00601226703414819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0194793938244898
901,0.00474390799376761,0.00688936392870486,NaN,NaN,NaN,NaN,0.0101272875418119,NaN,0.0225516717220386,NaN,NaN,NaN,0.0169253648996358,NaN,NaN,0.0048684787129005,NaN,0.0223110004530882,NaN,NaN,0.0223511507157826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0167892789691705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183500494247892,NaN,0.0102931879556114,NaN,NaN,NaN,NaN,NaN,NaN,0.0372955759670856,0.0332965910057946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230738830506336
1201,0.0172518776411051,0.0119829508268383,0.0171971687967722,NaN,NaN,NaN,0.0114189038775421,NaN,0.0163679108641117,NaN,NaN,NaN,0.0222074426934678,NaN,NaN,0.0208374477667385,NaN,0.0201320716405795,NaN,NaN,0.0308073168699565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198019108986829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0256721746435852,NaN,0.0133270126321135,NaN,NaN,NaN,NaN,NaN,NaN,0.0305844884275119,0.00313628475634691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219614238328754
1501,0.021469884906949,0.0128022649878464,0.0255760052196221,NaN,NaN,0.0433343880023648,0.0172915137926199,NaN,NaN,NaN,NaN,NaN,0.00881532720553453,NaN,NaN,0.0106415765790755,NaN,0.0138332341329568,NaN,NaN,0.0250150161976443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109006523475245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0171480704390178,NaN,0.0202661419833857,NaN,NaN,NaN,NaN,NaN,NaN,0.0185945942933792,0.0197042312051691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00248488317831449
1801,0.022987440007141,0.0226482413431011,0.027282355954406,NaN,NaN,0.0367032540454636,0.0298424269915444,NaN,NaN,NaN,NaN,NaN,0.0403223414033521,NaN,NaN,0.0103464482586843,NaN,0.0152793270077471,NaN,NaN,0.0124955142206572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00482191890291245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158060833599597,NaN,0.0105621242191267,NaN,NaN,NaN,NaN,NaN,NaN,0.0227674801817418,0.00963667438750788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144351248709689
2101,0.0169129159004693,0.0215744431741924,0.0118328160591953,NaN,NaN,0.0626221490060126,0.0247171118086984,NaN,NaN,NaN,NaN,NaN,0.0218679901144902,NaN,NaN,0.0137638738903996,NaN,0.0281312084704845,NaN,NaN,0.0331560321041864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0216034516202204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0415486420868171,NaN,0.0253764629918369,NaN,NaN,NaN,NaN,NaN,NaN,0.0313395739671206,0.0204110001361096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308456578279217
2401,0.0194554427022997,0.00981863182858059,0.00501831774619601,NaN,NaN,0.0444913860974186,0.0371759367288983,NaN,NaN,NaN,NaN,NaN,0.0276166105071953,NaN,NaN,0.0158841833012229,NaN,0.0102083846549041,NaN,NaN,0.015152653120849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161882066390913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112273621789012,NaN,0.0237020767624317,NaN,NaN,NaN,NaN,NaN,NaN,0.0246306379485469,0.00593520358566601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0728101772914623
2701,0.0355754839788186,NaN,0.020235178623304,NaN,NaN,0.0393452930337454,0.00864821129731966,NaN,NaN,NaN,NaN,NaN,0.0230682315710113,NaN,NaN,0.027249322838879,NaN,0.0146231723044677,NaN,NaN,0.031055950825432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.028312179253631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129580770580212,NaN,0.0140463869655262,NaN,NaN,NaN,NaN,NaN,NaN,0.0263634737990694,0.0169145573818488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127601754632759
