Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.014533122875705,0.0290836234346563,NaN,NaN,NaN,NaN,0.072940196710319,NaN,NaN,NaN,NaN,NaN,0.0149185434691521,NaN,NaN,0.053136889143159,NaN,0.0269127998683219,NaN,NaN,0.0253997242878152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0624978863325135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0128071253166137,0.0311460189820773,NaN,NaN,NaN,NaN,0.0228107782959708,NaN,NaN,NaN,NaN,NaN,0.0256938659412047,NaN,NaN,0.0298681967761913,NaN,0.0279327614848352,NaN,NaN,0.0223248473576346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0124535493189413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0164726593456196,0.0205202748861629,NaN,NaN,NaN,NaN,0.0182978201500432,NaN,NaN,NaN,NaN,NaN,0.0332217386906881,NaN,NaN,0.0358297427400673,NaN,0.0187173191059306,NaN,NaN,0.0243393722232034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0124837860148989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0117828063148449,0.00984805006034693,0,NaN,NaN,NaN,0.00712166838131758,NaN,NaN,NaN,NaN,NaN,0.0247320238130899,NaN,NaN,0.0192929001942998,NaN,0.0205116859116571,NaN,NaN,0.0139680719760951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189842842448798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0243622607606778,0.0272632230853813,0.0303089254758143,NaN,NaN,NaN,0.0258028941018155,NaN,NaN,NaN,NaN,NaN,0.0198331455559663,NaN,NaN,NaN,NaN,0.030489418809582,NaN,NaN,0.0204703620455387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026539156641343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0223544461684861,0.0216239373692199,0.0306381909389186,NaN,NaN,NaN,0.0154390159219074,NaN,NaN,NaN,NaN,NaN,0.0266908284523014,NaN,NaN,0.0325462114008326,NaN,0.0487768706824845,NaN,NaN,0.0682301661870186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0207652768928723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0148298755799915,0.0175134025175092,0.0120908342017915,NaN,NaN,0.00248140634488742,0.00651036259611109,NaN,NaN,NaN,NaN,NaN,0.0204430783264337,NaN,NaN,0.032475294587808,NaN,0.0154944833088764,NaN,NaN,0.0216981100088593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0266583979286265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0130810414040492,0.0177696769340399,0.019385377816237,NaN,NaN,0.0443032946995388,0.0280120757255629,NaN,NaN,NaN,NaN,NaN,0.0192350810435853,NaN,NaN,0.00910612110613329,NaN,0.0348926841790243,NaN,NaN,0.0254342222910498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197400741172385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0214668065495552,0.0208864331616003,0.0159804460943455,NaN,NaN,0.0266154376849256,0.0274718914201514,NaN,NaN,NaN,NaN,NaN,0.0271198113696591,NaN,NaN,0.0288319334936279,NaN,0.0227744533768006,NaN,NaN,0.0415889471137515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306331063962524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0251423912004312,0.0302957415180135,0.0234409698726551,NaN,NaN,0.0113009246805231,0.00314274856678345,NaN,NaN,NaN,NaN,NaN,0.0140395530819219,NaN,NaN,0.0282154677124555,NaN,0.0182906426140064,NaN,NaN,0.0337245430471808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0313336579420637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.00697273234807082,NaN,0.0244497699728369,NaN,NaN,0.0167155893137427,0.0210187937512871,NaN,NaN,NaN,NaN,NaN,0.0331240021867467,NaN,NaN,0.0140649097273527,NaN,0.0287121053743827,NaN,NaN,0.0191796656071007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0192829612241777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.013855620063674,NaN,0.0560627649797712,NaN,NaN,0.0287920550753808,0.0206962672348765,NaN,NaN,NaN,NaN,NaN,0.0196955773921192,NaN,NaN,0.0172425783544437,NaN,0.0251952110153575,NaN,NaN,0.0318491316705988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277825708365616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0206777509732175,NaN,0.0188510193983358,NaN,NaN,0.0210468735436515,0.0102966550437908,NaN,NaN,NaN,NaN,NaN,0.0253966057216539,NaN,NaN,0.0326683671999465,NaN,0.0273094166046713,NaN,NaN,0.0334639443494684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00541741782387747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.01638473162295,NaN,0.01844000822262,NaN,NaN,0.0381898514782994,0.0242948048561872,NaN,NaN,NaN,NaN,NaN,0.0362513994915859,NaN,NaN,0.0298103196894884,NaN,0.00694497827853909,NaN,NaN,0.0443124721545264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157211930075572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.0240914093398183,NaN,0.0249310588941222,NaN,NaN,0.0175446690269702,0.0132025822004061,NaN,NaN,NaN,NaN,NaN,0.0195821847148023,NaN,NaN,0.0203076658675031,NaN,0.0329655714918674,NaN,NaN,0.0220399727397257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.155209221913396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.0125964543609623,NaN,0.0214758697077655,NaN,NaN,0.0210032456993649,0.0239542507278639,NaN,NaN,NaN,NaN,NaN,0.0261454174330513,NaN,NaN,0.021458502499351,NaN,0.0416773409198328,NaN,NaN,0.0208089241230141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0258364970292035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.0164479713934988,NaN,0.0234575120295437,NaN,NaN,0.0224948006064014,0.0145087129855519,NaN,NaN,NaN,NaN,NaN,0.0150686565679821,NaN,NaN,0.0198687924665873,NaN,0.02695452670619,NaN,NaN,0.0114700405450582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0228838786450167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,0.0291544928260609,NaN,0.0176478744641049,NaN,NaN,0.0407756160695261,0.014699070035023,NaN,NaN,NaN,NaN,NaN,0.0247844183213247,NaN,NaN,0.02092918271906,NaN,0.0206818578948398,NaN,NaN,0.0336682011165884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0879411043821542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,0.0492433178026515,NaN,0.0206781445189331,NaN,NaN,0.0586403968881554,0.020372929163271,NaN,NaN,NaN,NaN,NaN,0.0174857535043411,NaN,NaN,0.0241974277682402,NaN,0.0144465740988001,NaN,NaN,0.0143376679581616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.116353971396096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6001,0.0079940591034614,NaN,0.00713503469905013,NaN,NaN,0.0236226127867597,0.0134017987615613,NaN,NaN,NaN,NaN,NaN,0.0120249727183143,NaN,NaN,0.0302678649275225,NaN,0.0194563974634143,NaN,NaN,0.0231363203073767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011324601258501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6301,0.0165891382993179,NaN,0.0113044384819199,NaN,NaN,0.0173773511140721,0.0165016851303425,NaN,NaN,NaN,NaN,NaN,0.00841793348343231,NaN,NaN,0.0361331971407347,NaN,0.0214058531700623,NaN,NaN,0.0250993735163675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308388839274225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6601,0.0229532390068944,NaN,0.0361783337038811,NaN,NaN,0.0150988238584751,0.0171817993062576,NaN,NaN,NaN,NaN,NaN,0.015056875727555,NaN,NaN,0.0183822760029928,NaN,0.0293865669689846,NaN,NaN,0.020143767395221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0222207521912887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6901,0.0247498535439733,NaN,0.0253504155480925,NaN,NaN,0.0245339885152209,0.0150541463170763,NaN,NaN,NaN,NaN,NaN,0.023891395678948,NaN,NaN,0.0318885690877076,NaN,0.0384813148528405,NaN,NaN,0.0283330050420891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00770103958398101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7201,0.0246070086442081,NaN,0.0300060978380508,NaN,NaN,0.0417205045848073,0.0140308767842493,NaN,NaN,NaN,NaN,NaN,0.0260482117323865,NaN,NaN,0.0229213154069675,NaN,NaN,NaN,NaN,0.0354529695548885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.144714507776463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7501,0.021664802894403,NaN,0.0186888180157919,NaN,NaN,0.0136717880034131,0.0229898912213783,NaN,NaN,NaN,NaN,NaN,0.0186136933409889,NaN,NaN,0.044255461138196,NaN,0.0142575523008609,NaN,NaN,0.026893663166936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0182778840555624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
