Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0130443145765944,0.0135534789624044,NaN,NaN,NaN,NaN,0.0209106967794046,NaN,0.01481355035591,NaN,NaN,NaN,0.0374959182889927,NaN,NaN,0.0199823850593642,NaN,0.04259167465211,NaN,NaN,0.0777010323011195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00880029388480324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0174566524144047,0.0142230128276909,NaN,NaN,NaN,NaN,0.0171796912446288,NaN,NaN,NaN,NaN,NaN,0.0232777758079737,NaN,NaN,0.0148141723457833,NaN,0.0777814804386247,NaN,NaN,0.0733520727009118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0615046540235972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0120311950540166,0.0239607135257805,NaN,NaN,NaN,NaN,0.010483396891419,NaN,NaN,NaN,NaN,NaN,0.025428746720203,NaN,NaN,0.0238763075073462,NaN,0.00921410729695277,NaN,NaN,0.0228530055708658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0123779526619848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0112295260381049,0.0129416271293736,NaN,NaN,NaN,NaN,0.0102055628764154,NaN,NaN,NaN,NaN,NaN,0.0255554214230338,NaN,NaN,0.0229970151722038,NaN,0.0200705665605348,NaN,NaN,0.0482521037056536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010952757856517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0119471919067594,0.0199293085469972,NaN,NaN,NaN,NaN,0.0226091792416032,NaN,NaN,NaN,NaN,NaN,0.0615325303294244,NaN,NaN,0.0495203534983198,NaN,0.025623611193541,NaN,NaN,0.027505817488626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369790558378329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0110073473105476,0.0340505058525196,NaN,NaN,NaN,NaN,0.0234307808228475,NaN,NaN,NaN,NaN,NaN,0.0249007939712922,NaN,NaN,0.0247153733673173,NaN,0.0434245634508871,NaN,NaN,0.0203625561742536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227258830242449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0131292968928005,0.0238230194471232,0.0157067098319662,NaN,NaN,0.00890425436489062,0.0172685814225166,NaN,NaN,NaN,NaN,NaN,0.0136824146360301,NaN,NaN,0.0170767355671255,NaN,0.014081908906436,NaN,NaN,0.0374550392103049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0209129970682452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0250620756632942,0.0398787422186353,0.023419441510022,NaN,NaN,0.024205523984258,0.0324156980670344,NaN,NaN,NaN,NaN,NaN,0.0370179346454957,NaN,NaN,0.0120931510198405,NaN,0.0142509617844198,NaN,NaN,0.0620801871565344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0271458676339133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0260826043656567,0.0260258451043114,0.0186896609451753,NaN,NaN,0.0155992111388408,0.021244449849677,NaN,NaN,NaN,NaN,NaN,0.0406896124665131,NaN,NaN,0.0284486403631625,NaN,0.0293159842220916,NaN,NaN,0.0368971202005595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128957395438307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
