Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,17.8753292020509,19.4678788698972,24.924723628103,NaN,NaN,NaN,20.4129432098257,NaN,18.4802424406097,NaN,NaN,NaN,20.4151954035164,NaN,NaN,18.7469673344124,NaN,16.9941525642627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.87727664014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.45609497010263,NaN,-4.16325330942344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0710786143625223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.2670565769376
601,18.4437794916726,20.1618898203234,25.8880501693019,NaN,NaN,NaN,21.2159359203363,NaN,19.3528933075266,NaN,NaN,NaN,21.1690757792666,NaN,NaN,19.5336185175233,NaN,18.0363094253514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6035782250766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.99902435248561,NaN,-3.73000858936306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33520523714056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.5604854476542
901,19.1764179821229,20.7293855562717,26.8802948734751,NaN,NaN,NaN,22.0057812045261,NaN,20.2859566159891,NaN,NaN,NaN,21.7966836540918,NaN,NaN,20.3384099630262,NaN,19.1371246909103,NaN,NaN,22.3499451847719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3166378480423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.3717332037792,NaN,-3.44159491406573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.77068880705733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.7424957949632
1201,19.8324257873064,21.120430151722,27.7843966838156,NaN,NaN,NaN,22.7500794772846,NaN,21.2187552879486,NaN,NaN,NaN,22.3154110758956,NaN,NaN,20.7886687249385,NaN,19.8997652414145,NaN,NaN,22.9428955510885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0548482915287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.9796239803894,NaN,-2.89160426558501,NaN,NaN,NaN,NaN,NaN,NaN,7.58481201190834,4.20561646889923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.8844966587658
1501,20.6169542562989,21.5881365726171,28.7549322648299,NaN,NaN,20.0977611940519,23.464006368203,NaN,22.1464075184195,NaN,NaN,NaN,22.9601073136401,NaN,NaN,21.458717256686,NaN,20.7949318026606,NaN,NaN,23.6789119473464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6734903653052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.47493187659877,NaN,-2.33797498812138,NaN,NaN,NaN,NaN,NaN,NaN,8.18493644980946,5.50203186875124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-28.9917397771063
1801,21.321268421858,22.1684513944516,29.5969867265153,NaN,NaN,21.1818068038742,24.0583386532452,NaN,NaN,NaN,NaN,NaN,23.4240513556474,NaN,NaN,22.1117968425253,NaN,21.6860404189737,NaN,NaN,24.0433142541063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.5678693795319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.37488595241813,NaN,-1.96096774462449,NaN,NaN,NaN,NaN,NaN,NaN,8.66614704824887,6.61748436031243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.8154677141547
2101,21.9303903774321,22.6726195667124,30.4440797732982,NaN,NaN,22.2787876322341,24.9988541070261,NaN,NaN,NaN,NaN,NaN,23.8067066987822,NaN,NaN,22.7780729247441,NaN,22.6485302023777,NaN,NaN,24.2878086354844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.0523749057782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.87544751342191,NaN,-1.34034039995922,NaN,NaN,NaN,NaN,NaN,NaN,9.06146809666791,7.70650345054025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.6007464886304
2401,22.3820897421873,23.0859059787067,31.2126440916315,NaN,NaN,23.4396680568488,25.9874502577452,NaN,NaN,NaN,NaN,NaN,24.251902725239,NaN,NaN,23.4358468245821,NaN,23.3346910416246,NaN,NaN,24.363137554413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.7702375401383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.45478529788679,NaN,-0.821790465142526,NaN,NaN,NaN,NaN,NaN,NaN,9.51957288851855,8.75447541542508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.4539049523467
2701,23.0169203573211,NaN,31.8024044482984,NaN,NaN,24.2546204953727,26.9804543899139,NaN,NaN,NaN,NaN,NaN,24.8761260795986,NaN,NaN,23.9688806419592,NaN,24.1583102797924,NaN,NaN,24.8370789698593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.5818391289476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.0109830732867,NaN,-0.129058068291573,NaN,NaN,NaN,NaN,NaN,NaN,10.1774731197843,9.78413399532644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.2916657657661
