Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,19.5278388863324,20.2729426142729,22.7839774254791,NaN,NaN,NaN,17.1856576225294,NaN,14.1976876184602,NaN,NaN,NaN,19.1705684626733,NaN,NaN,15.7473087592044,NaN,14.7312796970005,NaN,NaN,18.2118266276763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2090744369119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,20.2952307300812,21.1216922405392,23.9337189435875,NaN,NaN,NaN,17.96648128008,NaN,15.1798977324969,NaN,NaN,NaN,19.9056573332329,NaN,NaN,16.2084053644841,NaN,15.8964342369184,NaN,NaN,19.1630715256836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7083115182707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,20.977050002676,22.031053375282,24.9502355766613,NaN,NaN,NaN,18.6301731853654,NaN,16.2721876236812,NaN,NaN,NaN,20.6098565149035,NaN,NaN,16.9017978920911,NaN,16.8070816790049,NaN,NaN,19.9812719519873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2015230573544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.8147235439935,22.9323050494461,25.7596852156952,NaN,NaN,NaN,19.2077760461678,NaN,17.1353379523074,NaN,NaN,NaN,20.9621422609858,NaN,NaN,17.6195357905771,NaN,17.4765732502137,NaN,NaN,20.5104890230659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8196825223231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,22.6098513246777,23.7951748181739,26.7518323945769,NaN,NaN,17.185860677932,19.9318293552595,NaN,17.7925923448116,NaN,NaN,NaN,21.5141301130006,NaN,NaN,18.0317925541739,NaN,18.6167994444016,NaN,NaN,21.0598516372717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4328892105462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,23.1532859777471,24.5284841099446,27.638005696902,NaN,NaN,18.3194070084521,20.8583055136704,NaN,NaN,NaN,NaN,NaN,21.8706145485246,NaN,NaN,18.7756550864581,NaN,19.4156856585656,NaN,NaN,21.4806941880538,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.0232729847898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,23.6473046451345,25.0474320346938,28.3870319938903,NaN,NaN,19.3935635286464,21.700358660925,NaN,NaN,NaN,NaN,NaN,21.987073232459,NaN,NaN,19.4728973103268,NaN,20.3649199852864,NaN,NaN,21.7756295790613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7326675599874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,24.2309713364584,25.5258892189207,28.9491101876441,NaN,NaN,20.3097297870614,22.5290290657516,NaN,NaN,NaN,NaN,NaN,22.4405431790838,NaN,NaN,20.3679399534137,NaN,21.1007259525971,NaN,NaN,22.1293046478581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6410176629372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,24.6860838641425,25.8272725313605,29.5727782286508,NaN,NaN,20.8070989874969,23.4269584426126,NaN,NaN,NaN,NaN,NaN,22.9634949149121,NaN,NaN,21.1077406627183,NaN,21.7694717301542,NaN,NaN,22.3817133274393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5214497955641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
