Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,9.69532561188418,12.4483708770627,NaN,NaN,NaN,NaN,5.73781948402445,NaN,NaN,NaN,NaN,NaN,9.88658547924402,NaN,NaN,6.05792303371833,NaN,9.03651427176668,NaN,NaN,10.0955364528564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.33155864863807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,10.3780775779163,13.3491854088321,NaN,NaN,NaN,NaN,6.51847547643542,NaN,NaN,NaN,NaN,NaN,10.4047579822916,NaN,NaN,7.00247955655898,NaN,9.78592453565969,NaN,NaN,10.8888319631347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.28941114694767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,11.1340194932054,14.2579209208229,NaN,NaN,NaN,NaN,7.4955322156283,NaN,NaN,NaN,NaN,NaN,11.1436855877023,NaN,NaN,7.80978544320166,NaN,10.7413909516568,NaN,NaN,11.6500559800186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.25914543122297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,12.0542492410168,15.0998387044963,NaN,NaN,NaN,NaN,8.42519991081324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.56102989634797,NaN,11.637421254358,NaN,NaN,12.2592132859745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.94775510909741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,12.8409511740717,15.9168808498302,NaN,NaN,NaN,NaN,9.09053383200587,NaN,NaN,NaN,NaN,NaN,12.8612769818062,NaN,NaN,9.24979530193247,NaN,12.3925939790835,NaN,NaN,13.1081364643453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.48751759052159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,13.3256287042592,16.7759165611796,NaN,NaN,NaN,NaN,9.77879496264112,NaN,NaN,NaN,NaN,NaN,13.7384572446515,NaN,NaN,9.84224724173745,NaN,13.1165726407251,NaN,NaN,13.9985890082649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.76781189022966,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,13.9667065576481,17.6310141739353,NaN,NaN,NaN,NaN,10.5414895492408,NaN,NaN,NaN,NaN,NaN,14.5118013466173,NaN,NaN,10.2692919812851,NaN,13.8733204741052,NaN,NaN,14.8525710670141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.04469076468795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,14.3656488201023,18.4193240661079,24.8665256685607,NaN,NaN,15.1614355239723,11.1756547232016,NaN,NaN,NaN,NaN,NaN,14.8292434887973,NaN,NaN,10.9528551711107,NaN,14.5212292052662,NaN,NaN,15.6677808234203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0983537029712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,14.8922982646257,19.1746776513841,25.3311376485944,NaN,NaN,15.7898470592225,11.7177070681528,NaN,NaN,NaN,NaN,NaN,14.8174894320362,NaN,NaN,11.2616294599359,NaN,15.1460022824785,NaN,NaN,16.0131811215707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5582731463545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,15.2055873075116,19.9169112803513,25.6731733745071,NaN,NaN,15.9479785573071,12.6107701795023,NaN,NaN,NaN,NaN,NaN,15.0228734645378,NaN,NaN,11.5855292312769,NaN,15.6250496897426,NaN,NaN,16.0479836044118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.395582682383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
