Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,19.2028502849244,19.6991645903534,NaN,NaN,NaN,NaN,16.9164263491328,NaN,14.4634468713277,NaN,NaN,NaN,18.1217124748885,NaN,NaN,14.5871606249186,NaN,14.0009067862017,NaN,NaN,16.807512964259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.8641015517864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,19.8180984721671,20.5877383186383,NaN,NaN,NaN,NaN,17.726116548668,NaN,15.5110249221592,NaN,NaN,NaN,18.9025843281554,NaN,NaN,15.3879148924251,NaN,15.1372312422289,NaN,NaN,18.1566359620415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.264415463994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,20.6268445900667,21.4324206060423,24.8295728986606,NaN,NaN,NaN,18.3114214769677,NaN,16.4846196557906,NaN,NaN,NaN,19.4353136762783,NaN,NaN,15.9280705463386,NaN,15.8765360075075,NaN,NaN,19.2263384892898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.708163773669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.2784885925125,22.2115597571499,25.650915462422,NaN,NaN,NaN,18.9913870959076,NaN,17.3837125960046,NaN,NaN,NaN,19.932652324211,NaN,NaN,16.5131991418905,NaN,17.0809182251074,NaN,NaN,19.7675653027158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1658059969746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,21.8057713845686,22.9234072201086,26.6935075425218,NaN,NaN,16.5002336919991,19.6476907786459,NaN,NaN,NaN,NaN,NaN,20.4398632752471,NaN,NaN,16.9322690100383,NaN,17.859355077223,NaN,NaN,20.2184002404749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.699497037671,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,22.4803438714153,23.6950196700091,27.4722684575545,NaN,NaN,17.7279138222518,20.6811457495935,NaN,NaN,NaN,NaN,NaN,20.8454834734449,NaN,NaN,17.7936411981659,NaN,18.8102927448692,NaN,NaN,20.6153251401513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2357129457547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,23.0054201006644,24.5182296138024,28.0475204794477,NaN,NaN,18.9555277133898,21.4606611220322,NaN,NaN,NaN,NaN,NaN,21.2341067987505,NaN,NaN,18.3436439027615,NaN,19.5765312213496,NaN,NaN,20.9989680362724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9521531565885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,23.5251036134961,25.1857731922022,28.5901618470353,NaN,NaN,19.4575657718629,22.1644146914071,NaN,NaN,NaN,NaN,NaN,21.3721735239443,NaN,NaN,19.0702255339577,NaN,20.102233603201,NaN,NaN,21.4071562248056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.798994112027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,24.0101166102238,25.8035999528408,29.4857002783497,NaN,NaN,20.118457982052,23.1318755315891,NaN,NaN,NaN,NaN,NaN,21.8049992552382,NaN,NaN,19.8784878774127,NaN,20.8714808409371,NaN,NaN,21.8054973568918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7755556330832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
