Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,20.0402140653774,19.3785111672464,NaN,NaN,NaN,NaN,17.2112797198672,NaN,14.9688573780606,NaN,NaN,NaN,19.0893071147667,NaN,NaN,15.460279340169,NaN,NaN,NaN,NaN,16.9530194976383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5926082132614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,20.7941996320641,20.2262477417039,NaN,NaN,NaN,NaN,17.9569381584376,NaN,16.0071154137523,NaN,NaN,NaN,19.8238285183509,NaN,NaN,16.2333420097407,NaN,NaN,NaN,NaN,18.3776764530256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2449419134414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,21.4358907626346,21.0265651810669,25.2222307746892,NaN,NaN,NaN,18.4952566739313,NaN,17.0036341407709,NaN,NaN,NaN,20.4816781194561,NaN,NaN,16.8677986678497,NaN,NaN,NaN,NaN,19.5352888104912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.7270828386631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.9451416281707,21.7571045545437,26.1697359509958,NaN,NaN,NaN,19.1878774100175,NaN,18.0112248019404,NaN,NaN,NaN,20.88949379515,NaN,NaN,17.5479012427353,NaN,17.8690347118848,NaN,NaN,20.1220076904487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2412032553983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,22.4595436116582,22.3966440400965,27.1652548514185,NaN,NaN,NaN,19.9682167185355,NaN,NaN,NaN,NaN,NaN,21.5048817641155,NaN,NaN,18.2113209495955,NaN,18.6765047683572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.6866749550743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,22.9963947178781,23.1118479642111,27.9231995550311,NaN,NaN,NaN,20.7459945736555,NaN,NaN,NaN,NaN,NaN,21.9305606929177,NaN,NaN,18.8557423487147,NaN,19.6660236825538,NaN,NaN,21.0036693579687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2364592345638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,23.449657017466,23.8682523332482,28.4335232715157,NaN,NaN,NaN,21.4527205508857,NaN,NaN,NaN,NaN,NaN,22.2714098516252,NaN,NaN,19.5384525910726,NaN,20.3445720319615,NaN,NaN,21.4710541161163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8212866736474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,23.905827681828,24.6247898051566,29.1491294371947,NaN,NaN,NaN,22.4309912640017,NaN,NaN,NaN,NaN,NaN,22.6173631472173,NaN,NaN,20.2222644536956,NaN,21.0554777423557,NaN,NaN,21.8886339760687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.6387891130831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,24.3614480002273,NaN,29.9978815329928,NaN,NaN,NaN,23.4801649287496,NaN,NaN,NaN,NaN,NaN,22.9816898444626,NaN,NaN,20.8628234505605,NaN,21.7284100290156,NaN,NaN,22.3582877620043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7062436843889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,24.7608203375564,NaN,30.4845917668413,NaN,NaN,NaN,24.1404504491963,NaN,NaN,NaN,NaN,NaN,23.6171504071742,NaN,NaN,21.6086700035075,NaN,22.14856859039,NaN,NaN,22.595471401824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5961023032684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,25.2630848658461,NaN,31.2211819100334,NaN,NaN,22.7305154810785,24.8477080780264,NaN,NaN,NaN,NaN,NaN,24.3393969188133,NaN,NaN,22.113284095587,NaN,22.6647244853496,NaN,NaN,23.1219900925567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2331808327856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,25.8838835500964,NaN,31.5333147009783,NaN,NaN,22.7522800282932,26.3219510150016,NaN,NaN,NaN,NaN,NaN,24.6692317402801,NaN,NaN,22.6848779700173,NaN,23.0886917281829,NaN,NaN,23.2913801710416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.8541051243615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,26.4864355150206,NaN,32.3342567655777,NaN,NaN,23.1289906515133,27.1743304293674,NaN,NaN,NaN,NaN,NaN,25.5010046362251,NaN,NaN,23.4736728823037,NaN,23.5685122479526,NaN,NaN,23.7434775794262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6637344564799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,27.1970522484928,NaN,32.7770662163811,NaN,NaN,23.8548552017655,27.7380963566739,NaN,NaN,NaN,NaN,NaN,26.3399564025204,NaN,NaN,24.1192194951025,NaN,24.0312127937095,NaN,NaN,24.2827677121227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.1879590259232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,27.8753885668275,NaN,33.5271087731124,NaN,NaN,24.3527823079617,28.1747549644909,NaN,NaN,NaN,NaN,NaN,27.0065397534799,NaN,NaN,24.658043862999,NaN,24.5459661363689,NaN,NaN,24.9645909373491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.6157953228739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,28.5387836531909,NaN,34.2913182981645,NaN,NaN,24.8470115953287,28.826188339367,NaN,NaN,NaN,NaN,NaN,27.5873404196383,NaN,NaN,25.148600012168,NaN,24.7561464892294,NaN,NaN,25.5704991354358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.2612707240458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,29.163040501304,NaN,34.9653810898885,NaN,NaN,25.4207175992371,29.6520683773126,NaN,NaN,NaN,NaN,NaN,28.3620256521181,NaN,NaN,25.6176745132777,NaN,25.0828321909973,NaN,NaN,26.2987347297766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.8854721842221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,29.7314020651235,NaN,35.1524521683496,NaN,NaN,25.8064531275933,30.3386995583243,NaN,NaN,NaN,NaN,NaN,29.0294567702398,NaN,NaN,26.171885265603,NaN,25.3286778595515,NaN,NaN,26.8385573262927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.36814710207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,30.3148194908603,NaN,35.4788520053624,NaN,NaN,26.4541786693936,30.9030054207753,NaN,NaN,NaN,NaN,NaN,29.758588435302,NaN,NaN,26.7065789695131,NaN,25.6044466808614,NaN,NaN,27.3249419093247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.0215875667172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6001,30.6838845563559,NaN,35.8002485534003,NaN,NaN,26.9916163737319,31.5260553924089,NaN,NaN,NaN,NaN,NaN,30.4523271346821,NaN,NaN,27.1123149049604,NaN,25.8337936084105,NaN,NaN,27.9930276168959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.3593342844911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6301,31.2125894397117,NaN,36.2504713112251,NaN,NaN,27.2940884025585,32.1867476498292,NaN,NaN,NaN,NaN,NaN,31.0959401245959,NaN,NaN,27.3976310442775,NaN,26.1766148903671,NaN,NaN,28.2695064993586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.8899804171323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6601,31.7441672329051,NaN,36.6232567700933,NaN,NaN,27.8897073241262,32.9464428867536,NaN,NaN,NaN,NaN,NaN,31.9327077393125,NaN,NaN,27.797224970238,NaN,26.4656302833591,NaN,NaN,28.6443770727017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3197450886714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
