Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,9.43199005593452,14.946271190405,21.6554538803469,NaN,NaN,NaN,12.7484127533138,NaN,NaN,NaN,NaN,NaN,16.6919425195965,NaN,NaN,14.8556341600472,NaN,NaN,NaN,NaN,17.9606165096701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.1405771712455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.25474882804748,NaN,-2.90333138019632,NaN,NaN,NaN,NaN,NaN,NaN,9.84930499277576,0.497862588413292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-35.4160261759807
601,9.80958220398838,15.7530968394559,22.204879025814,NaN,NaN,NaN,13.3700160516187,NaN,NaN,NaN,NaN,NaN,17.126110500999,NaN,NaN,15.3808579671924,NaN,16.4708860251708,NaN,NaN,18.5013281314038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5073804895626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.90107454075842,NaN,-2.62333317040396,NaN,NaN,NaN,NaN,NaN,NaN,10.4839258242972,1.45131159609002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.5831506071716
901,10.2944556073878,16.5288729265429,22.8152346528922,NaN,NaN,NaN,13.974831431578,NaN,NaN,NaN,NaN,NaN,17.5770898007304,NaN,NaN,15.8457622775632,NaN,17.3711059673383,NaN,NaN,18.9722918601357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8215271835838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.35449417675028,NaN,-2.44954813479247,NaN,NaN,NaN,NaN,NaN,NaN,10.9382188684484,2.59454380339953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.7202836436689
1201,10.8311387732673,17.3453591949382,23.5251740746963,NaN,NaN,NaN,14.7396933759514,NaN,NaN,NaN,NaN,NaN,18.0343623346549,NaN,NaN,16.1779450200444,NaN,17.9965820399725,NaN,NaN,19.5348177948488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2536079644429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.77038011681357,NaN,-2.119806899909,NaN,NaN,NaN,NaN,NaN,NaN,11.4631575901988,3.4828986805304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29.8914648837001
1501,11.5536782224936,17.8592148911862,23.7733628735882,NaN,NaN,NaN,15.5316214174916,NaN,NaN,NaN,NaN,NaN,18.4654118336228,NaN,NaN,16.846915631529,NaN,18.78277286163,NaN,NaN,20.3127135791334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9851924147207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.33345421912838,NaN,-1.68346672541144,NaN,NaN,NaN,NaN,NaN,NaN,11.9460660675078,4.54445182848105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.9128758588594
1801,12.062971542932,18.4935959964666,24.3958103167538,NaN,NaN,NaN,16.3719852190813,NaN,NaN,NaN,NaN,NaN,18.6537728656364,NaN,NaN,17.4633611822249,NaN,19.3468649236103,NaN,NaN,20.7043990695787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6020084023257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.20440727450413,NaN,-1.31200097811433,NaN,NaN,NaN,NaN,NaN,NaN,12.0512064580475,5.65767157342618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.7926321625168
2101,12.6128151837877,19.0736914943359,25.0489976168551,NaN,NaN,NaN,17.2514932315045,NaN,NaN,NaN,NaN,NaN,18.9023411419317,NaN,NaN,17.9241222545554,NaN,19.9788169303056,NaN,NaN,20.973278295723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1447948736405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.94259079813096,NaN,-0.903095746376078,NaN,NaN,NaN,NaN,NaN,NaN,12.4679578118351,6.71552794272312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.4797950592328
2401,13.1173836970287,19.6186152228103,25.5169092320388,NaN,NaN,20.8944158448617,18.081850881765,NaN,NaN,NaN,NaN,NaN,19.4211229165001,NaN,NaN,18.1780143253791,NaN,20.4119938970957,NaN,NaN,21.1358730695958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.8119243061523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.34150831538432,NaN,-0.380381437963339,NaN,NaN,NaN,NaN,NaN,NaN,12.6856866376682,7.76925362310779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.9474906845626
2701,13.6151749129668,20.1018591090987,26.0971172133362,NaN,NaN,21.6707715172688,19.0215195159665,NaN,NaN,NaN,NaN,NaN,19.8312171772803,NaN,NaN,18.4441826882533,NaN,20.8522705743635,NaN,NaN,21.2693346577619,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2066912269915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.84183410723977,NaN,0.113537516112391,NaN,NaN,NaN,NaN,NaN,NaN,12.753763671198,8.73277451287949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.5125705615883
3001,14.1707176023505,20.5314356764109,26.9296314215273,NaN,NaN,22.2003946790603,19.8680651965501,NaN,NaN,NaN,NaN,NaN,20.1461787612568,NaN,NaN,18.9115957049704,NaN,21.2777221402574,NaN,NaN,21.6962644971564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7531463796551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.4096590165208,NaN,0.677709688309122,NaN,NaN,NaN,NaN,NaN,NaN,13.0264273883022,9.62667913342912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.7470341707762
3301,14.9324201400509,21.1888935102736,27.6963298710762,NaN,NaN,22.5930434571857,20.6614848986965,NaN,NaN,NaN,NaN,NaN,20.3128931068937,NaN,NaN,19.4977233823322,NaN,21.5008345590853,NaN,NaN,22.1398336185193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4007142118997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.1104259490468,NaN,1.34785977981162,NaN,NaN,NaN,NaN,NaN,NaN,13.2761374925997,10.4081977813313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.9938309461965
3601,15.6180461265895,22.7207779836736,27.7658924624551,NaN,NaN,23.2109439779862,22.0824691385147,NaN,NaN,NaN,NaN,NaN,20.1248466371463,NaN,NaN,19.6539504287684,NaN,21.3356035166185,NaN,NaN,21.8761183828928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.1074128882823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.7897339592175,NaN,1.96245882353795,NaN,NaN,NaN,NaN,NaN,NaN,13.6244407489965,11.2870552945632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.1815732397092
3901,16.3120605886027,NaN,28.2576573490553,NaN,NaN,23.7606296018641,23.2430509163898,NaN,NaN,NaN,NaN,NaN,20.4042114344376,NaN,NaN,19.8902704135565,NaN,21.6116604304663,NaN,NaN,22.2022114599027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8726246329699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.5971901755885,NaN,2.71315630013702,NaN,NaN,NaN,NaN,NaN,NaN,13.8389087305143,12.1805343572828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.34587876015678
4201,17.0646244902024,NaN,29.0239213291623,NaN,NaN,24.4405384600889,24.4572451248769,NaN,NaN,NaN,NaN,NaN,20.565276044031,NaN,NaN,20.1825403349196,NaN,21.8677554950471,NaN,NaN,22.401330844072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7712651971346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.277638600087,NaN,3.52691870459472,NaN,NaN,NaN,NaN,NaN,NaN,14.2624534114563,12.8486553170967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.82079894969913
4501,17.7869916979136,NaN,29.8524632247736,NaN,NaN,24.9894120777704,25.6831963380642,NaN,NaN,NaN,NaN,NaN,20.7740942785418,NaN,NaN,20.7210343317952,NaN,22.2456937609507,NaN,NaN,22.3428298920306,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7291269785727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.6406864492025,NaN,4.56241897206697,NaN,NaN,NaN,NaN,NaN,NaN,14.5085615616584,13.5710838574012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.176580713492
4801,18.5307130775194,NaN,30.5732934555448,NaN,NaN,25.6167300846763,26.7867219698281,NaN,NaN,NaN,NaN,NaN,21.3409302768312,NaN,NaN,21.1982663099483,NaN,22.4605727849285,NaN,NaN,22.517794165191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.7853330111828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.9511450939768,NaN,5.5982587769708,NaN,NaN,NaN,NaN,NaN,NaN,15.2159567640242,14.4372537593964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.191050542854277
