Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,18.5770512369223,21.6961220644962,NaN,NaN,NaN,NaN,21.3366284726608,NaN,17.731673522006,NaN,NaN,NaN,20.6014122905968,NaN,NaN,18.5902168286654,NaN,16.9751003361789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2870344477669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.07267465632852,NaN,0.223546227646143,NaN,NaN,NaN,NaN,NaN,NaN,3.43943592145142,2.81079717570016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29.5234131959224
601,19.1810181053679,22.2770576886974,NaN,NaN,NaN,NaN,22.1679913783212,NaN,18.6167542446198,NaN,NaN,NaN,21.393281199853,NaN,NaN,19.3354193561779,NaN,18.0076125091155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.0495687429297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.53608433076183,NaN,0.687679213251972,NaN,NaN,NaN,NaN,NaN,NaN,4.2979589416406,4.17425261630317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.9241027329384
901,19.9009595197968,22.697857621486,NaN,NaN,NaN,NaN,22.9360520112916,NaN,19.5921708761345,NaN,NaN,NaN,21.9803794928526,NaN,NaN,20.1224615178477,NaN,19.0316257236864,NaN,NaN,22.6615707557975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7774257267007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.92326511076742,NaN,1.0098522580832,NaN,NaN,NaN,NaN,NaN,NaN,4.74515774607786,5.49341438178276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.2660250260831
1201,20.540832214484,23.0487393600298,NaN,NaN,NaN,NaN,23.6582179567342,NaN,20.5638925255428,NaN,NaN,NaN,22.5284451373074,NaN,NaN,20.5743123542679,NaN,19.8927821394109,NaN,NaN,23.3292725695632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5254583526988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.42535468531914,NaN,1.59939527458182,NaN,NaN,NaN,NaN,NaN,NaN,5.40919040894305,6.90600696439765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.5377606795111
1501,21.3394254939508,23.4430912544359,28.9310950351006,NaN,NaN,19.994775872401,24.3568426390521,NaN,21.4786205765556,NaN,NaN,NaN,23.1986226882878,NaN,NaN,21.2544401610991,NaN,20.8005481857937,NaN,NaN,24.0116794658027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.1611906319259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.88308906493383,NaN,2.2906752815397,NaN,NaN,NaN,NaN,NaN,NaN,5.950293326975,8.06097579166796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.7224151960435
1801,22.0377338470344,23.9075674439503,29.7977196057712,NaN,NaN,21.1299413547369,25.0207583030374,NaN,NaN,NaN,NaN,NaN,23.6222869501788,NaN,NaN,21.9429980996275,NaN,21.6155382992392,NaN,NaN,24.3751362971717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.9964454083441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.74413438649169,NaN,2.70122279648408,NaN,NaN,NaN,NaN,NaN,NaN,6.41151922204849,9.0955497507802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.7147177487901
2101,22.5836590514058,24.3553978895353,30.5515350952999,NaN,NaN,22.196583635764,25.8590982424576,NaN,NaN,NaN,NaN,NaN,24.051801234148,NaN,NaN,22.5945962765122,NaN,22.7402195613483,NaN,NaN,24.6680137358991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.5486895100837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.33953119322947,NaN,3.28694855957874,NaN,NaN,NaN,NaN,NaN,NaN,6.77146327802738,10.0847523812286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.665693591077
2401,23.0721841857402,24.6501723145293,31.3882237489024,NaN,NaN,23.3603747031046,26.8369348493669,NaN,NaN,NaN,NaN,NaN,24.4825697358373,NaN,NaN,23.2886170109776,NaN,23.3344851055062,NaN,NaN,24.731656934094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3393354090149,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.83221879766371,NaN,3.81259184296371,NaN,NaN,NaN,NaN,NaN,NaN,7.20200917350977,11.0746230653415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.9668471309891
2701,23.703320711222,NaN,31.9746493466734,NaN,NaN,24.2383059080821,27.8572125992623,NaN,NaN,NaN,NaN,NaN,25.1411129975639,NaN,NaN,23.7771914666682,NaN,24.1411966027317,NaN,NaN,25.223481010906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.1373115350946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.43420058536508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.80412706084151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
