Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.6122827991338,21.1735172014605,NaN,NaN,NaN,NaN,6.85611889146757,NaN,16.4692679426887,NaN,NaN,NaN,13.0334566942742,NaN,NaN,10.2992013796147,NaN,14.252527661298,NaN,NaN,15.8948135355624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.70955015395214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.02512042529956,NaN,5.4538520977284,NaN,NaN,NaN,NaN,NaN,NaN,10.3554367719425,10.4932684588195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.7702726723561
601,11.3190389342181,22.207467328038,NaN,NaN,NaN,NaN,7.68606007694584,NaN,NaN,NaN,NaN,NaN,13.3244564309283,NaN,NaN,10.7742352466357,NaN,15.150197469544,NaN,NaN,16.7212723035102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.16712265840921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.26567565479867,NaN,6.03768640677487,NaN,NaN,NaN,NaN,NaN,NaN,10.8341596994101,11.4803987386687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.8845684127486
901,12.1485193881682,23.0903094429316,21.964602557659,NaN,NaN,NaN,8.67838812973322,NaN,NaN,NaN,NaN,NaN,13.6903134916712,NaN,NaN,11.3404735392577,NaN,15.756729602267,NaN,NaN,17.2491887311052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.45675611025714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.7142851992958,NaN,6.68043901231671,NaN,NaN,NaN,NaN,NaN,NaN,11.3725631602326,12.4705357428922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.967797224329
1201,13.0422323843794,23.8672335578403,22.4401958712705,NaN,NaN,NaN,9.50737416010989,NaN,NaN,NaN,NaN,NaN,13.6581534863197,NaN,NaN,11.8521281033132,NaN,16.4367695206869,NaN,NaN,17.4760896946946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.94099415375653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.44110029445299,NaN,7.16699060920395,NaN,NaN,NaN,NaN,NaN,NaN,11.7355215868886,13.689162701819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.937978095332
1501,13.8608036798709,24.4665587808797,22.9519259839252,NaN,NaN,NaN,10.2618354275182,NaN,NaN,NaN,NaN,NaN,13.6916177287197,NaN,NaN,12.3549962640432,NaN,16.8909891157835,NaN,NaN,17.4672605737907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.25456411100328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.94790271156334,NaN,7.58108380508785,NaN,NaN,NaN,NaN,NaN,NaN,12.2703036498587,15.0020747030724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.9585494284234
1801,14.7382245814633,25.2828931110061,23.6012201900379,NaN,NaN,NaN,11.3712870001755,NaN,NaN,NaN,NaN,NaN,14.0201720624895,NaN,NaN,12.7974432452259,NaN,17.5029307438676,NaN,NaN,17.5568848425563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7144307157056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.63673382363337,NaN,8.04899338833159,NaN,NaN,NaN,NaN,NaN,NaN,12.7990454017051,16.3788107022535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.916053014062
2101,15.6048419183285,25.9096040929371,24.2999291875154,NaN,NaN,16.8771630232132,12.544578565627,NaN,NaN,NaN,NaN,NaN,14.1069797018835,NaN,NaN,13.0125417906627,NaN,17.981293775726,NaN,NaN,17.6213546883841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.37644075216916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.38521162528362,NaN,8.51683730755492,NaN,NaN,NaN,NaN,NaN,NaN,13.1458677223065,17.5569823456753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.61173504613079
2401,16.2953744536911,26.4602893018108,24.8170448402724,NaN,NaN,17.3341467882697,13.834344468111,NaN,NaN,NaN,NaN,NaN,14.2229359744255,NaN,NaN,13.2458893724576,NaN,18.3753411616146,NaN,NaN,17.5700038515692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.83994448282227,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.0226250484634,NaN,9.02733756823322,NaN,NaN,NaN,NaN,NaN,NaN,13.7195410688946,18.5445496611318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.11242688377877
2701,16.8096242804738,26.974497189651,25.1870370309947,NaN,NaN,17.9288808722967,15.1292383328057,NaN,NaN,NaN,NaN,NaN,14.2467194682267,NaN,NaN,13.6397862082663,NaN,18.8903511551916,NaN,NaN,17.4996785441865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4075147201046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.53902043654756,NaN,9.54893377952453,NaN,NaN,NaN,NaN,NaN,NaN,14.1423919838475,19.2042610009844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.60423747586005
