Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,16.9372455748997,19.0405052360077,NaN,NaN,NaN,NaN,16.832751728256,NaN,13.362881323297,NaN,NaN,NaN,17.3516330581376,NaN,NaN,14.7404061586108,NaN,13.2675983528472,NaN,NaN,16.1726597303662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.6803679847235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,17.6555904984028,19.7783698244601,NaN,NaN,NaN,NaN,17.5215676582173,NaN,14.3700596540216,NaN,NaN,NaN,17.934121908939,NaN,NaN,15.3840600477341,NaN,14.1245390570741,NaN,NaN,17.4274342546327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.278750022537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,18.4281065987932,20.6168712393382,25.1687349782043,NaN,NaN,NaN,18.1418510171909,NaN,15.4488142123589,NaN,NaN,NaN,18.5774909981215,NaN,NaN,16.0860984415758,NaN,14.9801693672371,NaN,NaN,18.6442262324049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.706261447172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,18.9304194518803,21.3299517984102,26.0026772240089,NaN,NaN,NaN,18.7677631895133,NaN,16.4792365903819,NaN,NaN,NaN,18.9682475473022,NaN,NaN,16.7050921909619,NaN,16.1299231987854,NaN,NaN,19.199447473291,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1579347320107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,19.4457298242598,21.9490094543647,27.0239689343512,NaN,NaN,NaN,19.546680895647,NaN,NaN,NaN,NaN,NaN,19.4435538769509,NaN,NaN,17.4000880020353,NaN,16.8506481373124,NaN,NaN,19.7319052485275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5897029334165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,20.0867567723826,22.7333825653749,27.8476763727897,NaN,NaN,17.7650799400838,20.3727256186568,NaN,NaN,NaN,NaN,NaN,19.8530429184059,NaN,NaN,18.0103038683901,NaN,17.8566051238883,NaN,NaN,20.0121745676268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.0422836681327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,20.5466564954547,23.4580948162547,28.3196941190338,NaN,NaN,18.9420056615653,21.0827026950053,NaN,NaN,NaN,NaN,NaN,20.2074119379777,NaN,NaN,18.7435347147904,NaN,18.4705329500427,NaN,NaN,20.401888915404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6596494615958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,21.0531921036902,23.9674208713597,28.9504359629796,NaN,NaN,19.385567673011,21.8779797825273,NaN,NaN,NaN,NaN,NaN,20.4013469787966,NaN,NaN,19.416970235067,NaN,19.1816479930464,NaN,NaN,20.8054546774815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4085811881389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,21.5511049189626,NaN,29.8767337792266,NaN,NaN,20.1823192864388,23.027225351677,NaN,NaN,NaN,NaN,NaN,20.6841535162935,NaN,NaN,20.0412137396179,NaN,19.8552344066585,NaN,NaN,21.1876008054048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.4839086031632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
