Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,19.3036866562799,46.0409376337951,NaN,NaN,NaN,NaN,15.0327951095647,NaN,13.036326599717,NaN,NaN,NaN,17.6779092406527,NaN,NaN,13.5035823851219,NaN,13.9214813068357,NaN,NaN,16.1222324487037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.3067308812339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,20.0327029405655,44.9274913456798,NaN,NaN,NaN,NaN,15.7142455670735,NaN,14.0828829686801,NaN,NaN,NaN,18.5059618815702,NaN,NaN,14.1103199165741,NaN,15.1165081189459,NaN,NaN,17.5383692112976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0790690195392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,20.70914168569,44.549625269662,NaN,NaN,NaN,NaN,16.4961999726951,NaN,15.0624920456155,NaN,NaN,NaN,19.112653361607,NaN,NaN,14.7259756139437,NaN,16.1188282799723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6910800764559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.4340640764752,44.2298616122955,NaN,NaN,NaN,NaN,17.0679133553755,NaN,NaN,NaN,NaN,NaN,19.7157498488695,NaN,NaN,15.3393664468642,NaN,17.134211799476,NaN,NaN,20.0676280846787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9208723081398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,21.9678122672009,43.9222625779393,NaN,NaN,NaN,16.84756850602,17.6682073389591,NaN,NaN,NaN,NaN,NaN,20.2297840837135,NaN,NaN,15.9054309892645,NaN,17.9786151219748,NaN,NaN,20.6425119529769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2595787529848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,22.3114622250801,43.6002877457769,NaN,NaN,NaN,18.3792749508098,18.4247243188224,NaN,NaN,NaN,NaN,NaN,20.5060999452857,NaN,NaN,16.5685912220853,NaN,18.7137385742216,NaN,NaN,21.0302862091256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6524492656406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,22.6439551499726,43.4040675078554,27.6761000495993,NaN,NaN,18.8644821231846,19.165675244832,NaN,NaN,NaN,NaN,NaN,20.8093839660596,NaN,NaN,17.1212206160432,NaN,19.5744783981784,NaN,NaN,21.0691184635812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1301405694246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,22.9753295942271,43.260681788888,28.4792599460937,NaN,NaN,19.7593874807869,20.0248589594488,NaN,NaN,NaN,NaN,NaN,21.1645680796804,NaN,NaN,17.7547204493405,NaN,20.1927717891594,NaN,NaN,21.1513486056467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.8058255583073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,23.2719077943938,NaN,29.0370016101175,NaN,NaN,20.5677729131189,20.9325288649979,NaN,NaN,NaN,NaN,NaN,21.5045973501693,NaN,NaN,18.2033523940549,NaN,20.7487978010191,NaN,NaN,21.570953614497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.5815870829633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
