Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,19.0243096981689,20.2024098507003,NaN,NaN,NaN,NaN,17.2582651862509,NaN,14.8780623097622,NaN,NaN,NaN,18.9726443654327,NaN,NaN,14.6817519244085,NaN,15.9304343904775,NaN,NaN,16.6927235137912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.4031801547942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,19.8004052325064,20.9135364690319,NaN,NaN,NaN,NaN,17.7985490052804,NaN,15.8420219433337,NaN,NaN,NaN,19.5352035227323,NaN,NaN,15.4987629226131,NaN,NaN,NaN,NaN,18.2498123187392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0353531845263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,20.6013799797209,21.6073421830415,25.1052898877346,NaN,NaN,NaN,18.3863044439819,NaN,16.8611311724712,NaN,NaN,NaN,20.0832562522641,NaN,NaN,16.0052150030386,NaN,NaN,NaN,NaN,19.4306440529506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5260014591064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.1844664949898,22.2911696895805,26.1455714701822,NaN,NaN,NaN,19.1219188027071,NaN,NaN,NaN,NaN,NaN,20.8613910411784,NaN,NaN,16.6118606932067,NaN,17.6353752032767,NaN,NaN,20.0864811616715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8935662397148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,21.8025256241509,22.9285610110963,27.1426065763475,NaN,NaN,NaN,19.7604364742048,NaN,NaN,NaN,NaN,NaN,21.4744361969237,NaN,NaN,17.2921740311416,NaN,18.6262291830679,NaN,NaN,20.6269826013196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3275104784954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,22.2404002687869,23.5373444808491,27.7366243968551,NaN,NaN,18.8956780380224,20.3811955889099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6419442064245,NaN,19.2699529594406,NaN,NaN,20.8283212441285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6840766778142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,22.4302517371054,24.0351024912033,28.2860399027424,NaN,NaN,19.7784321992355,21.0979058728429,NaN,NaN,NaN,NaN,NaN,22.1346910440358,NaN,NaN,18.2820879372437,NaN,19.9649909084038,NaN,NaN,21.0845146529866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1950575790573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,22.7578989670529,24.6786555275938,29.0690257006153,NaN,NaN,20.2677724610196,21.9316508135347,NaN,NaN,NaN,NaN,NaN,22.6127169458924,NaN,NaN,18.8275011461821,NaN,20.7952901432607,NaN,NaN,21.4027908294531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.9634471563522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,23.3558990368482,NaN,29.7807995869343,NaN,NaN,21.2872014948964,22.7048887926897,NaN,NaN,NaN,NaN,NaN,22.7774650260441,NaN,NaN,19.3555531139675,NaN,21.2606478232381,NaN,NaN,21.6876022338364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.9114793565237,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
