Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,17.1583479220959,17.6604706517988,NaN,NaN,NaN,NaN,14.5591775687833,NaN,13.9908451458158,NaN,NaN,NaN,18.5739940288681,NaN,NaN,14.6058437160699,NaN,14.2077323299159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5128061743973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,17.9625531275737,18.3609488640406,NaN,NaN,NaN,NaN,15.4616131203154,NaN,14.9290493575739,NaN,NaN,NaN,19.334909191017,NaN,NaN,15.2476034693754,NaN,15.4391040675222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0269582111822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,18.4617403718537,19.1287714049329,25.1557093416077,NaN,NaN,NaN,16.1542486084677,NaN,NaN,NaN,NaN,NaN,19.5684233874252,NaN,NaN,15.9699068768898,NaN,16.3389341843365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6151306485511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,19.2755797010689,19.7789064820811,26.0980341715403,NaN,NaN,NaN,16.6382690224741,NaN,NaN,NaN,NaN,NaN,20.0876216483141,NaN,NaN,16.4325925594768,NaN,17.3312441055151,NaN,NaN,20.044831620989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0661026795994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,19.9302648156886,20.4099663213526,26.6802690628603,NaN,NaN,NaN,17.2443523041443,NaN,NaN,NaN,NaN,NaN,20.8344719644691,NaN,NaN,16.9069032795181,NaN,18.150702625356,NaN,NaN,20.5611699314703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.4589739900654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,20.5009142342809,21.1112222142095,27.4385002733516,NaN,NaN,NaN,18.0872301160475,NaN,NaN,NaN,NaN,NaN,21.2655906588041,NaN,NaN,17.3708972445753,NaN,18.9501249952163,NaN,NaN,20.9037752985299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8889691380384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,20.8657575456443,21.727265642654,28.1520486385868,NaN,NaN,19.1113302697775,18.8198302028488,NaN,NaN,NaN,NaN,NaN,21.5589373316511,NaN,NaN,NaN,NaN,19.5161357405184,NaN,NaN,21.2419308746997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.2775840561479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,21.3581734496653,22.2572351410011,28.8906237218754,NaN,NaN,19.883859090023,19.467189602074,NaN,NaN,NaN,NaN,NaN,21.8757361782394,NaN,NaN,18.2015922217928,NaN,20.1284839504389,NaN,NaN,21.4097390244457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.8553724877818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,21.8051774022811,23.1081531110063,29.5744582923449,NaN,NaN,20.7661191851146,20.4259563659472,NaN,NaN,NaN,NaN,NaN,22.042552438418,NaN,NaN,18.6310477680975,NaN,20.7023808792895,NaN,NaN,21.508442361628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4557112006099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
