Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,16.9184512759271,18.5214741443602,NaN,NaN,NaN,NaN,14.9965248003674,NaN,10.4779068681776,NaN,NaN,NaN,16.3152690799616,NaN,NaN,13.1514888956875,NaN,13.2093155943469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6052879227728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,17.6309471222651,19.2034384487166,NaN,NaN,NaN,NaN,15.667347928356,NaN,11.395409721768,NaN,NaN,NaN,17.4355442188615,NaN,NaN,13.8650203507935,NaN,14.2764925373178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.2661413621825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,18.3671177904693,19.8921937593483,NaN,NaN,NaN,NaN,16.2994669336457,NaN,NaN,NaN,NaN,NaN,18.2377183517034,NaN,NaN,14.4253583508508,NaN,15.1589154265053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6594100348706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,18.9125743402276,20.5649259136875,NaN,NaN,NaN,NaN,16.9339590634291,NaN,NaN,NaN,NaN,NaN,18.7954335130723,NaN,NaN,14.849290996812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0478442744389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,19.4816029133695,21.2777199250704,25.3855344262177,NaN,NaN,NaN,17.4985547531797,NaN,NaN,NaN,NaN,NaN,19.4053341418815,NaN,NaN,15.461055588026,NaN,16.8255588224114,NaN,NaN,19.4045542312316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.5253458262541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,19.9712418116734,21.9735968231571,26.0639396264314,NaN,NaN,17.3238738122062,17.8508340507831,NaN,NaN,NaN,NaN,NaN,19.5684404191368,NaN,NaN,16.0933363550883,NaN,17.8904338307252,NaN,NaN,19.8584798987125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9047119547732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,20.4655699697167,22.7693238103888,26.8413894885062,NaN,NaN,18.2300787455815,18.4783815372273,NaN,NaN,NaN,NaN,NaN,19.8004327973124,NaN,NaN,16.6461071384567,NaN,18.4797080311062,NaN,NaN,20.1313907603055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3955171318094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,20.6207643080108,23.4032052287429,27.5346460168198,NaN,NaN,18.9927155977257,19.3779397953352,NaN,NaN,NaN,NaN,NaN,19.9059479464155,NaN,NaN,17.3354741128601,NaN,19.3205460894921,NaN,NaN,20.0525821063736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8260441100492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,21.3962867237695,23.9778966544433,27.8841156676396,NaN,NaN,19.8663764278201,20.0962208204215,NaN,NaN,NaN,NaN,NaN,20.242213981654,NaN,NaN,17.6949701528649,NaN,19.8579637914965,NaN,NaN,20.0724126687077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5633652395708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,21.5431920602483,NaN,28.4313431772865,NaN,NaN,20.6847687099994,20.9830115622366,NaN,NaN,NaN,NaN,NaN,20.7365955970745,NaN,NaN,18.3183104503315,NaN,20.5312860565065,NaN,NaN,20.632057597347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2027852584387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,21.8792872564926,NaN,28.8503666088965,NaN,NaN,21.1951187098511,21.6750774577277,NaN,NaN,NaN,NaN,NaN,21.1221891961613,NaN,NaN,18.7655215693546,NaN,21.0312382038334,NaN,NaN,21.0961695387757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8425579375491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,22.3620136895644,NaN,28.8626154784528,NaN,NaN,20.8616389557008,23.1735797453282,NaN,NaN,NaN,NaN,NaN,21.1734001478742,NaN,NaN,19.3261630160281,NaN,21.2374101330996,NaN,NaN,20.8647683252148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.4782461104658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,22.8764972558142,NaN,29.2699424399399,NaN,NaN,21.4173014913081,24.2794462733359,NaN,NaN,NaN,NaN,NaN,21.7359069671049,NaN,NaN,20.0016344507397,NaN,21.744999518527,NaN,NaN,21.0321903494036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.3434663152793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,23.5417535355099,NaN,30.1612886145533,NaN,NaN,21.8059833309224,25.1401979734731,NaN,NaN,NaN,NaN,NaN,22.320742037498,NaN,NaN,20.5455655123634,NaN,21.9821986906359,NaN,NaN,21.4142287087031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.0593243254187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,24.2230462930749,NaN,30.9807105832454,NaN,NaN,22.1227923331982,25.8761420106709,NaN,NaN,NaN,NaN,NaN,22.9312510529496,NaN,NaN,20.9829989028442,NaN,22.2880161554592,NaN,NaN,22.1823746908539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.780575202988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,24.8502776637435,NaN,31.4248943003297,NaN,NaN,22.547035635946,26.3002913785507,NaN,NaN,NaN,NaN,NaN,23.4811694983112,NaN,NaN,21.6750869402334,NaN,22.6278100990869,NaN,NaN,22.5862484742604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5726406199572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
