Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.9121657430559,11.9448847057318,NaN,NaN,NaN,NaN,6.7872126922419,NaN,NaN,NaN,NaN,NaN,12.1545915804153,NaN,NaN,8.73419964724051,NaN,11.260183453342,NaN,NaN,11.9624142955349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.56310400402927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.98957779648634,NaN,-3.52319939546353,NaN,NaN,NaN,NaN,NaN,NaN,7.11727606755128,0.485189494547495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.1390468299332
601,11.5945991197039,12.6788715429212,NaN,NaN,NaN,NaN,7.6503782149664,NaN,NaN,NaN,NaN,NaN,12.8994081106985,NaN,NaN,9.29898748932954,NaN,12.1256621323638,NaN,NaN,12.6274597933507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.1055158866488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.10192842089308,NaN,-3.00298595411189,NaN,NaN,NaN,NaN,NaN,NaN,7.76283622776121,1.66276077002821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.4039578092014
901,12.2319067244381,13.4356882700402,NaN,NaN,NaN,NaN,8.48325230423321,NaN,NaN,NaN,NaN,NaN,13.5260136856227,NaN,NaN,9.62360927904851,NaN,12.9682984556472,NaN,NaN,13.3781676181845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.51861389952435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.37597950233459,NaN,-2.47172428040341,NaN,NaN,NaN,NaN,NaN,NaN,8.18899372830963,2.96102013814668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.5700786142853
1201,12.7318702028982,14.4125746161671,NaN,NaN,NaN,NaN,9.32731443467097,NaN,NaN,NaN,NaN,NaN,14.1216250198869,NaN,NaN,10.2127364127681,NaN,13.7594193776523,NaN,NaN,14.0809454620286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.84474927301944,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.60427780222682,NaN,-1.9704753850438,NaN,NaN,NaN,NaN,NaN,NaN,8.6239540348034,4.04029764073902,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.8319739220576
1501,13.2903160001582,15.4423895278988,21.2533464515053,NaN,NaN,NaN,10.0273243211788,NaN,NaN,NaN,NaN,NaN,14.8247018818553,NaN,NaN,10.7736138964402,NaN,14.5157299123249,NaN,NaN,14.6358411482445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.17283097713019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.70665988091859,NaN,-1.51953153859104,NaN,NaN,NaN,NaN,NaN,NaN,8.97725532100039,5.0600031223051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.8216045084411
1801,13.9541647082171,16.2128719248412,21.670930775083,NaN,NaN,NaN,10.9285731274374,NaN,NaN,NaN,NaN,NaN,15.254281030272,NaN,NaN,11.3032922305357,NaN,15.0607284163816,NaN,NaN,15.2231935279517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.59116549384094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.2801996541612,NaN,-0.985219641525671,NaN,NaN,NaN,NaN,NaN,NaN,9.15297491060445,6.12459128803276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.7458884931847
2101,14.5826908707097,17.0090555819284,22.2589327310173,NaN,NaN,NaN,11.8392239090246,NaN,NaN,NaN,NaN,NaN,15.4129466144396,NaN,NaN,11.6809624596592,NaN,15.7755015136135,NaN,NaN,15.8100274833008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.22328979685774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.9198170702703,NaN,-0.332666976098496,NaN,NaN,NaN,NaN,NaN,NaN,9.65201096158058,7.45562011227457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.5101982597405
2401,15.5311802652585,17.5353456866302,22.7943379245972,NaN,NaN,16.1216704393188,12.5628145410908,NaN,NaN,NaN,NaN,NaN,15.6085187674472,NaN,NaN,12.0644395403836,NaN,16.2311582825469,NaN,NaN,16.3048330813053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.60853503910443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.462924655914,NaN,0.291251572058986,NaN,NaN,NaN,NaN,NaN,NaN,9.7660508772024,8.64321881169158,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.4319203323894
2701,16.3028647244975,NaN,23.2987196838079,NaN,NaN,16.679584650399,13.3001213964792,NaN,NaN,NaN,NaN,NaN,16.0308910498355,NaN,NaN,12.2497681338994,NaN,16.6675749422152,NaN,NaN,16.6981250318881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.82007169326153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.81132821981912,NaN,NaN,NaN,NaN,NaN,NaN,10.0130936009224,9.66463259855952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.4255726889629
