Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,18.9735590690456,20.3285458788763,NaN,NaN,NaN,NaN,17.0559434610588,NaN,13.1575939107183,NaN,NaN,NaN,18.2010007530888,NaN,NaN,14.2581491147593,NaN,13.876884064761,NaN,NaN,16.8878880210586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6921572401861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,19.7032792983142,21.2179651276394,NaN,NaN,NaN,NaN,17.7395842192203,NaN,14.0749990124033,NaN,NaN,NaN,18.840826422113,NaN,NaN,14.9608913476409,NaN,14.7252410936181,NaN,NaN,17.8270645598377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2005358009372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,20.3981565748837,22.1088497005657,23.5570433153986,NaN,NaN,NaN,18.6049402557313,NaN,15.039828800383,NaN,NaN,NaN,19.4542980220055,NaN,NaN,15.7740728322816,NaN,15.8777525957128,NaN,NaN,18.6319719957354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8459913874595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,21.0348363864573,22.8812833493505,24.5571289467958,NaN,NaN,NaN,19.4613440208382,NaN,15.9885040107441,NaN,NaN,NaN,20.1147273558873,NaN,NaN,16.5595104770756,NaN,16.7839470796767,NaN,NaN,19.0926818731277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6544075758513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,21.6712507877314,23.6502526254209,25.4776727254957,NaN,NaN,17.0330608059713,20.2785955760121,NaN,16.844809190916,NaN,NaN,NaN,20.841187600521,NaN,NaN,17.271333923948,NaN,17.537295464516,NaN,NaN,19.9249838515155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.4219497064757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,22.2097614686036,24.4167729855899,26.5627757073987,NaN,NaN,18.0033054522142,21.2591915141886,NaN,17.6617417254298,NaN,NaN,NaN,21.5332348789045,NaN,NaN,18.0843526035003,NaN,18.3494150012995,NaN,NaN,20.9858388680633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3324586275372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,22.877440276709,25.1788922424007,27.7576002457263,NaN,NaN,19.1476029519518,22.1949024658279,NaN,NaN,NaN,NaN,NaN,22.0837976216673,NaN,NaN,18.7837442300388,NaN,19.1519180650785,NaN,NaN,21.8729814915455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.1386019960043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,23.5838686876334,NaN,28.5383207274921,NaN,NaN,20.4194364091804,22.9795112248711,NaN,NaN,NaN,NaN,NaN,22.5841119866235,NaN,NaN,19.5640437638922,NaN,20.0600690685785,NaN,NaN,22.5172649193191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8253156849233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,24.3471977066392,NaN,29.2320740271128,NaN,NaN,20.9769080493231,23.6280888667118,NaN,NaN,NaN,NaN,NaN,23.4682107109571,NaN,NaN,20.1775967803678,NaN,20.9070222473172,NaN,NaN,23.0380354670395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.730693420038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
