Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,25.8244941621467,25.4466970532062,NaN,NaN,NaN,NaN,27.0198914534413,NaN,19.655282384254,NaN,NaN,NaN,23.0766899772064,NaN,NaN,21.3456948346705,NaN,17.9668516225596,NaN,NaN,20.9945354096943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.3588944310197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,26.5507023025137,25.880812984939,NaN,NaN,NaN,NaN,27.823073240932,NaN,20.4873703770742,NaN,NaN,NaN,24.0264532016712,NaN,NaN,22.0744451468739,NaN,19.2343823452195,NaN,NaN,22.7095418232807,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.1338513149121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,26.956785488391,26.3636888093893,NaN,NaN,NaN,NaN,28.4681622436219,NaN,NaN,NaN,NaN,NaN,24.4035125872834,NaN,NaN,22.8154463029359,NaN,20.3319622664057,NaN,NaN,23.8469074997067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.8808292020076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,27.5924001476555,26.7003551192458,29.6879958980327,NaN,NaN,NaN,28.7886075630932,NaN,NaN,NaN,NaN,NaN,24.9604484077501,NaN,NaN,23.3367861265097,NaN,21.3062612907154,NaN,NaN,24.5428736384753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.5960801510681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,28.1438136332746,27.0070310164994,30.3109277461634,NaN,NaN,NaN,29.2673492017173,NaN,NaN,NaN,NaN,NaN,25.8684549328592,NaN,NaN,23.8110318050145,NaN,22.2441587847096,NaN,NaN,25.2283117416374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.1429951211558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,28.5697551196809,27.4882695198447,31.1384643672738,NaN,NaN,22.8056485130716,29.9412930123971,NaN,NaN,NaN,NaN,NaN,26.4987048454758,NaN,NaN,24.3238968536019,NaN,23.1238494446485,NaN,NaN,25.6894569135026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.693006103281,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,28.7564585492696,27.7986347296277,31.9113398932918,NaN,NaN,23.6729423184667,30.4697382742254,NaN,NaN,NaN,NaN,NaN,26.9330320133655,NaN,NaN,24.8758516686981,NaN,23.8945478246634,NaN,NaN,26.0494785877488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.1442675704778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,29.044159145214,28.1060623960742,32.749830196288,NaN,NaN,24.7123580842681,30.8807854827055,NaN,NaN,NaN,NaN,NaN,27.3532628779674,NaN,NaN,25.2722844690408,NaN,24.5482736809182,NaN,NaN,26.3470336149937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.7942642190252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,29.3063274131433,28.6165264246281,33.5006952362665,NaN,NaN,25.9422001842648,31.5855738540159,NaN,NaN,NaN,NaN,NaN,27.7111562131527,NaN,NaN,25.6581857824134,NaN,25.1915122712527,NaN,NaN,26.6050590227888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.4705130514423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,29.4974408085585,NaN,34.328981506882,NaN,NaN,26.7013606256432,32.2383756929681,NaN,NaN,NaN,NaN,NaN,27.7947120084183,NaN,NaN,26.2856458107001,NaN,25.8327859668919,NaN,NaN,27.0741341550787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.1879412572523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,29.7378058722053,NaN,35.274035753801,NaN,NaN,27.9528986028198,32.9863881643202,NaN,NaN,NaN,NaN,NaN,28.2359631164597,NaN,NaN,26.6824955474186,NaN,26.5130253151346,NaN,NaN,27.5555757713468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.0490694600806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,29.808232217398,NaN,35.9048537917111,NaN,NaN,28.7307938236375,34.4677883803109,NaN,NaN,NaN,NaN,NaN,28.4350606258691,NaN,NaN,27.2574153027101,NaN,26.7463343291154,NaN,NaN,27.1388227355409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.8797060183422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,29.8870976374137,NaN,36.2858112899198,NaN,NaN,29.7683886156218,35.0003916773486,NaN,NaN,NaN,NaN,NaN,28.8805772652759,NaN,NaN,28.1194660271512,NaN,27.260602416101,NaN,NaN,27.783081943054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.5998690460643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,30.1785275501162,NaN,36.9005445055011,NaN,NaN,30.5949716947316,35.6006840801949,NaN,NaN,NaN,NaN,NaN,29.9736888853281,NaN,NaN,28.8454891119257,NaN,27.7051303856579,NaN,NaN,28.2027791635534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.2986715598289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,30.595812034459,NaN,37.758176055325,NaN,NaN,31.3169751322989,36.2798651772178,NaN,NaN,NaN,NaN,NaN,31.0938628423241,NaN,NaN,29.3260544412997,NaN,28.1665218609037,NaN,NaN,28.9839317590454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.0131628184737,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,31.0983303220151,NaN,38.6734137765762,NaN,NaN,32.1285896252108,36.8060031565924,NaN,NaN,NaN,NaN,NaN,32.0103971121161,NaN,NaN,29.9618041704128,NaN,28.5393096685894,NaN,NaN,29.9448422247164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.6402707263196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,31.6292189973974,NaN,39.2045594574678,NaN,NaN,32.6903676138239,37.219749010736,NaN,NaN,NaN,NaN,NaN,32.9114079070636,NaN,NaN,30.3723888301033,NaN,28.8373421474382,NaN,NaN,30.7181632355977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.2161234011297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,32.1727698104477,NaN,39.5366902230999,NaN,NaN,33.4676369614451,NaN,NaN,NaN,NaN,NaN,NaN,33.8333849209249,NaN,NaN,30.8478485279913,NaN,29.2618557794588,NaN,NaN,31.4640036452984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.7228206476444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,32.6994913479114,NaN,40.0771736984664,NaN,NaN,34.3349289061019,38.0263148741966,NaN,NaN,NaN,NaN,NaN,34.8907022050389,NaN,NaN,31.5683450571677,NaN,29.5853981057427,NaN,NaN,32.3161883003093,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.0884693334442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6001,33.073136301607,NaN,40.5762260606476,NaN,NaN,34.6681475303722,37.9530292215263,NaN,NaN,NaN,NaN,NaN,35.7563186921615,NaN,NaN,32.1214974303114,NaN,29.8287081216636,NaN,NaN,33.3667706743533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.6888114132813,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6301,33.359946284748,NaN,41.0486972084377,NaN,NaN,35.4542987501524,38.3178454923519,NaN,NaN,NaN,NaN,NaN,36.5836591248835,NaN,NaN,32.5475602515537,NaN,30.2250791901005,NaN,NaN,33.9217344179554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.241192743167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6601,33.4293453170948,NaN,41.2717412706033,NaN,NaN,36.284559685235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.1236578817475,NaN,30.4614401114287,NaN,NaN,34.7806997894641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.7767753259963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6901,35.0616499903483,NaN,41.4650680677612,NaN,NaN,36.9752210693551,39.0644236363452,NaN,NaN,NaN,NaN,NaN,38.5286782268246,NaN,NaN,33.7589900179445,NaN,30.7700775742445,NaN,NaN,35.6733818915344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.3327171190333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7201,35.3833312882221,NaN,41.6317277817877,NaN,NaN,37.7854139070038,39.3797279542631,NaN,NaN,NaN,NaN,NaN,39.3756132881356,NaN,NaN,34.0996357788582,NaN,31.1498326075802,NaN,NaN,36.4328166675456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.9894948562817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7501,35.6266212469289,NaN,42.1062963190564,NaN,NaN,38.6810015688263,39.5363635338141,NaN,NaN,NaN,31.5880289081655,NaN,40.353107940123,NaN,NaN,34.61870710374,NaN,31.5883594570668,NaN,NaN,37.5021404234228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.5317358781341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7801,NaN,NaN,42.6228435194184,NaN,NaN,39.46383492669,39.7404058306144,NaN,NaN,NaN,32.509706202499,NaN,41.3194360714944,NaN,NaN,35.3910598192977,NaN,32.1168296630165,NaN,NaN,38.8079217286448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.0751901465243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8101,NaN,NaN,43.1335961725692,NaN,NaN,40.2722313352062,39.937699467934,NaN,NaN,NaN,33.3085677063554,NaN,42.4878362438048,NaN,NaN,36.3516914996168,NaN,32.6025475105462,NaN,NaN,39.8526138900248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.618314166056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8401,NaN,NaN,43.7319552044017,NaN,NaN,41.116170835398,40.1974323681609,NaN,NaN,NaN,34.2593738901391,NaN,43.7370359676625,NaN,NaN,37.1614713590291,NaN,33.0173821866484,NaN,NaN,41.0936996278084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.1610715882222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8701,NaN,NaN,44.277808596553,NaN,NaN,42.0348924267895,40.4384897732565,NaN,NaN,NaN,35.285481466529,NaN,44.8252412902006,NaN,NaN,37.997505438453,NaN,33.7076627752168,NaN,NaN,42.3754857283772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.7200496662321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9001,NaN,NaN,44.6612371440819,NaN,NaN,42.9915783161479,NaN,NaN,NaN,NaN,36.1690664974908,NaN,45.9285630281629,NaN,NaN,38.9517328626283,NaN,34.5962943857808,NaN,NaN,43.6822948642329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.2175289567013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9301,NaN,NaN,45.1382470096699,NaN,NaN,43.9378715423142,NaN,NaN,NaN,NaN,37.0318040720365,NaN,47.3511889634867,NaN,NaN,40.0416188724224,NaN,35.5923025736798,NaN,NaN,45.0593083871648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.5612667087098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9601,NaN,NaN,45.6637834250182,NaN,NaN,44.7863931827896,NaN,NaN,NaN,NaN,38.0059564095055,NaN,48.6109279784063,NaN,NaN,41.1182264309435,NaN,36.4952825552058,NaN,NaN,46.5042372166206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.7708023480116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9901,NaN,NaN,46.1285872222559,NaN,NaN,45.6787259846452,NaN,NaN,NaN,NaN,39.1421279538803,NaN,49.3162182828388,NaN,NaN,42.3396732643938,NaN,37.5275103155183,NaN,NaN,48.0303932407515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.9195199188286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10201,NaN,NaN,46.5305664621107,NaN,NaN,46.623093125544,NaN,NaN,NaN,NaN,40.1442008674143,NaN,49.7663113796149,NaN,NaN,43.744977911777,NaN,38.8232483230065,NaN,NaN,49.427798629801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.1081688660312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10501,NaN,NaN,46.590914055033,NaN,NaN,47.6970335408572,NaN,NaN,NaN,NaN,41.1033550822372,NaN,50.6924548200041,NaN,NaN,45.2025147065582,NaN,40.4095094315246,NaN,NaN,50.8589125675432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2493640078421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10801,NaN,NaN,46.4662465241866,NaN,NaN,49.0042024296848,NaN,NaN,NaN,NaN,42.0452642140033,NaN,51.4339198511807,NaN,NaN,46.6774870775245,NaN,42.0096662774042,NaN,NaN,51.9025606292351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.3964257516927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11101,NaN,NaN,47.0247847921108,NaN,NaN,50.2651496052324,NaN,NaN,NaN,NaN,43.0642606970765,NaN,52.1381827203334,NaN,NaN,48.0579332175901,NaN,43.5557718823004,NaN,NaN,52.947202054214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.5035177645536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11401,NaN,NaN,46.8772149534475,NaN,NaN,51.4760497654108,NaN,NaN,NaN,NaN,43.9749666411416,NaN,52.4382826502943,NaN,NaN,49.438664995482,NaN,45.0478790194336,NaN,NaN,54.0737094436617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.6291160288216,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11701,NaN,NaN,46.8373696717755,NaN,NaN,52.5120240582835,NaN,NaN,NaN,NaN,45.0142911492021,NaN,52.689620317179,NaN,NaN,50.75826410849,NaN,46.6967487417105,NaN,NaN,55.0593810744689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.6826890436303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12001,NaN,NaN,NaN,NaN,NaN,53.3915913810212,NaN,NaN,NaN,NaN,46.1077029591202,NaN,53.0112457819749,NaN,NaN,52.1947187779604,NaN,48.3979792950666,NaN,NaN,55.9108774605587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.7963792218663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12301,NaN,NaN,NaN,NaN,NaN,54.4710363078584,NaN,NaN,NaN,NaN,47.0923392923638,NaN,53.3364262924164,NaN,NaN,53.4819171664684,NaN,50.027087670647,NaN,41.4183418548474,56.3488209575152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.9579372449667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12601,NaN,NaN,NaN,NaN,NaN,55.6897312140478,NaN,NaN,NaN,NaN,48.2101435129353,NaN,53.5835014786217,NaN,NaN,54.7837296769053,NaN,51.8269885417329,NaN,41.8009860711847,56.6427155548656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.249190078942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12901,NaN,NaN,NaN,NaN,NaN,56.863308717205,NaN,NaN,NaN,NaN,49.1521490394676,NaN,53.6165399820578,NaN,NaN,56.0732332966446,NaN,53.4098229643353,NaN,42.3809545201383,56.9480147730535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.7273641281682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13201,NaN,NaN,NaN,NaN,NaN,58.0458003808852,NaN,NaN,NaN,NaN,50.2758602526757,NaN,53.4514862192757,NaN,NaN,57.3974974685421,NaN,54.8077895496058,NaN,43.022976832049,57.1198275079331,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13501,NaN,NaN,NaN,NaN,NaN,58.179735795316,NaN,NaN,NaN,NaN,51.3061718894596,NaN,53.2293272076115,NaN,NaN,58.7115659988205,NaN,56.2282311559292,NaN,43.6897023167786,57.2579459427897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13801,NaN,NaN,NaN,NaN,NaN,59.0171556283074,NaN,NaN,NaN,NaN,52.2742937154498,NaN,53.0525932959524,NaN,NaN,59.772144138256,NaN,57.6877450034477,NaN,44.3250985508906,57.2867634158191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.280243844596,NaN,52.7210538619118,NaN,NaN,60.6481943989266,NaN,58.8253754462895,NaN,45.5363419638082,57.3125533317512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14401,NaN,NaN,NaN,NaN,NaN,60.0851944024715,NaN,NaN,NaN,NaN,54.2228846475362,NaN,52.4982952779842,NaN,NaN,61.3177933761273,NaN,59.6842384347651,NaN,46.4047515138392,57.2242844102258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
