Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,16.9644300004174,18.5414632671607,NaN,NaN,NaN,NaN,16.4648737263985,NaN,14.6820069506971,NaN,NaN,NaN,18.9880877059995,NaN,NaN,15.4430880217871,NaN,15.8691081475398,NaN,NaN,17.6225317503076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3885782380381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,17.7938094940958,19.1877978645717,NaN,NaN,NaN,NaN,17.1998859224087,NaN,15.6938942037186,NaN,NaN,NaN,19.4948451818837,NaN,NaN,16.0929920496223,NaN,16.7206279379656,NaN,NaN,18.7784062354424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9020893156784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,18.561718000849,19.7845309894387,NaN,NaN,NaN,NaN,18.0602223737052,NaN,NaN,NaN,NaN,NaN,19.8794546312988,NaN,NaN,16.7396853641006,NaN,17.8093289323594,NaN,NaN,19.8533993463446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5866714682056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,19.3511771851025,20.3814979182707,NaN,NaN,NaN,NaN,18.6670252246005,NaN,NaN,NaN,NaN,NaN,20.2392318209228,NaN,NaN,17.2548567455354,NaN,18.3421168714777,NaN,NaN,20.6674489139155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1924557797924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,20.0737753688419,20.7734142905239,25.113036999395,NaN,NaN,NaN,19.451765696996,NaN,NaN,NaN,NaN,NaN,20.5476686314433,NaN,NaN,17.724802705637,NaN,19.0059665651346,NaN,NaN,21.2081216054774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7026564341474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,20.67620227919,21.2900882471029,25.6889803340971,NaN,NaN,NaN,20.2628690894128,NaN,NaN,NaN,NaN,NaN,21.2630526695654,NaN,NaN,18.3208461070966,NaN,19.8420782451256,NaN,NaN,21.3424889537721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2017256819295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,21.164090006466,21.8987164363034,26.364217555935,NaN,NaN,NaN,20.8593671727146,NaN,NaN,NaN,NaN,NaN,21.9825970232858,NaN,NaN,18.6732092718787,NaN,20.3750044259118,NaN,NaN,21.5281740545996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6779368156155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,21.5415526334147,22.6617175103009,26.9720598432016,NaN,NaN,NaN,21.4248521065241,NaN,NaN,NaN,NaN,NaN,22.3791842301621,NaN,NaN,19.1603681171007,NaN,21.0540246917589,NaN,NaN,21.8433915238297,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.079566872736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,21.9878275927922,23.311126855588,27.6200154264548,NaN,NaN,22.1294510761063,22.1668833705634,NaN,NaN,NaN,NaN,NaN,22.6215853837867,NaN,NaN,19.6022078526274,NaN,21.7495730518613,NaN,NaN,21.9342689705437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5876035406307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,22.4515844588493,23.883742044435,28.3976221821543,NaN,NaN,22.9664592704727,22.9592308426577,NaN,NaN,NaN,NaN,NaN,22.6661729898921,NaN,NaN,20.039665231318,NaN,22.2861877559109,NaN,NaN,22.1236306710246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1477541424628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,22.9059859315902,NaN,29.293878585377,NaN,NaN,23.4513785426797,23.7754663972245,NaN,NaN,NaN,NaN,NaN,22.8166104516649,NaN,NaN,20.296346122701,NaN,22.8568787693988,NaN,NaN,22.4104051723622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.7903071224644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,23.2140143641986,NaN,29.4676403578359,NaN,NaN,23.0019449371238,25.2944418399976,NaN,NaN,NaN,NaN,NaN,22.5794516579942,NaN,NaN,20.8029783485934,NaN,23.0952491787107,NaN,NaN,22.0891837486394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5736937873733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,23.5129493675778,NaN,30.0226359264099,NaN,NaN,23.7979357801631,26.4051502799159,NaN,NaN,NaN,NaN,NaN,22.8944477836428,NaN,NaN,21.4303496451531,NaN,23.6692700062488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4396825853156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,23.9776200726696,NaN,30.4350523466952,NaN,NaN,24.5310156040132,27.5583400934599,NaN,NaN,NaN,NaN,NaN,23.5000086194681,NaN,NaN,22.0737224046525,NaN,24.173592795798,NaN,NaN,22.4883937741603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.2113057765661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
