Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,20.3347048105319,20.9638841554966,21.5050040720328,NaN,NaN,NaN,18.8900897926149,NaN,14.9723678487639,NaN,NaN,NaN,18.1350627273105,NaN,NaN,15.0141561193628,NaN,14.1585935533983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.322959678284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,21.4098744449685,21.9142052249964,23.0035575064362,NaN,NaN,13.8902262878912,19.9512148595339,NaN,15.9048628028961,NaN,NaN,NaN,19.3318291492102,NaN,NaN,15.8800353676486,NaN,15.151037592415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1403958971999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,22.5551292092726,22.8130807032359,24.0592290771875,NaN,NaN,15.3593908083252,NaN,NaN,16.7867719701898,NaN,NaN,NaN,20.1216066985365,NaN,NaN,16.7759016940735,NaN,16.3627565772887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2341796630562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,23.4202815161002,23.6791074912415,25.7011180003942,NaN,NaN,16.9532859313512,21.6947943875747,NaN,17.6103673357608,NaN,NaN,NaN,20.7717554138852,NaN,NaN,17.8360895792829,NaN,17.4372616597951,NaN,NaN,19.5430659045585,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2974346861311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,24.3578722591938,24.5402869621629,26.7253135239156,NaN,NaN,17.9450096701897,22.7199245396572,NaN,18.4684572853575,NaN,NaN,NaN,21.6753752357512,NaN,NaN,18.6792774770506,NaN,18.3438944972784,NaN,NaN,20.6837458787314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2625433029285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,25.2159348680361,NaN,27.679357123554,NaN,NaN,18.8314527895669,23.0449957712825,NaN,18.514731933415,NaN,NaN,NaN,22.7085302288835,NaN,NaN,19.6857329271496,NaN,19.2182884581002,NaN,NaN,21.1912143846967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.2459335863946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,25.8349145132607,NaN,28.8790127484132,NaN,NaN,19.8001351911383,23.7849549857001,NaN,19.054393676177,NaN,NaN,NaN,23.5137811217718,NaN,NaN,20.654048147538,NaN,20.0742415483017,NaN,NaN,21.5797176864572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1365303845079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,26.7317820600634,NaN,29.6847052635574,NaN,NaN,20.6924443880592,24.3802328617966,NaN,19.9135801733334,NaN,NaN,NaN,24.3679761831293,NaN,NaN,21.1928385664622,NaN,21.0500677644231,NaN,NaN,22.3438182688444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8050998356701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,27.6866002480341,NaN,30.6948492570571,NaN,NaN,21.5943111365017,24.9125018323847,NaN,20.7474214929207,NaN,NaN,NaN,25.3776679136365,NaN,NaN,21.9844536881839,NaN,21.6907481093685,NaN,NaN,23.0428087733319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.5984042517704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
