Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,17.9574137702651,19.2615502474597,NaN,NaN,NaN,NaN,15.2254777005292,NaN,13.8410715985875,NaN,NaN,NaN,17.8753865007052,NaN,NaN,13.2518698888784,NaN,13.4454638826316,NaN,NaN,15.8416813165636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8742163701032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,18.7573809195385,20.0456025592095,NaN,NaN,NaN,NaN,15.7885603668479,NaN,14.8160792431731,NaN,NaN,NaN,18.9717488967209,NaN,NaN,13.8631045428072,NaN,14.4490250991477,NaN,NaN,17.2397947038531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.58952442356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,19.4453573667991,20.8056340710876,NaN,NaN,NaN,NaN,16.3516448650494,NaN,15.8389621618869,NaN,NaN,NaN,19.4373572865379,NaN,NaN,14.3898251109571,NaN,15.6012763628998,NaN,NaN,18.5342127314005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0902980865723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,20.0244056602424,21.4454423003741,25.2698201987977,NaN,NaN,NaN,16.8640653720626,NaN,NaN,NaN,NaN,NaN,20.0920717562408,NaN,NaN,14.9449150178502,NaN,16.4829376970077,NaN,NaN,19.5564857667036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.546015119159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,20.590843757554,22.0520580527126,26.1849738337293,NaN,NaN,16.4201783238353,17.5601461245756,NaN,NaN,NaN,NaN,NaN,20.4352783214836,NaN,NaN,15.7377523119151,NaN,17.4458355708372,NaN,NaN,20.0605065907301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9951607804771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,20.9886994832306,22.8672115879876,26.7140217693222,NaN,NaN,17.9568177933664,18.2795669076837,NaN,NaN,NaN,NaN,NaN,20.705151959185,NaN,NaN,16.3570678220931,NaN,18.3042795328578,NaN,NaN,20.7078678791895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5101037663688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,21.4394107019047,23.6814183511527,27.2629567060747,NaN,NaN,18.6699969226079,19.2004376748474,NaN,NaN,NaN,NaN,NaN,21.1882689230764,NaN,NaN,16.9984020293597,NaN,19.0225863455378,NaN,NaN,20.7943178892343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1486519053084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,21.8451522723811,24.4818334596026,28.0406746412641,NaN,NaN,19.368550828883,20.1468931530142,NaN,NaN,NaN,NaN,NaN,21.3706634978736,NaN,NaN,17.5671844865273,NaN,19.8856284406026,NaN,NaN,21.2157477577502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.7573686097404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,22.3053998926685,NaN,28.6184931715949,NaN,NaN,20.2638693238428,21.0032138189945,NaN,NaN,NaN,NaN,NaN,21.8135281232181,NaN,NaN,18.1166757738599,NaN,20.318041036264,NaN,NaN,21.799389967151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6325591485814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,22.8160192591768,NaN,29.2070963379965,NaN,NaN,21.0468947863177,21.9698965208593,NaN,NaN,NaN,NaN,NaN,22.1968123300573,NaN,NaN,18.7270720379144,NaN,20.8078145696651,NaN,NaN,22.0052619545189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.4224094843598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,23.2303296083657,NaN,29.6705145948406,NaN,NaN,21.8287337667663,22.9810445682441,NaN,NaN,NaN,NaN,NaN,22.9049865026649,NaN,NaN,19.318447071435,NaN,21.2682023335739,NaN,NaN,22.439025718696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1928643834927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,23.6531935675819,NaN,30.0432116131989,NaN,NaN,21.4692582408646,24.1894456476987,NaN,NaN,NaN,NaN,NaN,23.2958212146426,NaN,NaN,19.9807093595448,NaN,21.5846827308411,NaN,NaN,22.4211521118172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.8432905299004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,24.3937286106308,NaN,30.5191654721495,NaN,NaN,22.0529751714259,24.7167680917697,NaN,NaN,NaN,NaN,NaN,24.0567048639694,NaN,NaN,20.5708700008649,NaN,22.0639548324122,NaN,NaN,22.9915688869455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5314415474863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
