Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,19.9122574210263,20.9701011379117,21.6917991061975,NaN,NaN,NaN,18.9072495290907,NaN,14.1401262444482,NaN,NaN,NaN,17.2932425137349,NaN,NaN,15.4104995280711,NaN,13.942409674346,NaN,NaN,15.6410750086069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.692109581441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,20.8261823442232,21.7752049673079,23.0251133131311,NaN,NaN,13.6724222793557,19.670044882922,NaN,14.8119868081437,NaN,NaN,NaN,18.2702013591645,NaN,NaN,16.238116857014,NaN,14.9964735525903,NaN,NaN,16.6126193741648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.3865068433346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,21.8479021103064,22.547240803449,24.4246186768977,NaN,NaN,15.1856629916644,20.4054410162673,NaN,15.7032805869234,NaN,NaN,NaN,19.3801677183567,NaN,NaN,17.1771320753558,NaN,16.0375655440947,NaN,NaN,17.7352090788449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.2307971018989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,22.6524255204986,23.4153045528506,25.34021330832,NaN,NaN,16.4005523699823,21.2698232798088,NaN,16.5137823635116,NaN,NaN,NaN,20.3380948714849,NaN,NaN,18.158247972315,NaN,16.967353092832,NaN,NaN,19.1168577208557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.1120996728362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,23.522179016448,24.2285694032682,26.6240587117321,NaN,NaN,17.5556214062622,NaN,NaN,17.213797434941,NaN,NaN,NaN,21.2485530048306,NaN,NaN,18.9999530878343,NaN,17.8812826533139,NaN,NaN,20.3727940187638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.8172923711419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,24.5562468661091,NaN,27.6350841436854,NaN,NaN,18.8078698900734,22.9483410459285,NaN,17.8707365200449,NaN,NaN,NaN,22.2764669755812,NaN,NaN,19.8161389427216,NaN,18.8543407278804,NaN,NaN,21.3218411516575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7950552942957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,25.3536209649551,NaN,28.5807055157231,NaN,NaN,19.6145401429135,23.8963701352244,NaN,18.3545976823066,NaN,NaN,NaN,23.0223134698227,NaN,NaN,20.6911424993547,NaN,19.649001837749,NaN,NaN,22.2741096071562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.8012882858616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,26.0641838123618,NaN,29.8175985783779,NaN,NaN,20.406615207929,24.3975744795658,NaN,17.5996713997622,NaN,NaN,NaN,23.4512497979537,NaN,NaN,21.6420345760224,NaN,20.3908380648851,NaN,NaN,22.7881838125071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6807044012505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,26.7717044724618,NaN,30.7422589458083,NaN,NaN,21.4434644019336,24.7997794414865,NaN,NaN,NaN,NaN,NaN,24.1324620054407,NaN,NaN,22.4470546611117,NaN,21.275431975362,NaN,NaN,23.2119268960687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.3973691292503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
