Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,16.5895752061757,20.611729067802,NaN,NaN,NaN,NaN,17.5251849309332,NaN,14.4829085562067,NaN,NaN,NaN,18.527697283924,NaN,NaN,15.6903387579407,NaN,14.3284797204802,NaN,NaN,17.694294074613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5128990542296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.88314778093832,NaN,-1.72405406330506,NaN,NaN,NaN,NaN,NaN,NaN,1.07296299155551,2.02061566933086,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.8837076514289
601,17.3792982305692,21.327842581306,NaN,NaN,NaN,NaN,18.1748364025301,NaN,15.4620406078696,NaN,NaN,NaN,19.1222524466923,NaN,NaN,16.3793082058751,NaN,15.2343123772826,NaN,NaN,19.1697671910288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1567349688154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.11786766546767,NaN,-1.16475059171278,NaN,NaN,NaN,NaN,NaN,NaN,1.73054045428721,3.25188338055838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.2882322353668
901,18.1618651374498,22.0734755170218,24.9633256079689,NaN,NaN,NaN,18.8068659248362,NaN,16.5025807065311,NaN,NaN,NaN,19.8593416930246,NaN,NaN,17.0956868488876,NaN,16.1136627794261,NaN,NaN,20.4043726346831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.6909686795961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.49240885895895,NaN,-0.699558086135408,NaN,NaN,NaN,NaN,NaN,NaN,2.12988662034016,4.56033869171283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.4538894975298
1201,18.5797792957824,22.7295850926801,25.8422783549636,NaN,NaN,NaN,19.4226139949007,NaN,17.5249551105306,NaN,NaN,NaN,20.2917422101349,NaN,NaN,17.7000331811102,NaN,17.2636652592903,NaN,NaN,21.0729958328263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.164749112768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.13949322408715,NaN,-0.441780931619159,NaN,NaN,NaN,NaN,NaN,NaN,2.36963923390687,5.85179205423747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.6914714802333
1501,19.149078260193,23.3129186857477,26.9165420259141,NaN,NaN,17.1052341479636,20.1909864980958,NaN,NaN,NaN,NaN,NaN,20.7539919658848,NaN,NaN,18.3828031627066,NaN,18.0242454226073,NaN,NaN,21.6502307624205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6740997176159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.74044321311884,NaN,-0.112347111750483,NaN,NaN,NaN,NaN,NaN,NaN,2.95842759747619,7.00380798107355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.9879113548343
1801,19.8286340994002,23.9656467930672,27.6336595724123,NaN,NaN,18.4474226560296,20.9684876063661,NaN,NaN,NaN,NaN,NaN,21.2573336178394,NaN,NaN,18.9999810251446,NaN,19.0288046275982,NaN,NaN,21.9651189378938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.2175035635256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.36500118685193,NaN,0.366905235476683,NaN,NaN,NaN,NaN,NaN,NaN,3.45182160813678,8.21162064881517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.0439721880757
2101,20.2584127582711,24.6787491237402,28.1566269565978,NaN,NaN,19.66162872208,21.6913349923613,NaN,NaN,NaN,NaN,NaN,21.5676160385063,NaN,NaN,19.6686271304539,NaN,19.6875765792706,NaN,NaN,22.4372042758669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.8016797418876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.1169147701533,NaN,0.769195427070016,NaN,NaN,NaN,NaN,NaN,NaN,3.80736204572773,9.34853561792212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-16.9950683759981
2401,20.7719976133391,25.3601768457693,28.8227105903815,NaN,NaN,20.1252432501351,22.5611231920994,NaN,NaN,NaN,NaN,NaN,21.8919035377003,NaN,NaN,20.3769486407615,NaN,20.4307150020289,NaN,NaN,22.9126108436444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.5950328605042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.75318411894077,NaN,1.41618963190135,NaN,NaN,NaN,NaN,NaN,NaN,4.2191314096651,10.4024326113573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.1988682354281
2701,21.2759914420596,NaN,29.7457176271775,NaN,NaN,20.9667459409981,23.6262736654064,NaN,NaN,NaN,NaN,NaN,22.2359226946891,NaN,NaN,21.0048808866818,NaN,21.1074493184932,NaN,NaN,23.3583034415599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6967093074204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-10.3176556544922,NaN,2.27055786210735,NaN,NaN,NaN,NaN,NaN,NaN,4.601696172188,11.3201910271862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-12.8922977891026
