Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.9198259214126,13.9280500067649,NaN,NaN,NaN,NaN,8.25752136210537,NaN,NaN,NaN,NaN,NaN,12.7942626367699,NaN,NaN,10.2624348153783,NaN,11.7114811718976,NaN,NaN,12.7631876778641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.11625480196045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,11.662640002589,14.7725928669253,NaN,NaN,NaN,NaN,9.12652737855536,NaN,NaN,NaN,NaN,NaN,13.6206431347339,NaN,NaN,10.7528689314378,NaN,12.6245802866492,NaN,NaN,13.4910588534825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.53113472789486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,12.3241142493555,15.5460579639557,NaN,NaN,NaN,NaN,10.0593587670237,NaN,NaN,NaN,NaN,NaN,14.4840061622041,NaN,NaN,11.2672591131507,NaN,13.4690513235069,NaN,NaN,14.3429116194997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.93421741395023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,12.8083243806043,16.4374027124512,21.2478517012806,NaN,NaN,NaN,10.907019881554,NaN,NaN,NaN,NaN,NaN,15.3058278715808,NaN,NaN,11.7211350499733,NaN,14.3108345861564,NaN,NaN,15.1514949441248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2650531121598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,13.4448042751549,17.4398924180613,21.8412715219483,NaN,NaN,NaN,11.6249251238677,NaN,NaN,NaN,NaN,NaN,15.7296573940264,NaN,NaN,NaN,NaN,14.9354788423649,NaN,NaN,15.7517341531655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6824052114562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,14.1637228372794,18.2792785722942,22.3260636301305,NaN,NaN,NaN,12.2973402644554,NaN,NaN,NaN,NaN,NaN,15.9640124408762,NaN,NaN,12.7396945965402,NaN,15.6504859409898,NaN,NaN,16.3602412420908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1252064195937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,14.9637366027964,18.9494486383277,22.894961967093,NaN,NaN,16.8533967714392,13.2049210184044,NaN,NaN,NaN,NaN,NaN,16.1482439435653,NaN,NaN,13.3037171662911,NaN,16.131194490877,NaN,NaN,16.9565149177624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.6196994817968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,15.7559482514305,19.6829813498878,23.4649323672645,NaN,NaN,17.3342268113061,14.0123511013618,NaN,NaN,NaN,NaN,NaN,16.5004713446866,NaN,NaN,13.7075702987444,NaN,16.7471197897396,NaN,NaN,17.447793341798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.1617617316816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,16.554324523441,20.3088310272843,24.0457072671179,NaN,NaN,17.999403983576,14.7057242244807,NaN,NaN,NaN,NaN,NaN,16.7216086343267,NaN,NaN,13.822404415892,NaN,17.065459120402,NaN,NaN,17.5847584920293,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5573702764779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
