Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.9588650394134,15.1149319410246,NaN,NaN,NaN,NaN,9.66308880819822,NaN,11.7938387970568,NaN,NaN,NaN,11.6666230034533,NaN,NaN,9.24619042924216,NaN,10.306315686456,NaN,NaN,11.7903143365074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.04290439912717,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,11.7515400132735,15.8960502701834,NaN,NaN,NaN,NaN,10.2591141055012,NaN,NaN,NaN,NaN,NaN,12.625416552113,NaN,NaN,10.0626131752256,NaN,11.19827356992,NaN,NaN,12.5812001649188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.62660710844837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,12.3118259471548,16.6984509530728,NaN,NaN,NaN,NaN,11.0768863282725,NaN,NaN,NaN,NaN,NaN,13.6780832463168,NaN,NaN,10.8343437915619,NaN,11.9127822333586,NaN,NaN,13.3718748057445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.1588802754597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,12.8842570802582,17.50187621753,NaN,NaN,NaN,NaN,11.7082366913667,NaN,NaN,NaN,NaN,NaN,14.4541541996835,NaN,NaN,11.2623382586604,NaN,12.7679027863863,NaN,NaN,14.2647498020038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7530183169964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,13.5441154567841,18.4856891799398,NaN,NaN,NaN,NaN,12.3101521252721,NaN,NaN,NaN,NaN,NaN,15.1786598241654,NaN,NaN,11.8834501489358,NaN,13.4682429080956,NaN,NaN,15.3237038700411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1335271488029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,14.3067149678966,19.2174668582368,24.8800067722214,NaN,NaN,15.6092210899488,13.1905817598506,NaN,NaN,NaN,NaN,NaN,15.7582456919285,NaN,NaN,12.3509754741442,NaN,14.1769197739926,NaN,NaN,16.4855128330728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.5533559391915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,15.0647218550591,19.9402546566303,25.4772694367768,NaN,NaN,16.5746963814854,13.8072299768498,NaN,NaN,NaN,NaN,NaN,15.807024536612,NaN,NaN,12.6406545096654,NaN,14.8286848919428,NaN,NaN,17.282800118084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.9131954093118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,15.3372368622157,20.7135134115427,25.9963104462951,NaN,NaN,17.4302559797811,14.3637761908535,NaN,NaN,NaN,NaN,NaN,16.0782895400133,NaN,NaN,12.9840010079912,NaN,15.5430002484841,NaN,NaN,17.3592868408012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.2232559618983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,15.7519315820723,21.511745398183,26.5154915520792,NaN,NaN,17.9898262901244,15.2309003448037,NaN,NaN,NaN,NaN,NaN,16.3746060082961,NaN,NaN,13.2057105303518,NaN,16.2093523680989,NaN,NaN,17.4773544193439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6673053708705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
