Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0478571570241135,0.0176503767261463,NaN,NaN,NaN,NaN,0.0232445193014794,NaN,NaN,NaN,NaN,NaN,0.0610535848129916,NaN,NaN,0.0178328564823429,NaN,0.0722507989136012,NaN,NaN,0.0605722926728276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157559016270298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0535350392367218,0.0204417544230388,NaN,NaN,NaN,NaN,0.00970496628694036,NaN,NaN,NaN,NaN,NaN,0.0265424418059615,NaN,NaN,0.0505798101282466,NaN,0.0575288976536016,NaN,NaN,0.0211897796516044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00277092532436627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0327584938380189,0.0117030988228606,NaN,NaN,NaN,NaN,0.0337183115769855,NaN,NaN,NaN,NaN,NaN,0.0157454569090107,NaN,NaN,NaN,NaN,0.0375567398018212,NaN,NaN,0.0284589188160385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00276121873468563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0352419945284362,0.00942666946708107,NaN,NaN,NaN,NaN,0.0195991856779735,NaN,NaN,NaN,NaN,NaN,0.0400820869039955,NaN,NaN,0.0178596944284688,NaN,0.0261911279049331,NaN,NaN,0.00886669433422613,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0114949336470414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0236518528408297,0.0144240151571319,NaN,NaN,NaN,NaN,0.112465026706433,NaN,NaN,NaN,NaN,NaN,0.024061640057931,NaN,NaN,0.022696227142687,NaN,0.0297137806474739,NaN,NaN,0.0345019279672329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259363011446997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0107945144285625,0.013483263965845,NaN,NaN,NaN,NaN,0.0131779117152684,NaN,NaN,NaN,NaN,NaN,0.025873929836052,NaN,NaN,0.0121463978523897,NaN,0.0217291319499063,NaN,NaN,0.0124404530958284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0253472414643206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0159452969379222,0.0153841379799794,NaN,NaN,NaN,0.0333837633978268,0.0155770495853884,NaN,NaN,NaN,NaN,NaN,0.037026075994055,NaN,NaN,0.0191466976888405,NaN,0.0207679076605616,NaN,NaN,0.0208647161460897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00898135746276691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0110044036219067,0.0201556227865185,0,NaN,NaN,0.0128705357133032,0.00908356596679058,NaN,NaN,NaN,NaN,NaN,0.0165948142243606,NaN,NaN,0.0148416842015983,NaN,0.0175020053888402,NaN,NaN,0.00392273187433261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00698060612840757,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0189257900716281,0.0240167365955668,0.0122850755560899,NaN,NaN,0.0110146418964193,0.0158502244166396,NaN,NaN,NaN,NaN,NaN,0.00946296536454571,NaN,NaN,0.014707245439079,NaN,0.0322729152131504,NaN,NaN,0.0165186971340406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00836250845789642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0063758862524028,NaN,0.00787472797323431,NaN,NaN,0.0193763879396898,0.0271972785508488,NaN,NaN,NaN,NaN,NaN,0.0134944657792193,NaN,NaN,0.00516276605891184,NaN,0.0277636460167702,NaN,NaN,0.0138012278349857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0206465727758808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0149042752863424,NaN,0.0132291408065814,NaN,NaN,0.0206113800534438,0.017859727662025,NaN,NaN,NaN,NaN,NaN,0.020287465458279,NaN,NaN,0.01742334563107,NaN,0.0289362502857638,NaN,NaN,0.00999997049399002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0309947334449734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3601,0.0211601529169103,NaN,0.0294383478056736,NaN,NaN,0.0167032831606558,0.0256295011118079,NaN,NaN,NaN,NaN,NaN,0.0130668450539038,NaN,NaN,0.00436749388962537,NaN,0.0193164351944148,NaN,NaN,0.0107445333617862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0310235957578979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3901,0.0157645120441638,NaN,0.0200846094272139,NaN,NaN,0.0137026690580498,0.0604735833829353,NaN,NaN,NaN,NaN,NaN,0.0283617215888163,NaN,NaN,0.0118370216789637,NaN,0.00953045636955974,NaN,NaN,0.0128572448450982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0339555458341041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4201,0.012131086233514,NaN,0.0326168081707317,NaN,NaN,0.0255478900018057,0.0189745393210697,NaN,NaN,NaN,NaN,NaN,0.0494909302262075,NaN,NaN,0.0268950237040304,NaN,0.0241640987609745,NaN,NaN,0.00853028403507024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0293432186494069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4501,0.016122623200805,NaN,0.0190956679393635,NaN,NaN,0.0118321947463431,0.0166456949543766,NaN,NaN,NaN,NaN,NaN,0.0298410495952651,NaN,NaN,0.0357719461614013,NaN,0.0599019491030871,NaN,NaN,0.0226510256685805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0301783964372159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4801,0.00713629305151874,NaN,0.0296968405984714,NaN,NaN,0.0206588755489828,0.0192325507653588,NaN,NaN,NaN,NaN,NaN,0.012052287841637,NaN,NaN,0.00528559183235084,NaN,0.0229134097658518,NaN,NaN,0.0219020317017814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0181840719740573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5101,0.0247635401946794,NaN,0.00848075912875627,NaN,NaN,0.0170908050417148,0.0210480843865405,NaN,NaN,NaN,NaN,NaN,0.00753466250193097,NaN,NaN,0.0179524031807481,NaN,0.0266272895020388,NaN,NaN,0.0211156988585257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193339551661235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5401,0.00732364512400102,NaN,0.0244249291976687,NaN,NaN,0.0302561283581787,0.0371896394804402,NaN,NaN,NaN,NaN,NaN,0.0096927043147926,NaN,NaN,0.0139090025696174,NaN,0.0122562224337453,NaN,NaN,0.0259541989502157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00961907550047958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5701,0.0171628723826525,NaN,0.0210654478247112,NaN,NaN,0.0141729314886266,0.0125632205097963,NaN,NaN,NaN,NaN,NaN,0.00803089930868101,NaN,NaN,0.0143412723326376,NaN,0.0169486185687838,NaN,NaN,0.0168284396704588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0189832402397676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6001,0.0152309845913912,NaN,0.014860359152705,NaN,NaN,0.0208063684058768,0.0209838380107325,NaN,NaN,NaN,NaN,NaN,0.0420902505269126,NaN,NaN,0.021978710736034,NaN,0.0217502994501543,NaN,NaN,0.0207367267778518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097795635940177,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6301,0.00920519686571051,NaN,0.0176473457850363,NaN,NaN,0.0241359082254712,0.0225874508996442,NaN,NaN,NaN,NaN,NaN,0.0379244923385658,NaN,NaN,0.0252007193307337,NaN,0.0215691947835852,NaN,NaN,0.026250036215942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183352118604438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6601,0.0165786401317701,NaN,0.0336280554411362,NaN,NaN,0.0247884085542851,0.0271499421423403,NaN,NaN,NaN,NaN,NaN,0.0291171869617912,NaN,NaN,0.0188357481734543,NaN,0.025361726961864,NaN,NaN,0.0451049172182625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126391543862689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6901,0.0177984521718918,NaN,0.029385533715719,NaN,NaN,0.00868012359162715,0.0314854294516698,NaN,NaN,NaN,NaN,NaN,0.0403020942065147,NaN,NaN,0.0110326305212143,NaN,0.0267557573981894,NaN,NaN,0.0182341912802228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0202242308252432,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7201,0.00614149495149859,NaN,0.0363571625191437,NaN,NaN,0.016159723795074,0.00873973794901568,NaN,NaN,NaN,NaN,NaN,0.0104881576276055,NaN,NaN,0.0125079427690181,NaN,0.0172211892337836,NaN,NaN,0.0179426349718522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0260266870573208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7501,0.0285851550311054,NaN,0.0357654264230815,NaN,NaN,0.0119383155660386,0.025045807550967,NaN,NaN,NaN,0,NaN,0.0282715409085756,NaN,NaN,0.0274022222359852,NaN,0.0100221398316546,NaN,NaN,0.0110407082470934,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019600111781913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7801,NaN,NaN,0.0285217058506575,NaN,NaN,0.0169664846838291,0.0147690176503461,NaN,NaN,NaN,0.0468954612156466,NaN,0.0171463501908313,NaN,NaN,0.0161668759492677,NaN,0.0108969578948555,NaN,NaN,0.00988963154825375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015001649033236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8101,NaN,NaN,0.0210756056747344,NaN,NaN,0.0435549581966293,NaN,NaN,NaN,NaN,0.0198017986123318,NaN,0.0260373094275943,NaN,NaN,0.0179661413773105,NaN,0.0131006285396675,NaN,NaN,0.00913714606147976,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0140833538068183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8401,NaN,NaN,0.0174791452500494,NaN,NaN,0.0368572098267734,NaN,NaN,NaN,NaN,0.0895321324547578,NaN,0.0123089764979153,NaN,NaN,0.014058226259236,NaN,0.00721883189096374,NaN,NaN,0.0147456473532968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014733542586307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8701,NaN,NaN,0.0216365123922397,NaN,NaN,0.0809213255990164,NaN,NaN,NaN,NaN,0.0279425949195714,NaN,0.0123483732787199,NaN,NaN,0.0258215546614262,NaN,0.0351714457132882,NaN,NaN,0.0165060058194378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0298659192175933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9001,NaN,NaN,0.00927958798911492,NaN,NaN,0.0484185286924306,NaN,NaN,NaN,NaN,0.00904666945524471,NaN,0.0341559118203069,NaN,NaN,0.011514660991219,NaN,0.00666617572616852,NaN,NaN,0.0386499470456811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0242262883389221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9301,NaN,NaN,0.0178031568333519,NaN,NaN,0.0109274676214588,NaN,NaN,NaN,NaN,0.0154961716865465,NaN,0.0323100471102141,NaN,NaN,0.0267031078885579,NaN,0.0101091313471339,NaN,NaN,0.0266036052762117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221020304720272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9601,NaN,NaN,0.0163049593315909,NaN,NaN,0.0425427524538698,NaN,NaN,NaN,NaN,0.010911594160054,NaN,0.0203844965988808,NaN,NaN,0.0267621988193912,NaN,0.0300298463336523,NaN,NaN,0.0204355175327402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0243518583413115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9901,NaN,NaN,0.0305153207254013,NaN,NaN,0.0310947928610652,NaN,NaN,NaN,NaN,0.0133591839565337,NaN,0.0208811777536424,NaN,NaN,0.00387476105214328,NaN,0.00854311784549806,NaN,NaN,0.0440595618972253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0167137330585818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10201,NaN,NaN,0.0249499367691268,NaN,NaN,0.0267166014904177,NaN,NaN,NaN,NaN,0.0127522998585571,NaN,0.0283886659696182,NaN,NaN,0.0276296879335144,NaN,0.0308247100317877,NaN,NaN,0.0130014280816212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00961090150413907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10501,NaN,NaN,0.0041790301059998,NaN,NaN,0.00745335776628048,NaN,NaN,NaN,NaN,0.00586604182533093,NaN,0.0258304650653155,NaN,NaN,0.0137238998849988,NaN,0.0285112750034027,NaN,NaN,0.0150691823918645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0287179358890626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10801,NaN,NaN,0.0150486779945877,NaN,NaN,0.0210060029832698,NaN,NaN,NaN,NaN,0.0332726312042315,NaN,0.0267421468973191,NaN,NaN,0.0118211404727309,NaN,0.0160057595693659,NaN,NaN,0.020386070964745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0144957293889546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11101,NaN,NaN,0.147660257275766,NaN,NaN,0.0371849984249547,NaN,NaN,NaN,NaN,0.01359086738461,NaN,0.0224556855455512,NaN,NaN,0.00869670771940391,NaN,0.10242687253715,NaN,NaN,0.0135016960068992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11401,NaN,NaN,0.012744511445505,NaN,NaN,0.0301959315619109,NaN,NaN,NaN,NaN,0.0570192402419109,NaN,0.0317099144916385,NaN,NaN,0.0213877836156268,NaN,0.0234219926703582,NaN,NaN,0.022311350226247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11701,NaN,NaN,NaN,NaN,NaN,0.0105432146143309,NaN,NaN,NaN,NaN,0.0390266786316256,NaN,0.0137578377328165,NaN,NaN,0.00825561646220571,NaN,0.0800157144089531,NaN,NaN,0.0161825219549481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.171333967895532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12001,NaN,NaN,NaN,NaN,NaN,0.0130616107454898,NaN,NaN,NaN,NaN,0.0418055592440539,NaN,0.0152546842100379,NaN,NaN,0.0255964485478902,NaN,0.0226212368878389,NaN,NaN,0.0237873157194051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0894344399391865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12301,NaN,NaN,NaN,NaN,NaN,0.00766766932894136,NaN,NaN,NaN,NaN,0.0222722994207513,NaN,0.0438397629895482,NaN,NaN,0.0636282474898156,NaN,0.0258713239120994,NaN,NaN,0.0235016074508112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12601,NaN,NaN,NaN,NaN,NaN,0.0130880088600983,NaN,NaN,NaN,NaN,0.0228218416214108,NaN,0.101059959878603,NaN,NaN,0.0683249120382145,NaN,0.0179693149016177,NaN,0.0070093866966165,0.0380650155426703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12901,NaN,NaN,NaN,NaN,NaN,0.0261966646486074,NaN,NaN,NaN,NaN,0.0315417049556387,NaN,0.0499803799083941,NaN,NaN,0.0127541278325483,NaN,0.0139286784521318,NaN,0.0239809560021015,0.0127561346258462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13201,NaN,NaN,NaN,NaN,NaN,0.0221884521403882,NaN,NaN,NaN,NaN,0.0109906196307623,NaN,0.0071677182577997,NaN,NaN,0.023436953910409,NaN,0.0351007750826502,NaN,0.0327388653783066,0.0406355251219593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13501,NaN,NaN,NaN,NaN,NaN,0.0274612990661021,NaN,NaN,NaN,NaN,0.0188136130279158,NaN,0.0291448682670044,NaN,NaN,0.0150433757958844,NaN,0.0787567897964548,NaN,0.0244584048210759,0.020468305871139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
