Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,0.0192144537039711,0.0603523240692034,NaN,0.104900759317784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0252354885860637,NaN,NaN,0.0544404650402101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024076386205419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283382743268886,NaN,NaN,0.0220354528563195,NaN,NaN,NaN,0.0234847821255224,0.213627558233258,NaN,NaN,NaN,0.0453849085633486,NaN,NaN,NaN,NaN,NaN,NaN,0.0243178019723496,NaN
601,NaN,0.118472676314073,0.0379196244223469,NaN,0.127412500552478,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0370464462801779,NaN,NaN,0.0451753289901472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0235804428880951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0563430325109636,NaN,NaN,0.0637694951938288,NaN,NaN,NaN,0.0266236032890982,0.0444074635957225,NaN,NaN,NaN,0.0277998773008192,NaN,NaN,NaN,NaN,NaN,NaN,0.0853364007601157,NaN
901,NaN,0.044254982346383,0.0479932204142826,NaN,0.0540775147756163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013941639350598,NaN,NaN,0.0482997533182796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0436455180814868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0400324765360766,NaN,NaN,0.0152992073307966,NaN,NaN,NaN,0.0249694343372566,0.119546711131865,NaN,NaN,NaN,0.0784122467545145,NaN,NaN,NaN,NaN,NaN,NaN,0.0244156664519495,NaN
1201,NaN,0.0706334030006526,0.051550880345807,NaN,0.0675142880134242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0152327679381215,NaN,NaN,0.0426273186384548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0276108117937338,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0440075224882439,NaN,NaN,0.0145502166207626,NaN,NaN,NaN,0.044749212465477,0.0777423295842696,NaN,NaN,NaN,0.0433331411999309,NaN,NaN,NaN,NaN,NaN,NaN,0.0455374632246392,NaN
1501,NaN,0.0716552442745092,0.0478908554617779,NaN,0.0604096385608151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0349040499963175,NaN,NaN,0.0379002423461464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0049482331644346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0198657944198901,NaN,NaN,0.0382068186700487,NaN,NaN,NaN,0.0283259295994095,0.211009687478397,NaN,NaN,NaN,0.0541096020721562,NaN,NaN,NaN,NaN,NaN,NaN,0.0634411573641142,NaN
1801,NaN,0.0869332605183351,0.0537466810069095,NaN,0.0461426822549144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0220721077983869,NaN,NaN,0.0449545722705993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0428581739873174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0281106738361298,NaN,NaN,0.0340309689560689,NaN,NaN,NaN,0.0313106543887213,0.16123478142385,NaN,NaN,NaN,0.0278749705218018,NaN,NaN,NaN,NaN,NaN,NaN,0.0540311903896149,NaN
2101,NaN,0.0443453973735775,0.00927668766162724,NaN,0.0253919715312179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0482720373691311,NaN,NaN,0.0186056174217805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.037543785667993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0299201659389096,NaN,NaN,0.0281026726494729,NaN,NaN,NaN,0.0167275505522178,0.0768057782704461,NaN,NaN,NaN,0.043253507178414,NaN,NaN,NaN,NaN,NaN,NaN,0.0402499272815481,NaN
2401,NaN,0.0854063155416415,0.0295510908911545,NaN,0.0680038263853903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158068028737567,NaN,NaN,0.0343209928411304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0178799614681982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0335661796405897,NaN,NaN,0.0397459208136875,NaN,NaN,NaN,0.0400909282841202,0.101006039358048,NaN,NaN,NaN,0.0282231645283189,NaN,NaN,NaN,NaN,NaN,NaN,0.0340614590636678,NaN
2701,NaN,0.106728258339172,0.0812212164605337,NaN,0.00771000091941273,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0263530099227318,NaN,NaN,0.0560212494540251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306706104752264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239582821623081,NaN,NaN,0.0477051030371706,NaN,NaN,NaN,0.0222961093629726,0.127794462949684,NaN,NaN,NaN,0.0835473062935935,NaN,NaN,NaN,NaN,NaN,NaN,0.0683527914758161,NaN
