Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0251760871399666,0.0277919836765788,NaN,NaN,NaN,NaN,0.0305417951876436,NaN,0.0197451775762784,NaN,NaN,NaN,0.00889573657919839,NaN,NaN,0.0140072338625084,NaN,0.0307806610566583,NaN,NaN,0.0454358957049549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0151554161109345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0245849987672591,0.0137678452104054,NaN,NaN,NaN,NaN,0.00929315078521835,NaN,0.0185255658610491,NaN,NaN,NaN,0.0304107811066305,NaN,NaN,0.0176552975928033,NaN,0.0589134191971642,NaN,NaN,0.0377224217216747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0212633404763257,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0247571024944556,0.0188302110537375,0.0164538986526242,NaN,NaN,NaN,0.0504133490675247,NaN,0.0757567519792105,NaN,NaN,NaN,0.0650557607773174,NaN,NaN,0.0139906431671462,NaN,0.0449422164083388,NaN,NaN,0.0225601078969741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0188522846111559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0321034364385052,0.0285209320052451,0.010994547138117,NaN,NaN,NaN,0.0371646255456124,NaN,NaN,NaN,NaN,NaN,0.0416240650867323,NaN,NaN,0.0248979652544954,NaN,0.0299884507693179,NaN,NaN,0.021098279099796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0243741465131763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0283230523126732,0.0123622661663064,0.0182125255480297,NaN,NaN,0.030754940278036,0.137343416129267,NaN,NaN,NaN,NaN,NaN,0.0277012762179698,NaN,NaN,0.0123648063979309,NaN,0.0232698608168261,NaN,NaN,0.0117041205675362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0334219787763517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0252008936920126,0.0335425774562874,0.00833891399867638,NaN,NaN,0.0239437060192111,0.0884224052114392,NaN,NaN,NaN,NaN,NaN,0.0393268212344312,NaN,NaN,0.0421217556445258,NaN,0.0325953026298483,NaN,NaN,0.0332993398271915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332754607582898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.02945634929137,0.0140673602365955,0.0111426770531678,NaN,NaN,0.0430015353447738,0.0321379842870189,NaN,NaN,NaN,NaN,NaN,0.0135515728560711,NaN,NaN,0.0313266763854591,NaN,0.0208664718669145,NaN,NaN,0.023286551032343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0379768148963285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0179119743719599,NaN,0.0183759503793514,NaN,NaN,0.00907438692886548,0.0201476472719642,NaN,NaN,NaN,NaN,NaN,0.0320304620446628,NaN,NaN,0.036083941780862,NaN,0.0102978471700638,NaN,NaN,0.0165449111410513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00759117665990416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0166486268543287,NaN,0.00900327902528788,NaN,NaN,0.00728029081126273,0.0340343252240961,NaN,NaN,NaN,NaN,NaN,0.0347085381133754,NaN,NaN,0.0113389102785061,NaN,0.0174590023649175,NaN,NaN,0.0325061311219691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0251708904409864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
