Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0264404461546202,0.0187875853959629,NaN,NaN,NaN,NaN,0.0208179832385633,NaN,0.0269290750274019,NaN,NaN,NaN,0.0226947307823249,NaN,NaN,0.0195713471915002,NaN,NaN,NaN,NaN,0.0329068371249608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00654327697893908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0130552903946094,0.0420387256173512,NaN,NaN,NaN,NaN,0.00570757751072974,NaN,0.0373070501884739,NaN,NaN,NaN,0.0255454107100752,NaN,NaN,0.0275591538674818,NaN,NaN,NaN,NaN,0.044204606962774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0292268897845416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0383184711376738,0.0192437615457687,0.0751106403325347,NaN,NaN,NaN,0.0351885967895093,NaN,0.021681759850402,NaN,NaN,NaN,0.0087211471754219,NaN,NaN,0.0637745778263151,NaN,0.0079690695004734,NaN,NaN,0.0347460260027614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0223839401341698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0320477340418958,0.0369787978562101,0.0541491938859194,NaN,NaN,NaN,0.0213995548316642,NaN,NaN,NaN,NaN,NaN,0.054079862196551,NaN,NaN,0.0460064534978596,NaN,0.0272636858452815,NaN,NaN,0.0284108993651557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262017631667903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0283461662185954,0.0270625016634992,0.0610441586616577,NaN,NaN,NaN,0.0196267413652321,NaN,NaN,NaN,NaN,NaN,0.0264490379866807,NaN,NaN,0.017505629784236,NaN,0.0351864151952229,NaN,NaN,0.0360388106911269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197355924631706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0165213489045611,0.0158485395801739,0.0272626837494959,NaN,NaN,NaN,0.0334324191099279,NaN,NaN,NaN,NaN,NaN,0.0344872811118215,NaN,NaN,0.0697131167651746,NaN,0.0269314294339182,NaN,NaN,0.029199809284862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0248904923508689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0263175450809975,0.0129319883185214,0.0182609257491495,NaN,NaN,NaN,0.0200179475648155,NaN,NaN,NaN,NaN,NaN,0.0177963132831271,NaN,NaN,0.0208638153260194,NaN,0.0371877241443977,NaN,NaN,0.0141082027381563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0233600853478821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0130208180474847,NaN,0.0321057358727459,NaN,NaN,NaN,0.0126758605939115,NaN,NaN,NaN,NaN,NaN,0.0271720428275914,NaN,NaN,0.0386905124537579,NaN,0.0139519419072057,NaN,NaN,0.0254299184520111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01503958855319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0126043574465505,NaN,0.027481149968437,NaN,NaN,NaN,0.0055711048637763,NaN,NaN,NaN,NaN,NaN,0.0216914248098597,NaN,NaN,0.0225270052521061,NaN,0.0260441542105195,NaN,NaN,0.00786324415778605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0130988126294961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
