Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0258711993123984,0.0409495222420612,NaN,NaN,NaN,NaN,0.0218996536512151,NaN,NaN,NaN,NaN,NaN,0.0275108178530979,NaN,NaN,0.0167799965836981,NaN,NaN,NaN,NaN,0.00844245024278709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013489045560587,NaN,NaN,0.0960111585051736,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0101427106771149,NaN,NaN,NaN,NaN,0.0092385919627543,0.0144836273082345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0201013837548491
601,0.052418526164278,0.00954094390797181,NaN,NaN,NaN,NaN,0.0221196510383454,NaN,NaN,NaN,NaN,NaN,0.0184960008618622,NaN,NaN,0.026454578606856,NaN,0.0243328335508432,NaN,NaN,0.0434526628547848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.038938762019297,NaN,NaN,0.01062210292271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0195244836507209,NaN,NaN,NaN,NaN,0.0237734287844279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0248389928991092
901,0.027159622361899,0.0256119379721765,0.0303700116259704,NaN,NaN,NaN,0.0477729891807209,NaN,NaN,NaN,NaN,NaN,0.0277301326095743,NaN,NaN,0.0253689753126385,NaN,0.042178093292158,NaN,NaN,0.015589012461515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0205054081326901,NaN,NaN,0.0297586932098462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00736704310510383,NaN,NaN,0.044488331749468,NaN,NaN,NaN,NaN,0.0397816493277255,0.00781677356358344,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0369157122765775
1201,0.0312183089724557,0.0155300734113995,0.0898177649549769,NaN,NaN,NaN,0.0177941136476708,NaN,NaN,NaN,NaN,NaN,0.0375371813774185,NaN,NaN,0.0172359830591064,NaN,0.0230669793336884,NaN,NaN,0.0283853343220333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.053819234459426,NaN,NaN,0.087484745028903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0332640732124207,NaN,NaN,0.0218844771116739,NaN,NaN,NaN,NaN,NaN,0.0292026768214661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0193042241079667
1501,0.0269687997103845,0.0321569062589771,0.0256046590727418,NaN,NaN,NaN,0.0236050213160653,NaN,NaN,NaN,NaN,NaN,0.0237456434321136,NaN,NaN,0.0100496587522911,NaN,0.0242584465062741,NaN,NaN,0.018157088873184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0232947154102526,NaN,NaN,0.00813506416312647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0230603511939221,NaN,NaN,0.00542115811326745,NaN,NaN,NaN,NaN,0.00487255934947468,0.0344173402796335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0270547535564765
1801,0.0378881185128558,0.0354147033796558,0.0141938854472466,NaN,NaN,NaN,0.026206795206814,NaN,NaN,NaN,NaN,NaN,0.0215770482725825,NaN,NaN,0.0324049605060825,NaN,0.0168911103636952,NaN,NaN,0.0481081827482913,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0301404534413117,NaN,NaN,0.0144147333829243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.021510863119756,NaN,NaN,0.0395403895727385,NaN,NaN,NaN,NaN,0.0257880518989312,0.0934543038056103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.043470664807137
2101,0.0473708342847474,0.0240932477220776,0.0353184899319812,NaN,NaN,NaN,0.0258296355965513,NaN,NaN,NaN,NaN,NaN,0.0325613632121262,NaN,NaN,0.0360464892379102,NaN,0.0201701450528987,NaN,NaN,0.00847888055833701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0290165557063584,NaN,NaN,0.0323605408048315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241380969547077,NaN,NaN,0.0175931364515046,NaN,NaN,NaN,NaN,0.00993778160711278,0.0629536656870601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136254330893208
2401,0.0185047159363421,0.0505560585425838,0.0462567060140775,NaN,NaN,0.00829727071183788,0.004007003370836,NaN,NaN,NaN,NaN,NaN,0.0466823314015455,NaN,NaN,0.0176946209801284,NaN,0.0293704724350517,NaN,NaN,0.0160437193281333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161300375847617,NaN,NaN,0.0368578033095833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0352568435563469,NaN,NaN,0.0259054190963199,NaN,NaN,NaN,NaN,0.0142766728120768,0.020248812083836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0342174900624221
2701,0.0298480982386361,0.0215835655260615,0.0319682920192541,NaN,NaN,0.0416037840438793,0.0234778789972367,NaN,NaN,NaN,NaN,NaN,0.032482571273167,NaN,NaN,0.0317988098046076,NaN,0.0306069738659347,NaN,NaN,0.0323973280392298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0353190174728877,NaN,NaN,0.0315131857819349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0371163477919862,NaN,NaN,0.0340646248614091,NaN,NaN,NaN,NaN,NaN,0.023555725202452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0392833299783974
