Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0221446819555027,0.0255329151593035,NaN,NaN,NaN,NaN,0.00992480286579243,NaN,0.0306058736049924,NaN,NaN,NaN,0.0177087814162837,NaN,NaN,0.0221470796087795,NaN,0.0759455954266116,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0353031414786516,NaN,NaN,0.0173960928165184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00699266474381859,NaN,NaN,NaN,NaN,0.00966870162213655,0.011944841875524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229613837513847
601,0.00385081602415186,0.011852932901269,NaN,NaN,NaN,NaN,0.0236331828783125,NaN,0.0182195013384311,NaN,NaN,NaN,0.0470457517697546,NaN,NaN,0.0216019658910888,NaN,0.0265704067259657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0117359512965837,NaN,NaN,0.0348548665202512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0381155643200406,NaN,NaN,NaN,NaN,0.0255701134578809,0.022724915090567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020695798508574
901,0.0225132373630289,0.019088453770864,NaN,NaN,NaN,NaN,0.0250089827820442,NaN,0.0246939172549272,NaN,NaN,NaN,0.0266729656119692,NaN,NaN,0.0217184011952099,NaN,0.0477119831852947,NaN,NaN,0.0138292164382745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0186728426671271,NaN,NaN,0.0113088426579949,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020559125052269,NaN,NaN,NaN,NaN,0.01433365917301,0.0242772889286815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0237575817496434
1201,0.00711653170413966,0.00945236563568127,0.0475700511786936,NaN,NaN,0.114700004815987,0.0334881965415628,NaN,0.0236637251118022,NaN,NaN,NaN,0.0242764672129531,NaN,NaN,0.0207127686910892,NaN,0.0239322581948152,NaN,NaN,0.0258136170489956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00945541429090602,NaN,NaN,0.0225833432815673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183458905377812,NaN,NaN,NaN,NaN,0.00762578225791209,0.0645378111875102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0373660119133027
1501,0.0151684268849643,0.0138749542804934,0.0322627764764507,NaN,NaN,0.0325678966861318,0.0161823949401743,NaN,0.0111729090653401,NaN,NaN,NaN,0.028654410877131,NaN,NaN,0.0116904114143039,NaN,0.029594133818844,NaN,NaN,0.0583857947669505,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0219674695499342,NaN,NaN,0.0180663251352373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0409184736039146,NaN,NaN,0.0248747722012267,NaN,NaN,NaN,NaN,0.0266230226327283,0.0940395524799414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00954694924213268
1801,0.0212390810704841,0.0198715988311927,0.0586315280119678,NaN,NaN,0.0240134964199237,0.0229869521073459,NaN,NaN,NaN,NaN,NaN,0.00874841486544922,NaN,NaN,0.0234045762065177,NaN,0.06248210911974,NaN,NaN,0.0257410779877654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0327739679562954,NaN,NaN,0.0128340359097474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0176742969395259,NaN,NaN,0.0067085656861106,NaN,NaN,NaN,NaN,0.0141041609143783,0.0096492821025963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0329739030705737
2101,0.0209054326076052,0.02605552004756,0.00759311672711812,NaN,NaN,0.0367940167268254,0.0355593467086824,NaN,NaN,NaN,NaN,NaN,0.0217030779061485,NaN,NaN,0.0137682634898581,NaN,0.027007818657997,NaN,NaN,0.0301014601610415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122758566549685,NaN,NaN,0.0187139212373056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0559471566229069,NaN,NaN,0.00721499602277193,NaN,NaN,NaN,NaN,0.00864883335562291,0.0255956487521845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013590136334277
2401,0.030394132620389,NaN,0.0275035469466692,NaN,NaN,0.0127042181101906,0.0171456162366241,NaN,NaN,NaN,NaN,NaN,0.0199425000735761,NaN,NaN,0.048062194779168,NaN,0.0259693215486511,NaN,NaN,0.0219846085038915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024323413700995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0263849797740129,NaN,NaN,0.0176992237455033,NaN,NaN,NaN,NaN,0.0467332998375883,0.0571844544771592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0120078290130311
2701,0.0126671450257014,NaN,0.0197324480446577,NaN,NaN,0.0315180517870558,0.0197355916534259,NaN,NaN,NaN,NaN,NaN,0.00821790759497591,NaN,NaN,0.0279648361215073,NaN,0.0366476754877069,NaN,NaN,0.0248275388613869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0132786342646106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0384597227355669,NaN,NaN,0.00694127334014826,NaN,NaN,NaN,NaN,0.109835636570398,0.00855041535587126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0191297685151112
