Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0173580053864935,0.0285043331920267,NaN,NaN,NaN,NaN,0.0857822123925823,NaN,0.006744778129292,NaN,NaN,NaN,0.0134095263514229,NaN,NaN,NaN,NaN,0.0446056266477744,NaN,NaN,0.0126800187289064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0259655500157504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0166975706213882,0.0306865777614317,NaN,NaN,NaN,NaN,0.0759158112913317,NaN,0.0301218906794644,NaN,NaN,NaN,0.0174403311390954,NaN,NaN,0.102044046434313,NaN,0.042704111374062,NaN,NaN,0.00429445732757523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016235874003897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0426969384754415,0.0120254726825571,NaN,NaN,NaN,NaN,0.0692103997008543,NaN,NaN,NaN,NaN,NaN,0.0700737725400231,NaN,NaN,0.0469417108155461,NaN,0.0294315042305303,NaN,NaN,0.0151108373022087,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0262249978853185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0382131509177366,0.0328949149556995,0.0202683906976973,NaN,NaN,NaN,0.0405740110039458,NaN,NaN,NaN,NaN,NaN,0.0120376447038131,NaN,NaN,0.0312642947667874,NaN,0.0752520921669102,NaN,NaN,0.0208386056646057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0284903331191782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0286235132873331,0.0219071540504813,0.0280260724690564,NaN,NaN,0.0168250388875747,0.019450850065127,NaN,NaN,NaN,NaN,NaN,0.0248036612042532,NaN,NaN,0.0246505622886494,NaN,0.0684555357133122,NaN,NaN,0.0194636810820182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0246903908665354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.0206435237772536,0.0212266525629072,0.0200728010980915,NaN,NaN,0.0195317613937909,0.0312979963737367,NaN,NaN,NaN,NaN,NaN,0.0164011648108768,NaN,NaN,0.0261334050783126,NaN,0.0376470979468606,NaN,NaN,0.0186976357353102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0414388377508347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0180956810934751,0.019427216282435,0.0174495004099703,NaN,NaN,0.0320292989311671,0.0521395919123143,NaN,NaN,NaN,NaN,NaN,0.0464716668082645,NaN,NaN,0.0383444158563941,NaN,0.0425417353763355,NaN,NaN,0.0390999064713906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0331683240724701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0101363117237898,0.00644078646483729,0.0161499509668405,NaN,NaN,0.035991197707167,0.0479169800644602,NaN,NaN,NaN,NaN,NaN,0.0382974614759304,NaN,NaN,0.0268214158285864,NaN,0.0537806722363496,NaN,NaN,0.0398645959312706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0236114314002677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.016769294869293,NaN,0.0122085450504866,NaN,NaN,0.0241183782351295,0.046771070569098,NaN,NaN,NaN,NaN,NaN,0.0104569282175744,NaN,NaN,0.0131501054275298,NaN,0.0261887147514747,NaN,NaN,0.0169812392754814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0553066898693678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
