Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C06,C07,C08,C09,C10,C13
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.0151073989330102,0.010457138399421,NaN,NaN,NaN,NaN,0.00871228126715246,NaN,0.010219613039746,NaN,NaN,NaN,0.0270484984867244,NaN,NaN,0.0204008077117608,NaN,0.0112729824872527,NaN,NaN,0.00769783901250389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0351389584170817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0139380977309851,0.0184667241022481,0,NaN,NaN,NaN,0.0273576280233775,NaN,0.0251312161145302,NaN,NaN,NaN,0.0452669904422343,NaN,NaN,0.0202380545694152,NaN,0.0518159219883726,NaN,NaN,0.025821054560616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0238042753135035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.00537863980327819,0.0138342449967655,0.0204261542304568,NaN,NaN,NaN,0.024933019303774,NaN,NaN,NaN,NaN,NaN,0.0237329968716784,NaN,NaN,0.00840266724583142,NaN,0.036974928910087,NaN,NaN,0.0201628589717721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111330515082197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0262332029551022,0.0129762020186307,0.027472753070779,NaN,NaN,NaN,0.00516213084452484,NaN,NaN,NaN,NaN,NaN,0.0162952860700437,NaN,NaN,0.0238466481935978,NaN,0.0175076757667379,NaN,NaN,0.051977716137898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0148925515196769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.00828117142214518,0.0233663839226695,0.0144318669416683,NaN,NaN,0.00928327437576211,0.0159646488099328,NaN,NaN,NaN,NaN,NaN,0.00735250807803834,NaN,NaN,0.0285260764976371,NaN,0.0282401927621525,NaN,NaN,0.0256979190372195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00916465710940023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.024761774041849,0.0110580680744584,0.017529592802166,NaN,NaN,0.00499490427372785,0.0189485981048944,NaN,NaN,NaN,NaN,NaN,0.0192843139991746,NaN,NaN,0.0230815967942424,NaN,0.0505238035274224,NaN,NaN,0.0300549096099567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013399442610692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0367108797270846,0.0265035655662336,0.0160293411341492,NaN,NaN,0.0279827489714224,0.00760537621344438,NaN,NaN,NaN,NaN,NaN,0.011682324486375,NaN,NaN,0.0267163955099528,NaN,0.0576537709319202,NaN,NaN,0.0086894533133068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131732988029549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.0221468351186946,0.024515480973475,0.0237333322323957,NaN,NaN,0.0247432561481566,0.0110688168531682,NaN,NaN,NaN,NaN,NaN,0.0184942668356911,NaN,NaN,0.0232867193698683,NaN,0.0251798415323489,NaN,NaN,0.0280240163436802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161164808196664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0134110501270981,NaN,0.0243411403836633,NaN,NaN,0.0154020556345873,0.00842493043976065,NaN,NaN,NaN,NaN,NaN,0.0176588938055679,NaN,NaN,0.0220325182702668,NaN,0.0326072086683326,NaN,NaN,0.0136295002273625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0133710668059963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
