Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.01048032602751,0.0112207085433066,0.0135888591408432,NaN,NaN,NaN,0.118095022775481,NaN,0.00923931203105846,NaN,NaN,NaN,0.0155479272866257,NaN,NaN,0.010938156515403,NaN,0.0516570542304648,NaN,NaN,0.0236222058333406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200097041510982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,0.0104852384636443,0.00915042725566388,0.0100171630455692,NaN,NaN,0.0630338707138716,0.0907392852797694,NaN,0.0693802313223226,NaN,NaN,NaN,0.00449737596214953,NaN,NaN,0.0305765581082733,NaN,0.0306284897268459,NaN,NaN,0.0939770700735732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00732365364772655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,0.0261773793045638,0.0289437978340232,0.0130531853333965,NaN,NaN,0.10599812249526,0.0783296656024719,NaN,0.0165117934156323,NaN,NaN,NaN,0.00870484578823813,NaN,NaN,0.0255303068192257,NaN,0.028437729623851,NaN,NaN,0.00996745943606013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0155494357390602,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,0.0147521536520647,0.0258368577259551,0.0106608165945594,NaN,NaN,0.0173011535928055,0.0055375379341614,NaN,0.0251429348982219,NaN,NaN,NaN,0.00387499941318106,NaN,NaN,0.0125483726276465,NaN,0.0236833595449818,NaN,NaN,0.024930843132393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.019602235144067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,0.0198178832859343,NaN,0.021592038166366,NaN,NaN,0.0509133140726227,NaN,NaN,0.0309971983484779,NaN,NaN,NaN,0.0108074908683066,NaN,NaN,0.00674400174261654,NaN,0.00323788980833682,NaN,NaN,0.0196118533070253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00564217954531054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,0.00643909253042397,NaN,0.042071406550551,NaN,NaN,0.0205080324961661,0.0147575464820153,NaN,0.00463223635741653,NaN,NaN,NaN,0.0352858492626792,NaN,NaN,0.00709235467014245,NaN,0.00494208147216235,NaN,NaN,0.0251191499400075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0138346120266765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,0.0176087562837336,NaN,0.0308472004262733,NaN,NaN,0.0432585005408958,0.0976309229064837,NaN,2.33010645654555,NaN,NaN,NaN,0.0138372712456988,NaN,NaN,0.008690942939097,NaN,0.0256155107102629,NaN,NaN,0.0271478311753559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0213984517428215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,0.00963248693169356,NaN,0.0305058104144859,NaN,NaN,0.0212319242372598,0.0259747882387023,NaN,NaN,NaN,NaN,NaN,0.0107948250574083,NaN,NaN,0.0237893531690851,NaN,0.0240057486309015,NaN,NaN,0.033867240470465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00826763325748502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,0.0345848318478962,NaN,0.044626400497071,NaN,NaN,0.0267833086224801,0.0551767958936106,NaN,NaN,NaN,NaN,NaN,0.0176260880241254,NaN,NaN,0.0213996368720621,NaN,0.0177767387847544,NaN,NaN,0.0308815278587253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012506661498209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3001,0.0245444947591734,NaN,0.0476143334043042,NaN,NaN,0.0216854463487475,0.0317005949109701,NaN,NaN,NaN,NaN,NaN,0.0222652484681433,NaN,NaN,0.0223675204366497,NaN,0.0131560464942612,NaN,NaN,0.0298448983573962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161612818013919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3301,0.0202769209385093,NaN,0.137149213594734,NaN,NaN,0.0257284806111378,0.0282214557026202,NaN,NaN,NaN,NaN,NaN,0.0250677928322621,NaN,NaN,0.0601789217954689,NaN,0.00883872600431674,NaN,NaN,0.0055484081816135,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122237975248855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
