Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,0.00516430142148745,0.0147597999924844,NaN,NaN,NaN,NaN,0.0154485948454423,NaN,0.0287450618881594,NaN,NaN,NaN,0.0265874169907929,NaN,NaN,0.0230339942969728,NaN,0.0196506302347432,NaN,NaN,0.032375612047475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012389412264488,NaN,NaN,0.0182938905149707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015887900723693,NaN,NaN,NaN,NaN,0.0244794589231014,0.0231769695045437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0255847959845933
601,0.0129465029182302,0.0105062175650874,NaN,NaN,NaN,NaN,0.00414486064430575,NaN,0.0238230770638195,NaN,NaN,NaN,0.0268424098566112,NaN,NaN,0.0228697838641789,NaN,0.0305139461198508,NaN,NaN,0.0219793232662732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163324613502167,NaN,NaN,0.0164344951773909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0289499003220874,NaN,NaN,0.018792614495351,NaN,NaN,NaN,NaN,0.00981921899205828,0.00629528854462645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0241826584146458
901,0.0232652399934361,0.00999932128603546,0.00916210370525203,NaN,NaN,NaN,0.0274822730604983,NaN,0.0301000998404984,NaN,NaN,NaN,0.0234048372888254,NaN,NaN,0.0105609742719591,NaN,0.0254563889604277,NaN,NaN,0.0252788590712897,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00692089110653286,NaN,NaN,0.0122509618982007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0218344175705258,NaN,NaN,0.028199964823326,NaN,NaN,NaN,NaN,0.030771872672599,0.0132787499804891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0351328660056369
1201,0.0149549569061608,0.0233553028923677,0.021632141607825,NaN,NaN,0.061098440934752,0.0275682987575395,NaN,NaN,NaN,NaN,NaN,0.023753653519551,NaN,NaN,0.0155408780257469,NaN,0.0185358012188287,NaN,NaN,0.0195321435163941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00691482134510414,NaN,NaN,0.00693387396681965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0170055073505833,NaN,NaN,0.0166150425949817,NaN,NaN,NaN,NaN,0.0279593187660187,0.00115444619298702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0188808233483937
1501,0.00633147295533678,0.0219997691711251,0.0136493534307777,NaN,NaN,0.0569112708786536,0.0224080858990359,NaN,NaN,NaN,NaN,NaN,0.00709231171448204,NaN,NaN,0.0144100363076455,NaN,0.0112013970036921,NaN,NaN,0.0494390273359693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00873247688475817,NaN,NaN,0.0174589877678992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0306294066283656,NaN,NaN,0.0243258156927482,NaN,NaN,NaN,NaN,0.0075771703778062,0.0233876061127062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0330381677228287
1801,0.0078453947522199,0.0156713830283276,0.0202381913845472,NaN,NaN,0.0302606028691462,0.017152762718361,NaN,NaN,NaN,NaN,NaN,0.0113792011881983,NaN,NaN,0.0192743888712544,NaN,0.0365508685627029,NaN,NaN,0.0291645611426644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0136705453411067,NaN,NaN,0.0199402153911434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0310196704464892,NaN,NaN,0.0421372490251959,NaN,NaN,NaN,NaN,0.027471122733111,0.0178207354286347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122391567359683
2101,0.0220959268264607,0.0116851206296672,0.00423971175737411,NaN,NaN,0.0172282692549376,0.00799931763541239,NaN,NaN,NaN,NaN,NaN,0.0271777428620748,NaN,NaN,0.0121156572631993,NaN,0.0197976189390933,NaN,NaN,0.0186099939336914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00481675716884177,NaN,NaN,0.00648927140614253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0291384497535325,NaN,NaN,0.0280987286255328,NaN,NaN,NaN,NaN,0.0194475082560271,0.0291005254640906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0229087238818764
2401,0.0198789972395166,NaN,0.0230880325078825,NaN,NaN,0.0329528264318199,0.0125016020642433,NaN,NaN,NaN,NaN,NaN,0.0157055277646849,NaN,NaN,0.0128724630256384,NaN,0.0255849046893672,NaN,NaN,0.0129969192784925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0129296961324536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0111720174120529,NaN,NaN,0.0104919989264775,NaN,NaN,NaN,NaN,0.0152804280406309,0.00119865636657581,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227384346985129
2701,0.0233758389427913,NaN,0.00755345408108163,NaN,NaN,0.0166974492375357,0.0114224029731274,NaN,NaN,NaN,NaN,NaN,0.0181623915969925,NaN,NaN,0.00394346586909479,NaN,0.0191442670707229,NaN,NaN,0.0134800598945756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115678691400365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0112232151554259,NaN,NaN,0.0106342527545957,NaN,NaN,NaN,NaN,0.0133739784579802,0.0230425485230007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0109194608373338
3001,0.0301842105549092,NaN,0.0309894873630154,NaN,NaN,0.044378225568159,0.0289423259550234,NaN,NaN,NaN,NaN,NaN,0.0087084282953554,NaN,NaN,0.0361664050540337,NaN,0.0240126685717335,NaN,NaN,0.0215731485984693,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0190228678354422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0314979464471861,NaN,NaN,0.0111736052658769,NaN,NaN,NaN,NaN,0.0303615745476048,0.0139077842753999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0127850729366977
3301,0.0397738015197065,NaN,0.0185134699821574,NaN,NaN,0.0111110484411716,0.0377443855926601,NaN,NaN,NaN,NaN,NaN,0.0360213977060669,NaN,NaN,0.0236099853202108,NaN,0.0164504655985749,NaN,NaN,0.0129089783131455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149630876892473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022720075402736,NaN,NaN,0.0166864501975755,NaN,NaN,NaN,NaN,0.012776160931326,0.00657992492598873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0154297258107968
3601,0.0254583938893438,NaN,0.0295218899741843,NaN,NaN,0.0191184207253295,0.0180659124991748,NaN,NaN,NaN,NaN,NaN,0.0285198338454907,NaN,NaN,0.0167112270364076,NaN,0.016611442508538,NaN,NaN,0.0142084895603545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121229009276417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234032912562761,NaN,NaN,0.00665557282601269,NaN,NaN,NaN,NaN,0.0168090061125782,0.01693709208385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0126771973020742
3901,0.0326227645668812,NaN,0.0341499742786917,NaN,NaN,0.0337405844805585,0.0388264296415276,NaN,NaN,NaN,NaN,NaN,0.0112213555949792,NaN,NaN,0.00835476882789786,NaN,0.0338331507433032,NaN,NaN,0.0166083876826624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0161468746699159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0185001028920609,NaN,NaN,0.018425077464531,NaN,NaN,NaN,NaN,0.0225073254820496,0.0186552776282115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016034649322725
4201,0.0179462157389785,NaN,0.0270500995866856,NaN,NaN,0.0284943219277887,0.029574663769801,NaN,NaN,NaN,NaN,NaN,0.00816525903340687,NaN,NaN,0.0198054323332624,NaN,0.0081631535054085,NaN,NaN,0.0233482128138401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00570456864925742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197209477808394,NaN,NaN,0.00760374058001308,NaN,NaN,NaN,NaN,0.0255741099908867,0.0149706682667316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131448514851335
4501,0.00756399122066663,NaN,0.0183227296558578,NaN,NaN,0.0342977914700441,0.0240744462365462,NaN,NaN,NaN,NaN,NaN,0.0111158646865679,NaN,NaN,0.0150264624050676,NaN,0.0219760680312356,NaN,NaN,0.0115057578094449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0153527142209835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0318471922335348,NaN,NaN,0.0173859828338104,NaN,NaN,NaN,NaN,0.0189496370884446,0.015517731654229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0146381323489865
4801,0.0146218807581551,NaN,0.020729615125946,NaN,NaN,0.0358266831387795,0.0423458184389638,NaN,NaN,NaN,NaN,NaN,0.0307424670830292,NaN,NaN,0.00690607441343223,NaN,0.0116367207103205,NaN,NaN,0.00492419141185716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0132177184897824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00756896453832359,NaN,NaN,0.0150930082403639,NaN,NaN,NaN,NaN,0.0123906944614176,0.02570685915355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166132379308553
5101,0.0149776396309294,NaN,0.0182744742315979,NaN,NaN,0.0448131857615011,0.0109155100280252,NaN,NaN,NaN,NaN,NaN,0.00855411040066383,NaN,NaN,0.0240957746544106,NaN,0.0364656396137278,NaN,NaN,0.0150085401452348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00593099544881564,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0157484531297269,NaN,NaN,0.0184003964939083,NaN,NaN,NaN,NaN,0.0199625410338994,0.038380999615729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0221055564691305
5401,0.014129072671523,NaN,0.00954281198530285,NaN,NaN,0.0208628776372958,0.0233767073377005,NaN,NaN,NaN,NaN,NaN,0.0183515904249409,NaN,NaN,0.0108944635957587,NaN,0.0181814695082743,NaN,NaN,0.0276833618242133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0110316440608784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0131689333943274,NaN,NaN,0.010386649301309,NaN,NaN,NaN,NaN,0.0110674211163286,0.0257551182969249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0163918959614373
5701,0.0107226966673692,NaN,0.0193879240512505,NaN,NaN,0.0255764262871756,0.0162646921403608,NaN,NaN,NaN,NaN,NaN,0.0422893835904077,NaN,NaN,0.0224088540978458,NaN,0.0116573703132122,NaN,NaN,0.0230152053138521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0065983609086648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0227193668616318,NaN,NaN,0.0139446387874804,NaN,NaN,NaN,NaN,0.00934399048942239,0.020232791340376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121422888592901
