Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.3326773146812,14.965396983481,23.6096848589592,NaN,NaN,NaN,16.2774711497013,NaN,17.0694824177153,NaN,NaN,NaN,14.5435034818409,NaN,NaN,15.5145471419214,NaN,14.2145238928646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9238193680116,NaN,NaN,4.75834713127272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5970906151377,69.1984989774342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.7664381620469
601,13.9144543261572,15.5655675752583,24.3720276710411,NaN,NaN,NaN,17.112508723502,NaN,18.0090583254708,NaN,NaN,NaN,15.3510385175052,NaN,NaN,15.9489905291494,NaN,15.0787638155438,NaN,NaN,15.2472401332172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.363657974388,NaN,NaN,5.94056531578302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3449717938554,NaN,NaN,NaN,NaN,21.2659454673065,69.5409008000299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.5920520549443
901,14.5052597135784,16.3616608527227,25.0918918885526,NaN,NaN,NaN,17.9148757768027,NaN,18.8566716609674,NaN,NaN,NaN,15.8488980166252,NaN,NaN,16.6079347752215,NaN,16.0237166146078,NaN,NaN,16.2861652011941,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.2392942772971,NaN,NaN,7.09579990126262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.9932418403489,69.6065422254012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.5962619068652
1201,15.054136055684,17.1372810131928,25.3652508143994,NaN,NaN,17.9667875954216,18.6104287588172,NaN,19.8134166845389,NaN,NaN,NaN,16.456527509149,NaN,NaN,17.3272426661565,NaN,16.7602943923715,NaN,NaN,17.1440132230434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.9464263945288,NaN,NaN,8.17828984554542,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.5397885371118,NaN,NaN,14.5374227518939,NaN,NaN,NaN,NaN,22.5466861464589,69.7023381401494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.4958378706073
1501,15.6513334441272,17.7310126141328,26.1111282549789,NaN,NaN,18.9194850993209,19.2595183036856,NaN,NaN,NaN,NaN,NaN,16.8735187767661,NaN,NaN,17.8633666271555,NaN,17.5139661099413,NaN,NaN,17.6415597375788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6615171140189,NaN,NaN,9.25972265408895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3180877069275,NaN,NaN,15.2544839894675,NaN,NaN,NaN,NaN,23.040621388067,69.2463071004539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-27.259046105033
1801,16.3519800225749,18.2553296443194,26.568366785851,NaN,NaN,20.2101420944452,19.9673479677732,NaN,NaN,NaN,NaN,NaN,17.2036493012121,NaN,NaN,18.4688000767491,NaN,18.0895882368324,NaN,NaN,17.6394141362252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.455791488524,NaN,NaN,10.2745491940711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3271922395458,NaN,NaN,16.0679808425306,NaN,NaN,NaN,NaN,23.6519392055197,68.8169559559526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.9910478107758
2101,16.923810472798,18.7667278578838,26.7888649699048,NaN,NaN,20.8563387769795,20.6193083273558,NaN,NaN,NaN,NaN,NaN,17.9448156474992,NaN,NaN,18.807300313981,NaN,18.788994295652,NaN,NaN,18.1802481494775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2437511898995,NaN,NaN,11.1233331448868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.023105839383,NaN,NaN,16.7988725782457,NaN,NaN,NaN,NaN,24.3400734081083,68.4950951686001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.6363226865365
2401,17.6162856429717,19.190227024182,26.968727011985,NaN,NaN,21.2049133469124,21.3459343244749,NaN,NaN,NaN,NaN,NaN,18.5390997935578,NaN,NaN,19.2710962101225,NaN,19.4452065027713,NaN,NaN,18.621347950341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0468016330854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.5386923844397,NaN,NaN,17.5871679323226,NaN,NaN,NaN,NaN,24.9802663665269,67.7729359149207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-26.1823995278599
2701,18.0830089973892,NaN,27.3533369013743,NaN,NaN,21.7372228947063,21.9955119560846,NaN,NaN,NaN,NaN,NaN,19.2462747437356,NaN,NaN,19.92694186484,NaN,20.0605444936224,NaN,NaN,19.2219726667108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.7708930101138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.2229434934814,NaN,NaN,18.2644777482186,NaN,NaN,NaN,NaN,25.5443790326291,67.059599790798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.9007060519696
3001,18.68239175402,NaN,27.9158101660695,NaN,NaN,22.121547509229,22.6903758739048,NaN,NaN,NaN,NaN,NaN,19.937458801562,NaN,NaN,20.4214275711355,NaN,21.0002414007182,NaN,NaN,19.9814957008872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.4616283110141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.025580105463,NaN,NaN,19.0386661012942,NaN,NaN,NaN,NaN,26.0791381385193,66.786340880002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.4892864831267
3301,19.3213837462882,NaN,28.3995261673214,NaN,NaN,22.5749148659679,23.3404382725897,NaN,NaN,NaN,NaN,NaN,20.7419773002108,NaN,NaN,20.9195387510531,NaN,21.6400829767304,NaN,NaN,20.6972621169412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1096493625773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9649390448172,NaN,NaN,19.8824133817668,NaN,NaN,NaN,NaN,26.5184634693159,66.2939917728266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-25.2758179940381
3601,20.6355407107883,NaN,28.6071894669658,NaN,NaN,22.2747834405056,24.4847812500202,NaN,NaN,NaN,NaN,NaN,21.2172898149331,NaN,NaN,21.6020277931241,NaN,21.9907831576448,NaN,NaN,21.1459161240192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5871616461803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.0287341608136,NaN,NaN,20.6163219558986,NaN,NaN,NaN,NaN,26.945516565009,65.8855171407906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.9339548983062
3901,21.4067332601604,NaN,29.0934438648918,NaN,NaN,23.0531965174601,25.2438345736334,NaN,NaN,NaN,NaN,NaN,22.0098439204039,NaN,NaN,21.9898585664845,NaN,22.4533451928024,NaN,NaN,21.9920864783866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2306088103842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.022748569102,NaN,NaN,21.3933363824566,NaN,NaN,NaN,NaN,27.3723450789978,65.5172654379492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.5884685208239
4201,22.1423992211954,NaN,29.5494960795863,NaN,NaN,23.6985855791305,25.7836996388823,NaN,NaN,NaN,NaN,NaN,22.8692807340699,NaN,NaN,22.421327987712,NaN,22.9342726502495,NaN,NaN,22.808111051329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.859843710801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.8487926036738,NaN,NaN,22.1131983985613,NaN,NaN,NaN,NaN,27.8995943242766,65.0228855106303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-24.0156407469391
4501,22.7937753339002,NaN,30.0417540386679,NaN,NaN,24.1080179216212,26.3163522026756,NaN,NaN,NaN,NaN,NaN,23.4735157218493,NaN,NaN,22.9218120387301,NaN,23.5388132886674,NaN,NaN,23.5700442292583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.5287740400051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.398449266324,NaN,NaN,22.7227602550842,NaN,NaN,NaN,NaN,28.5889915751583,64.6944724481167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-23.4029082884507
4801,23.4631461520459,NaN,30.6946970660141,NaN,NaN,24.3606602522808,26.8449908778225,NaN,NaN,NaN,NaN,NaN,24.1600398883329,NaN,NaN,23.5399667284165,NaN,24.1671453547213,NaN,NaN,24.0565433890632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.2173034766155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.1262003882601,NaN,NaN,23.4148345839099,NaN,NaN,NaN,NaN,29.1915003952712,64.170575845885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-22.5576668977478
5101,24.1262058271081,NaN,31.2647682169051,NaN,NaN,24.8351017448643,27.6421377664837,NaN,NaN,NaN,NaN,NaN,24.9013804544913,NaN,NaN,24.2187379470171,NaN,24.4544363312225,NaN,NaN,24.66997967873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.0163685165962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.0778584827292,NaN,NaN,23.9302453682609,NaN,NaN,NaN,NaN,29.6993866502588,63.6462713846065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-21.715269971029
5401,24.6594920021061,NaN,31.7702734550686,NaN,NaN,25.3391817746348,28.4546086472004,NaN,NaN,NaN,NaN,NaN,25.7252929796693,NaN,NaN,24.9365015585482,NaN,25.013770567688,NaN,NaN,25.4848987209567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.818632712345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.9369057935206,NaN,NaN,24.4093191043188,NaN,NaN,NaN,NaN,30.2767999634377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-20.7091761424867
5701,25.2739582468127,NaN,32.3243792983778,NaN,NaN,26.0907146552209,29.2754908307982,NaN,NaN,NaN,NaN,NaN,26.4510704642274,NaN,NaN,25.3680507169013,NaN,25.5986433804708,NaN,NaN,26.2764276785765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.6846392338343,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.7976753496356,NaN,NaN,25.0071572522088,NaN,NaN,NaN,NaN,30.8242084405541,61.8600836325308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-19.6767871302703
6001,25.796041046464,NaN,32.7382880090262,NaN,NaN,26.9052370447335,30.0829990353395,NaN,NaN,NaN,NaN,NaN,27.1193052237818,NaN,NaN,26.0387360279121,NaN,26.1549160739596,NaN,NaN,27.0874989399985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28.4987298014095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.5876768987443,NaN,NaN,25.6546105705021,NaN,NaN,NaN,NaN,31.3158498281429,60.6221307705653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-18.6066160452702
6301,26.2861549128906,NaN,33.0333137122505,NaN,NaN,27.6245699295658,30.8924924245544,NaN,NaN,NaN,NaN,NaN,27.8240656906925,NaN,NaN,26.6388336589876,NaN,26.5465289532929,NaN,NaN,27.8485771155311,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.3063070758631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.427708387106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.9088314813253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-17.3399816862948
6601,26.7284653177257,NaN,33.4656578459818,NaN,NaN,28.3135018638664,31.5298973331908,NaN,NaN,NaN,NaN,NaN,28.5334134666734,NaN,NaN,27.2242519165178,NaN,27.1064970598774,NaN,NaN,28.6365264310448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.0330238888316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.2391547907637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.4646053382642,58.5903347064704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-15.9635786506003
6901,27.0225980032466,NaN,33.987428176495,NaN,NaN,29.1642400778993,32.1499894627581,NaN,NaN,NaN,NaN,NaN,29.3672400907537,NaN,NaN,27.8404789411892,NaN,27.6071811324816,NaN,NaN,29.5156774912445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.9203589543984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.1217393128991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.0736089266042,57.6029249408995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-14.4328975285862
7201,27.3230713041509,NaN,34.6234882347707,NaN,NaN,29.8836793383487,32.7052877353236,NaN,NaN,NaN,27.505244720901,NaN,30.2375435546201,NaN,NaN,28.5588819844322,NaN,28.0216892424975,NaN,NaN,30.3038105648979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.92244796927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.8723432843291,NaN,NaN,NaN,34.1823853980819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.5415355334081,56.8022904886493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-13.011991886924
7501,NaN,NaN,35.0039760955135,NaN,NaN,30.6425887860715,33.3396555283692,NaN,NaN,NaN,28.1568072306338,NaN,31.2842796048196,NaN,NaN,29.180585306481,NaN,28.5937348619887,NaN,NaN,31.2134346764985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.7440737234008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.2917130255566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.9905332046017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.4815778943129
7801,NaN,NaN,35.3091640251788,NaN,NaN,31.3683966330884,33.8950670864129,NaN,NaN,NaN,28.7653139266613,NaN,32.3631578696919,NaN,NaN,29.7361049563116,NaN,29.0721034309379,NaN,NaN,32.2511345553342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.4469702110855,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.8229152187619,NaN,NaN,NaN,36.3359377360026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.5216311664591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.88659557268752
8101,NaN,NaN,35.6248773610562,NaN,NaN,32.0463410365906,34.4557749643464,NaN,NaN,NaN,29.4787142696085,NaN,33.3259419985596,NaN,NaN,30.462387177856,NaN,29.6534322337166,NaN,NaN,33.1399278990435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.0713787710703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.435993300878,NaN,NaN,NaN,37.5435620517591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.9662512588215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.34866817690613
8401,NaN,NaN,36.225516351588,NaN,NaN,32.7511061237652,34.9364147960705,NaN,NaN,NaN,30.0961736322916,NaN,34.3263056275312,NaN,NaN,31.0859758760251,NaN,30.1946103482948,NaN,NaN,34.1513344143361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.6434536954708,NaN,NaN,NaN,NaN,NaN,42.3201308846636,NaN,NaN,NaN,NaN,NaN,NaN,38.4836019603792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.443611673774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.85358609931119
