Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,15.7700165069154,14.5805996309593,21.2169601331553,NaN,NaN,NaN,14.8704908110291,NaN,13.7299351268152,NaN,NaN,NaN,13.4152366942253,NaN,NaN,12.4242533333482,NaN,11.9497866060234,NaN,NaN,12.3183230438969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4507031496658,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,16.2095084486481,15.2786191885189,21.975415008822,NaN,NaN,NaN,15.5301580522945,NaN,14.8200843794523,NaN,NaN,NaN,14.2616988326784,NaN,NaN,12.9976532182891,NaN,12.8102971206796,NaN,NaN,12.7947970186697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.8129579874203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,16.600862849822,15.9719091091551,22.5403564115652,NaN,NaN,NaN,16.3428238333745,NaN,15.401107189623,NaN,NaN,NaN,15.1534795217119,NaN,NaN,13.6176084229978,NaN,13.612707799663,NaN,NaN,13.5431460931465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4216198601167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,17.1891244470119,16.4467291919102,23.1132056643919,NaN,NaN,14.8600176513189,16.9851414234627,NaN,15.9895915217151,NaN,NaN,NaN,15.7156889583939,NaN,NaN,14.0510611417262,NaN,14.5482953958401,NaN,NaN,14.601916035372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0981127808787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,17.7415852757534,16.97278987879,23.7290683700185,NaN,NaN,15.734349666455,17.6191371293535,NaN,NaN,NaN,NaN,NaN,16.0304266662225,NaN,NaN,14.7311836139094,NaN,15.3014292827005,NaN,NaN,15.129729725554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8288134492723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,18.3574761105465,17.6143000508805,24.1570732798869,NaN,NaN,16.5808766885253,18.1300674195876,NaN,NaN,NaN,NaN,NaN,16.5076733636857,NaN,NaN,15.2422570595649,NaN,16.0692671849276,NaN,NaN,15.4662412500317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4792657255381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,19.0305000576903,18.2807039626198,24.4878559516791,NaN,NaN,17.3179520518374,18.9638070961414,NaN,NaN,NaN,NaN,NaN,17.0704057736116,NaN,NaN,15.8668652584955,NaN,16.7228867651059,NaN,NaN,15.8353399529131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.2703220631403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,19.4555029423356,NaN,24.7926023292089,NaN,NaN,18.1183669898619,19.971646397893,NaN,NaN,NaN,NaN,NaN,17.7415051823283,NaN,NaN,16.3292194934993,NaN,17.43825404646,NaN,NaN,16.3261248910644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0344981439833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,19.9148694518093,NaN,25.2911584143183,NaN,NaN,18.7963711021903,20.6410110641985,NaN,NaN,NaN,NaN,NaN,18.3800232964972,NaN,NaN,16.7528711235031,NaN,18.0916875548078,NaN,NaN,16.8745068775095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.8150817846925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
