Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,10.1646210130971,10.1304389505056,NaN,NaN,NaN,NaN,7.45816555501724,NaN,NaN,NaN,NaN,NaN,8.49822434061126,NaN,NaN,6.95775684153747,NaN,8.07816853743995,NaN,NaN,9.14657354534252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.76744866192742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,10.6160904538849,10.6506231821049,NaN,NaN,NaN,NaN,8.26678789713011,NaN,NaN,NaN,NaN,NaN,8.99296417043805,NaN,NaN,7.47798677049688,NaN,8.8510776312702,NaN,NaN,9.63303373496707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.25479866480004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,11.1035265782803,11.2155964519877,NaN,NaN,NaN,NaN,8.94364112026125,NaN,NaN,NaN,NaN,NaN,9.43736702188662,NaN,NaN,NaN,NaN,9.50431745168497,NaN,NaN,10.0300744492672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.73072760812346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,11.7035160797285,11.7324628214288,NaN,NaN,NaN,NaN,9.73577970654979,NaN,NaN,NaN,NaN,NaN,9.9013411663627,NaN,NaN,8.21172267722191,NaN,10.0260747532723,NaN,NaN,10.2983480268493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.16445039309575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,12.2322372328984,12.1986453954696,NaN,NaN,NaN,NaN,10.4327838473485,NaN,NaN,NaN,NaN,NaN,10.2183706898497,NaN,NaN,8.62336376675646,NaN,10.4685719636178,NaN,NaN,10.5723779832837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.76570236091639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,12.8572362021616,12.7472008509202,NaN,NaN,NaN,NaN,11.2246842224502,NaN,NaN,NaN,NaN,NaN,10.5508119205713,NaN,NaN,8.99808101528097,NaN,11.0776243913646,NaN,NaN,10.6659826669118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.44290244448339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,13.3635407386222,13.3154579466665,NaN,NaN,NaN,13.4059827108619,11.9470819451742,NaN,NaN,NaN,NaN,NaN,11.0659368705278,NaN,NaN,9.42723710006539,NaN,11.6457738722079,NaN,NaN,10.8295492293898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.14308474295675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,13.7488185084741,13.8395483950353,21.4591490071773,NaN,NaN,14.0547711573704,12.6854185991452,NaN,NaN,NaN,NaN,NaN,11.6733797978355,NaN,NaN,9.77361390666954,NaN,12.2680277588501,NaN,NaN,11.1169364463048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.70565312302318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,14.2379444271893,14.3004169024316,21.8132770686927,NaN,NaN,14.5553397234996,13.3895209552129,NaN,NaN,NaN,NaN,NaN,12.2752637396461,NaN,NaN,10.1576462028424,NaN,12.808883371733,NaN,NaN,11.3546400061007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.2611363384973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
