Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,NaN,10.9213238526726,10.1337493218045,NaN,2.52661407437269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.998215205833719,NaN,NaN,1.04516700293175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.63651950698888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.50968363643677,NaN,NaN,-4.56925595295862,NaN,NaN,NaN,2.87723031204881,50.0504117596152,NaN,NaN,NaN,9.92692635344557,NaN,NaN,NaN,NaN,NaN,NaN,-47.1048420669916,NaN
601,NaN,11.0493075508671,10.4681366880482,NaN,3.13731905110259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.48730574561636,NaN,NaN,1.4623233713767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-4.61964295591772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.68411110317306,NaN,NaN,-3.63690556658597,NaN,NaN,NaN,3.21175265273716,49.8785349701782,NaN,NaN,NaN,10.7452498489152,NaN,NaN,NaN,NaN,NaN,NaN,-46.9657405789066,NaN
901,NaN,11.7071646111794,11.1501382745715,NaN,3.95904123585315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94096428203082,NaN,NaN,1.57841099167289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.38713143121433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.80838305892188,NaN,NaN,-2.71712847925194,NaN,NaN,NaN,3.71190630331664,50.0993629418723,NaN,NaN,NaN,11.3345504591064,NaN,NaN,NaN,NaN,NaN,NaN,-46.8937282251345,NaN
1201,NaN,12.3211929181475,11.8620312312064,NaN,4.92475399197663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.35146961860986,NaN,NaN,1.67623054780407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.23209834809709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.06241658631474,NaN,NaN,-1.79217260893662,NaN,NaN,NaN,4.18458009655159,50.2621687927207,NaN,NaN,NaN,12.0327944187151,NaN,NaN,NaN,NaN,NaN,NaN,-46.6454314084523,NaN
1501,NaN,12.8668594089395,12.3592247564682,NaN,5.61838774124497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5884472140663,NaN,NaN,1.68098021773535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.05580067594422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.1978394305657,NaN,NaN,-0.904296660387576,NaN,NaN,NaN,4.57469696889476,49.4402685371216,NaN,NaN,NaN,12.8426955952641,NaN,NaN,NaN,NaN,NaN,NaN,-46.2770144145082,NaN
1801,NaN,13.4674029814423,12.7883550941634,NaN,6.36747939827824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.94279701108221,NaN,NaN,1.53961259032138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.065412006719358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3018220801047,NaN,NaN,0.0924797120699216,NaN,NaN,NaN,5.14631846731185,49.4139341690545,NaN,NaN,NaN,13.6294216287732,NaN,NaN,NaN,NaN,NaN,NaN,-45.8645689335164,NaN
2101,NaN,13.7807123006044,13.3313010329986,NaN,7.25441261996689,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.39347047555192,NaN,NaN,1.48078967726509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.27061420120979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.31315248782169,NaN,NaN,1.31962074439331,NaN,NaN,NaN,5.76759615854594,49.4437445141622,NaN,NaN,NaN,14.4182832972875,NaN,NaN,NaN,NaN,NaN,NaN,-45.3053945815488,NaN
2401,NaN,13.952595155577,13.6840145931265,NaN,8.01576361894794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.82744598832101,NaN,NaN,1.57566621023861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.44964060929232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.46249427716629,NaN,NaN,2.40253103099717,NaN,NaN,NaN,6.20777415679099,49.3186406815816,NaN,NaN,NaN,15.121551958076,NaN,NaN,NaN,NaN,NaN,NaN,-44.7715661163332,NaN
2701,NaN,14.5015807687816,13.9874099457389,NaN,8.77501569467073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.25389445814722,NaN,NaN,1.57100999528811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.51350786692369,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.62647747807634,NaN,NaN,3.39112558038777,NaN,NaN,NaN,6.69268111781508,49.424280464446,NaN,NaN,NaN,15.7377587487647,NaN,NaN,NaN,NaN,NaN,NaN,-44.4407452756728,NaN
