Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,9.97806125597533,12.51658015772,NaN,NaN,NaN,NaN,12.6045471085176,NaN,NaN,NaN,NaN,NaN,11.6497969029414,NaN,NaN,12.540407006168,NaN,13.7219348802307,NaN,NaN,13.0127243010815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.6156454667118,NaN,NaN,-0.721155714079272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.26728371757705,NaN,NaN,NaN,NaN,18.2398169420289,64.6640757455804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.6958968361049
601,10.5457411918223,12.7665641521835,NaN,NaN,NaN,NaN,13.4240674032982,NaN,NaN,NaN,NaN,NaN,11.7638775911528,NaN,NaN,13.1116401366364,NaN,14.4473996265354,NaN,NaN,13.7700174631657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.2061899695785,NaN,NaN,0.0966097947263102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.86239078040889,NaN,NaN,NaN,NaN,18.8820931529679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.6106911539041
901,11.0585392389476,13.1745244629435,23.7776494502841,NaN,NaN,NaN,14.2108560744136,NaN,NaN,NaN,NaN,NaN,11.8740510251737,NaN,NaN,13.5657740850381,NaN,15.1013435294744,NaN,NaN,14.3187935056422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0168512505964,NaN,NaN,0.870203621583891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5183918178557,NaN,NaN,10.4054682832513,NaN,NaN,NaN,NaN,19.4795347454773,64.9869446634906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.4949178125755
1201,11.6174197082672,13.5134838046629,24.2223337448145,NaN,NaN,NaN,15.1170981262632,NaN,NaN,NaN,NaN,NaN,12.3366374009472,NaN,NaN,13.996823584807,NaN,15.6721262225097,NaN,NaN,14.7157487715749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6957867977421,NaN,NaN,1.54359352798811,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0896431995787,NaN,NaN,11.0538739736095,NaN,NaN,NaN,NaN,NaN,65.1772754100636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.2463765226488
1501,12.2791506113272,14.0392497445372,24.6516120655416,NaN,NaN,NaN,16.0271960790707,NaN,NaN,NaN,NaN,NaN,12.9161357662422,NaN,NaN,14.4566606310412,NaN,16.2491944292587,NaN,NaN,14.718080268163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2851265583764,NaN,NaN,2.46856115633108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3747997655889,NaN,NaN,11.8090640422927,NaN,NaN,NaN,NaN,20.5774461092529,65.1655031561264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.8264260859097
1801,12.8547990621797,14.4987107899518,25.0766956971363,NaN,NaN,NaN,16.8325250085851,NaN,NaN,NaN,NaN,NaN,13.6690454605432,NaN,NaN,14.6247526516935,NaN,16.8525980696143,NaN,NaN,14.7794841124082,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2171225231646,NaN,NaN,3.49787353019603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5263821632859,NaN,NaN,12.5940043422167,NaN,NaN,NaN,NaN,21.2271029098618,64.51444770688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.3846757479565
2101,13.5908392982934,14.9593371254639,25.6291198471247,NaN,NaN,NaN,17.5345690524053,NaN,NaN,NaN,NaN,NaN,14.1028920159772,NaN,NaN,14.9693396555109,NaN,17.3823362886089,NaN,NaN,15.0436867686201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9233333624704,NaN,NaN,4.4430915371128,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.0273380012544,NaN,NaN,13.3364264184011,NaN,NaN,NaN,NaN,21.895030690339,64.3057666816815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.9587339273992
2401,14.2664191018991,15.3894769516311,26.1094167640059,NaN,NaN,19.4723560764215,18.2532462507291,NaN,NaN,NaN,NaN,NaN,14.4578067530285,NaN,NaN,15.5567120636758,NaN,17.9531128169143,NaN,NaN,15.5450444400742,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.7125957298565,NaN,NaN,5.38471079396833,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.8226536057385,NaN,NaN,13.908148150395,NaN,NaN,NaN,NaN,22.551484177501,64.0933950683546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.5395496528555
2701,14.7029391815984,15.9640779184542,26.4670772399595,NaN,NaN,20.0260858878818,18.9674299465986,NaN,NaN,NaN,NaN,NaN,15.3575222654523,NaN,NaN,16.0310084044984,NaN,18.3066941247739,NaN,NaN,16.002444753452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.3680393617102,NaN,NaN,6.49294090699249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.272139716246,NaN,NaN,14.6741425603882,NaN,NaN,NaN,NaN,NaN,63.7647109802422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29.9223118292238
