Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,4.73767458186081,12.8627631555131,NaN,NaN,NaN,NaN,2.98029274980288,NaN,NaN,NaN,NaN,NaN,5.64363988980192,NaN,NaN,6.17775471062585,NaN,10.2165900706475,NaN,NaN,9.31031605250174,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.08703848392675,NaN,NaN,-0.958488704327912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.327197290727,NaN,NaN,4.17495397801629,NaN,NaN,NaN,NaN,11.9309655609285,58.3935322273423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.9807779454626
601,5.34878768606666,13.5885018031661,NaN,NaN,NaN,NaN,3.92615872723488,NaN,NaN,NaN,NaN,NaN,6.26659280526873,NaN,NaN,6.59825866412555,NaN,10.9453724403137,NaN,NaN,9.5849826469497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.82894596679342,NaN,NaN,0.252019545901405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.5264569638481,NaN,NaN,5.01346524547872,NaN,NaN,NaN,NaN,12.5019558400166,58.7193106329697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.9833352209314
901,5.95061398231718,14.2981982201863,19.1531954802177,NaN,NaN,NaN,4.6855011309399,NaN,NaN,NaN,NaN,NaN,6.72749540115661,NaN,NaN,7.05416613475299,NaN,11.5918552203434,NaN,NaN,10.2009689510925,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2281259001726,NaN,NaN,1.4786341225477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1969754813002,NaN,NaN,5.88035587036532,NaN,NaN,NaN,NaN,12.8881027128355,59.0588447537621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.8785420055462
1201,6.63182244614609,14.8800690955229,19.6413145436747,NaN,NaN,NaN,5.58410623134538,NaN,NaN,NaN,NaN,NaN,7.08469687202717,NaN,NaN,7.31228644619996,NaN,12.0837615881238,NaN,NaN,10.9062491444169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.63362719218111,NaN,NaN,2.58002239622711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0394482875581,NaN,NaN,6.88258349226349,NaN,NaN,NaN,NaN,13.3858342960463,59.2215129552767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.8855082575586
1501,7.53326924271561,15.3933268085505,20.0603836946351,NaN,NaN,NaN,6.46637108290551,NaN,NaN,NaN,NaN,NaN,7.60314786174002,NaN,NaN,7.72150566032746,NaN,12.5049150629754,NaN,NaN,11.0734322648758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.07098831134915,NaN,NaN,3.61384076893511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.271846525107,NaN,NaN,7.90190887468064,NaN,NaN,NaN,NaN,13.8485825206743,59.3489535694422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.7408800004626
1801,8.27671877169594,15.8397962890612,20.2566296072291,NaN,NaN,13.7209689055898,7.48869370220142,NaN,NaN,NaN,NaN,NaN,7.78604563476959,NaN,NaN,8.02399018976296,NaN,12.9387133132755,NaN,NaN,11.2277030513876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6708101250205,NaN,NaN,4.60290159447629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.4578649907978,NaN,NaN,8.71903255216186,NaN,NaN,NaN,NaN,14.456057670884,59.5208900881518,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-38.4433761841297
2101,8.94371142828495,16.4863544013181,20.49151545993,NaN,NaN,14.3727404697476,8.81897589396761,NaN,NaN,NaN,NaN,NaN,7.89148515457792,NaN,NaN,8.49411511332221,NaN,13.6339800337432,NaN,NaN,11.5644409347261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.29158395988399,NaN,NaN,5.72555002330905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.8356801197288,NaN,NaN,9.68554585656595,NaN,NaN,NaN,NaN,14.9775876991228,59.8265870828612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.9568768124122
2401,9.69684774564076,16.9851391050652,20.9098135143459,NaN,NaN,14.7042553743413,9.95320693314637,NaN,NaN,NaN,NaN,NaN,8.09034225342355,NaN,NaN,8.89302234394771,NaN,14.0448147266526,NaN,NaN,11.6068043203173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.0433501369067,NaN,NaN,6.71146792664243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.9346753410207,NaN,NaN,10.4365460395239,NaN,NaN,NaN,NaN,15.5372365303295,59.9619539699363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-37.5297276762306
2701,10.538630011986,17.4744318804499,21.4217991983904,NaN,NaN,14.8120138600059,11.3628484461414,NaN,NaN,NaN,NaN,NaN,8.62525536533018,NaN,NaN,9.31557776364608,NaN,14.5918627830207,NaN,NaN,11.7118823212533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.84766144071844,NaN,NaN,7.7380212371957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.1435454142676,NaN,NaN,11.1080075681989,NaN,NaN,NaN,NaN,16.0952236061683,60.0509674829869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.8566876536474
3001,11.3661928959517,NaN,22.1021585253508,NaN,NaN,15.2498266053397,12.6600163903634,NaN,NaN,NaN,NaN,NaN,8.8840815746117,NaN,NaN,9.52833363512517,NaN,15.014990793473,NaN,NaN,12.1385920740207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.73957357587329,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6804315728017,NaN,NaN,11.8520710937686,NaN,NaN,NaN,NaN,16.7636983690123,60.2347116068472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-36.1531979362587
3301,12.3577594877721,NaN,22.5564468827155,NaN,NaN,15.5049265624001,14.0502661021076,NaN,NaN,NaN,NaN,NaN,9.20322547972189,NaN,NaN,9.84984015947753,NaN,15.4995031703957,NaN,NaN,12.5524113110016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.69409001454308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.9995753888263,NaN,NaN,12.8244588373502,NaN,NaN,NaN,NaN,17.5299974037753,60.6565951045274,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-35.1708298977198
3601,13.671263047168,NaN,22.3947637494451,NaN,NaN,16.0961120348994,15.704227547339,NaN,NaN,NaN,NaN,NaN,9.57677081535117,NaN,NaN,10.4817232187657,NaN,15.712942448058,NaN,NaN,12.5037236838683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.86440686171449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.4160434000393,NaN,NaN,13.7787671476644,NaN,NaN,NaN,NaN,18.1544238624217,60.9280851059788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-34.1374333205905
3901,14.5646721319533,NaN,22.6841434038373,NaN,NaN,16.563446291602,17.0674941298635,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.1680491575086,NaN,NaN,13.1400941968959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7189345804519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0016329964585,NaN,NaN,14.7333866126147,NaN,NaN,NaN,NaN,18.7682063114101,61.0263359663575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-33.0620358707291
4201,15.1900635776489,NaN,23.1163242890886,NaN,NaN,17.0989653787549,18.0340645167537,NaN,NaN,NaN,NaN,NaN,10.6692757140976,NaN,NaN,11.5639894094362,NaN,16.5323213545304,NaN,NaN,13.7993626070161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7635240241694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.731411474125,NaN,NaN,15.8063389135027,NaN,NaN,NaN,NaN,19.4593869099114,61.0498540210972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-32.423124947905
4501,16.1983093380886,NaN,23.5304573603229,NaN,NaN,17.643955546923,19.4308736828744,NaN,NaN,NaN,NaN,NaN,11.1690246305924,NaN,NaN,12.3086736236469,NaN,16.914351048686,NaN,NaN,14.4458744320077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7556257932244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.5359922702153,NaN,NaN,16.7855788529964,NaN,NaN,NaN,NaN,20.0271744229469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-31.3878682070658
4801,17.4440870693921,NaN,24.0741439430645,NaN,NaN,18.202976759225,21.0361745492685,NaN,NaN,NaN,NaN,NaN,11.8704365276023,NaN,NaN,13.0382438099163,NaN,17.2671960549204,NaN,NaN,15.0997222297417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.8291770336597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.1917469545741,NaN,NaN,17.4290371560486,NaN,NaN,NaN,NaN,20.795192711407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-30.1541096217536
