Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,15.0673498623977,14.1174170382653,NaN,NaN,NaN,NaN,12.7876680767396,NaN,12.2347207108942,NaN,NaN,NaN,11.8653950751196,NaN,NaN,NaN,NaN,10.8735723297093,NaN,NaN,11.6904129288052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0106382445935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,15.6025824326351,14.7399510255695,NaN,NaN,NaN,NaN,13.5319406087552,NaN,13.2284219045459,NaN,NaN,NaN,12.3356284275727,NaN,NaN,11.3998720385815,NaN,11.6695271446344,NaN,NaN,12.2186063656543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7198635010397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,16.1649766274224,15.2328246518509,NaN,NaN,NaN,NaN,14.26606390399,NaN,NaN,NaN,NaN,NaN,12.9115427062517,NaN,NaN,12.065588165139,NaN,12.3556133026087,NaN,NaN,12.6264706470376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.4351486296699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,16.5462775647524,15.7671257133305,22.8204443146599,NaN,NaN,14.0199031319667,14.882632020946,NaN,NaN,NaN,NaN,NaN,13.7439440295958,NaN,NaN,12.6566404167963,NaN,13.1851838486631,NaN,NaN,13.0354619076555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.964429266859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,16.7670718940514,16.123258502798,23.2045626099559,NaN,NaN,14.9562886874259,15.47948361091,NaN,NaN,NaN,NaN,NaN,14.6357960673417,NaN,NaN,13.132559593614,NaN,13.9375414606777,NaN,NaN,13.5617224128161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.5244488922812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,17.0210038588108,16.6391533979958,23.4227204233511,NaN,NaN,15.9424043509678,16.2811273336563,NaN,NaN,NaN,NaN,NaN,15.1919837907149,NaN,NaN,13.5201043546043,NaN,14.693002001487,NaN,NaN,14.2792203734875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.0628255211065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,17.4231622020268,17.0661591076188,23.9822618238415,NaN,NaN,16.7870486312704,17.1526795726384,NaN,NaN,NaN,NaN,NaN,15.6386295714493,NaN,NaN,13.9607341564933,NaN,15.4321936332394,NaN,NaN,15.0986683276466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.646834953539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.9167329878652,17.3877145468803,24.581673509668,NaN,NaN,17.4531859168667,18.0051426100286,NaN,NaN,NaN,NaN,NaN,16.0396252871119,NaN,NaN,14.2918167854204,NaN,16.0425350933856,NaN,NaN,15.3888385249193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.3756054726842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,18.3070889157442,NaN,25.1500497337729,NaN,NaN,17.9282617714255,18.6527012689447,NaN,NaN,NaN,NaN,NaN,16.5552384570125,NaN,NaN,14.9090325788916,NaN,16.5444012007099,NaN,NaN,15.7278944142275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.0368324642936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
