Epoch,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,C11,C12,C14,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C32,C33,C34,C35,C36,C37,C41,C42,C06,C07,C08,C09,C10,C13,C38,C39
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
301,13.7647915188872,12.378817017873,NaN,NaN,NaN,NaN,12.7462577380198,NaN,13.8620336290449,NaN,NaN,NaN,12.319248443342,NaN,NaN,11.9982251211918,NaN,11.7243748941404,NaN,NaN,12.1981994955827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.4523467290712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
601,14.2603727397525,12.9784842628809,23.2068700877558,NaN,NaN,NaN,13.6289588966594,NaN,14.8899565875655,NaN,NaN,NaN,12.8136157618964,NaN,NaN,12.6466848559164,NaN,12.3723071704129,NaN,NaN,12.5981239538373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1882930302961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
901,14.7800806241214,13.5998207879534,23.7666209671106,NaN,NaN,NaN,14.2321271893591,NaN,NaN,NaN,NaN,NaN,13.7746092177606,NaN,NaN,13.2723941160024,NaN,13.0878144905424,NaN,NaN,12.8878070479927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0155483791762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1201,15.3498601480429,14.2373620916235,24.1091742544603,NaN,NaN,NaN,14.8884611338352,NaN,NaN,NaN,NaN,NaN,14.5844708685723,NaN,NaN,13.7093703792868,NaN,13.8623696382864,NaN,NaN,13.3628089261247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.6356065698646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501,15.9580146803589,14.8195487365648,24.453579387827,NaN,NaN,NaN,15.6164854312492,NaN,NaN,NaN,NaN,NaN,15.1571235864713,NaN,NaN,14.0468459549252,NaN,14.6465821503905,NaN,NaN,14.3695316136188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.1093807741213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1801,16.2386855691213,15.4302323678461,24.7821759654599,NaN,NaN,16.6499848417209,16.381305954107,NaN,NaN,NaN,NaN,NaN,15.705537205513,NaN,NaN,NaN,NaN,15.2046701470656,NaN,NaN,15.2418796916519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.6760083932754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2101,16.6224527937664,15.940319697643,25.2527321971132,NaN,NaN,17.3743670007104,17.0688974089212,NaN,NaN,NaN,NaN,NaN,16.1578170696656,NaN,NaN,14.7569140421582,NaN,15.8039695170944,NaN,NaN,15.6226757092247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.2911542933458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2401,17.1509817288936,16.2973636000451,25.9676595851061,NaN,NaN,17.991973421498,17.7466893931136,NaN,NaN,NaN,NaN,NaN,16.315187495917,NaN,NaN,15.1573016516682,NaN,16.3064548739993,NaN,NaN,15.8579132758113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.9520176947066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2701,17.7408699985043,NaN,26.6857996045604,NaN,NaN,18.5558449730544,18.413656582837,NaN,NaN,NaN,NaN,NaN,16.7687991299604,NaN,NaN,15.7772165279052,NaN,17.0043738656499,NaN,NaN,16.1960878682214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.5892847597464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
